tensorflow-FedAvgM-run | INFO flwr 2023-11-30 16:47:09,043 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAvgM-run | DEBUG flwr 2023-11-30 16:47:09,072 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAvgM-run | DEBUG flwr 2023-11-30 16:47:09,072 | connection.py:42 | ChannelConnectivity.READY
tensorflow-FedAvgM-run | INFO flwr 2023-11-30 16:49:30,443 | client.py:82 | Instance i-026d0220536bf2c8e : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 30, 16, 49, 30, 443081), 'cpu_utilization': 84.8}
tensorflow-FedAvgM-run | INFO flwr 2023-11-30 16:51:36,294 | client.py:104 | Instance i-026d0220536bf2c8e : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 30, 16, 51, 36, 294512), 'cpu_utilization': 51.6}
tensorflow-FedAvgM-run | INFO flwr 2023-11-30 16:53:59,497 | client.py:82 | Instance i-026d0220536bf2c8e : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 30, 16, 53, 59, 497047), 'cpu_utilization': 59.6}
tensorflow-FedAvgM-run | INFO flwr 2023-11-30 16:55:04,531 | client.py:104 | Instance i-026d0220536bf2c8e : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 30, 16, 55, 4, 531108), 'cpu_utilization': 52.1}
tensorflow-FedAvgM-run | INFO flwr 2023-11-30 16:56:45,646 | client.py:82 | Instance i-026d0220536bf2c8e : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 30, 16, 56, 45, 646070), 'cpu_utilization': 84.8}
tensorflow-FedAvgM-run | INFO flwr 2023-11-30 16:58:51,341 | client.py:104 | Instance i-026d0220536bf2c8e : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 30, 16, 58, 51, 341139), 'cpu_utilization': 52.2}
tensorflow-FedAvgM-run | INFO flwr 2023-11-30 17:01:14,576 | client.py:82 | Instance i-026d0220536bf2c8e : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 30, 17, 1, 14, 575924), 'cpu_utilization': 59.7}
tensorflow-FedAvgM-run | INFO flwr 2023-11-30 17:01:59,684 | client.py:104 | Instance i-026d0220536bf2c8e : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 30, 17, 1, 59, 683940), 'cpu_utilization': 98.6}
tensorflow-FedAvgM-run | INFO flwr 2023-11-30 17:04:42,519 | client.py:82 | Instance i-026d0220536bf2c8e : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 30, 17, 4, 42, 519214), 'cpu_utilization': 59.8}
tensorflow-FedAvgM-run | INFO flwr 2023-11-30 17:06:06,197 | client.py:104 | Instance i-026d0220536bf2c8e : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 30, 17, 6, 6, 196820), 'cpu_utilization': 51.9}
tensorflow-FedAvgM-run | INFO flwr 2023-11-30 17:08:29,061 | client.py:82 | Instance i-026d0220536bf2c8e : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 30, 17, 8, 29, 61381), 'cpu_utilization': 59.7}
tensorflow-FedAvgM-run | INFO flwr 2023-11-30 17:09:14,950 | client.py:104 | Instance i-026d0220536bf2c8e : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 30, 17, 9, 14, 950239), 'cpu_utilization': 98.3}
tensorflow-FedAvgM-run | INFO flwr 2023-11-30 17:11:15,782 | client.py:82 | Instance i-026d0220536bf2c8e : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 30, 17, 11, 15, 782568), 'cpu_utilization': 84.7}
tensorflow-FedAvgM-run | INFO flwr 2023-11-30 17:12:43,144 | client.py:104 | Instance i-026d0220536bf2c8e : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 30, 17, 12, 43, 143913), 'cpu_utilization': 98.6}
tensorflow-FedAvgM-run | INFO flwr 2023-11-30 17:15:06,548 | client.py:82 | Instance i-026d0220536bf2c8e : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 30, 17, 15, 6, 548774), 'cpu_utilization': 59.6}
tensorflow-FedAvgM-run | INFO flwr 2023-11-30 17:16:10,718 | client.py:104 | Instance i-026d0220536bf2c8e : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 30, 17, 16, 10, 718028), 'cpu_utilization': 98.2}
tensorflow-FedAvgM-run | INFO flwr 2023-11-30 17:18:53,410 | client.py:82 | Instance i-026d0220536bf2c8e : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 30, 17, 18, 53, 410603), 'cpu_utilization': 60.3}
tensorflow-FedAvgM-run | INFO flwr 2023-11-30 17:19:58,194 | client.py:104 | Instance i-026d0220536bf2c8e : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 30, 17, 19, 58, 193889), 'cpu_utilization': 51.6}
tensorflow-FedAvgM-run | INFO flwr 2023-11-30 17:21:40,260 | client.py:82 | Instance i-026d0220536bf2c8e : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 30, 17, 21, 40, 260345), 'cpu_utilization': 84.9}
tensorflow-FedAvgM-run | INFO flwr 2023-11-30 17:23:45,034 | client.py:104 | Instance i-026d0220536bf2c8e : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 30, 17, 23, 45, 34715), 'cpu_utilization': 51.6}
tensorflow-FedAvgM-run | DEBUG flwr 2023-11-30 17:23:46,126 | connection.py:139 | gRPC channel closed
tensorflow-FedAvgM-run | INFO flwr 2023-11-30 17:23:46,126 | app.py:215 | Disconnect and shut down
