tensorflow-FedAvgM-run | INFO flwr 2023-12-01 09:13:43,181 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 09:13:43,184 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 09:13:43,185 | connection.py:42 | ChannelConnectivity.READY
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 09:14:47,283 | client.py:82 | Instance i-001ae534853d5aba8 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 14, 47, 283388), 'cpu_utilization': 81.5}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 09:16:33,743 | client.py:104 | Instance i-001ae534853d5aba8 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 16, 33, 743584), 'cpu_utilization': 97.9}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 09:17:32,711 | client.py:82 | Instance i-001ae534853d5aba8 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 17, 32, 710901), 'cpu_utilization': 85.4}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 09:18:44,390 | client.py:104 | Instance i-001ae534853d5aba8 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 18, 44, 390167), 'cpu_utilization': 98.4}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 09:19:43,163 | client.py:82 | Instance i-001ae534853d5aba8 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 19, 43, 163342), 'cpu_utilization': 85.4}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 09:21:12,710 | client.py:104 | Instance i-001ae534853d5aba8 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 21, 12, 710271), 'cpu_utilization': 98.0}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 09:22:13,790 | client.py:82 | Instance i-001ae534853d5aba8 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 22, 13, 790596), 'cpu_utilization': 82.3}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 09:23:40,744 | client.py:104 | Instance i-001ae534853d5aba8 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 23, 40, 744021), 'cpu_utilization': 98.0}
