tensorflow-FedAvgM-run | INFO flwr 2023-12-01 09:13:43,154 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 09:13:43,156 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 09:13:43,156 | connection.py:42 | ChannelConnectivity.CONNECTING
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 09:13:43,156 | connection.py:42 | ChannelConnectivity.TRANSIENT_FAILURE
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 09:13:43,379 | connection.py:139 | gRPC channel closed
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 09:13:53,394 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 09:13:53,394 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 09:13:53,428 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 09:13:53,428 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 09:13:53,433 | connection.py:42 | ChannelConnectivity.READY
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 09:13:53,433 | connection.py:42 | ChannelConnectivity.READY
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 09:14:47,165 | client.py:82 | Instance i-02ec6a8c11ae95383 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 14, 47, 165353), 'cpu_utilization': 79.6}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 09:14:47,165 | client.py:82 | Instance i-02ec6a8c11ae95383 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 14, 47, 165353), 'cpu_utilization': 79.6}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 09:16:32,484 | client.py:104 | Instance i-02ec6a8c11ae95383 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 16, 32, 484126), 'cpu_utilization': 98.3}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 09:16:32,484 | client.py:104 | Instance i-02ec6a8c11ae95383 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 16, 32, 484126), 'cpu_utilization': 98.3}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 09:17:34,480 | client.py:82 | Instance i-02ec6a8c11ae95383 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 17, 34, 480797), 'cpu_utilization': 79.6}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 09:17:34,480 | client.py:82 | Instance i-02ec6a8c11ae95383 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 17, 34, 480797), 'cpu_utilization': 79.6}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 09:18:43,451 | client.py:104 | Instance i-02ec6a8c11ae95383 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 18, 43, 451024), 'cpu_utilization': 98.7}
