tensorflow-FedAvgM-run | INFO flwr 2023-12-01 09:13:43,141 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 09:13:43,144 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 09:13:43,144 | connection.py:42 | ChannelConnectivity.TRANSIENT_FAILURE
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 09:13:43,364 | connection.py:139 | gRPC channel closed
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 09:13:53,376 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 09:13:53,376 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 09:13:53,402 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 09:13:53,402 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 09:13:53,408 | connection.py:42 | ChannelConnectivity.READY
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 09:13:53,408 | connection.py:42 | ChannelConnectivity.READY
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 09:14:44,343 | client.py:82 | Instance i-078923cbf4c1aeef1 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 14, 44, 343651), 'cpu_utilization': 85.2}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 09:14:44,343 | client.py:82 | Instance i-078923cbf4c1aeef1 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 14, 44, 343651), 'cpu_utilization': 85.2}
