tensorflow-FedAvgM-run | INFO flwr 2023-12-01 09:13:43,171 | app.py:162 | Starting Flower server, config: ServerConfig(num_rounds=10, round_timeout=None)
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 09:13:43,175 | app.py:175 | Flower ECE: gRPC server running (10 rounds), SSL is disabled
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 09:13:43,175 | server.py:89 | Initializing global parameters
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 09:13:43,175 | server.py:272 | Using initial parameters provided by strategy
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 09:13:43,175 | server.py:91 | Evaluating initial parameters
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 09:14:06,005 | server.py:94 | initial parameters (loss, other metrics): 2.3323559761047363, {'accuracy': 0.6590277552604675}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 09:14:06,005 | server.py:104 | FL starting
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 09:14:06,005 | server.py:222 | fit_round 1: strategy sampled 5 clients (out of 5)
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 09:15:29,547 | server.py:236 | fit_round 1 received 5 results and 0 failures
tensorflow-FedAvgM-run | WARNING flwr 2023-12-01 09:15:29,701 | fedavgm.py:198 | No fit_metrics_aggregation_fn provided
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 09:16:10,900 | server.py:125 | fit progress: (1, 2.153510808944702, {'accuracy': 0.6401709318161011}, 124.89470163700003)
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 09:16:10,900 | server.py:173 | evaluate_round 1: strategy sampled 5 clients (out of 5)
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 09:16:53,271 | server.py:187 | evaluate_round 1 received 5 results and 0 failures
tensorflow-FedAvgM-run | WARNING flwr 2023-12-01 09:16:53,271 | fedavg.py:273 | No evaluate_metrics_aggregation_fn provided
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 09:16:53,271 | server.py:222 | fit_round 2: strategy sampled 5 clients (out of 5)
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 09:17:40,675 | server.py:236 | fit_round 2 received 5 results and 0 failures
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 09:18:22,020 | server.py:125 | fit progress: (2, 1.525837779045105, {'accuracy': 0.6316468119621277}, 256.01515325499986)
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 09:18:22,021 | server.py:173 | evaluate_round 2: strategy sampled 5 clients (out of 5)
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 09:19:03,759 | server.py:187 | evaluate_round 2 received 5 results and 0 failures
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 09:19:03,759 | server.py:222 | fit_round 3: strategy sampled 5 clients (out of 5)
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 09:20:27,162 | server.py:236 | fit_round 3 received 5 results and 0 failures
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 09:20:49,902 | server.py:125 | fit progress: (3, 1.1037081480026245, {'accuracy': 0.6358333230018616}, 403.89634971199985)
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 09:20:49,902 | server.py:173 | evaluate_round 3: strategy sampled 5 clients (out of 5)
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 09:21:32,454 | server.py:187 | evaluate_round 3 received 5 results and 0 failures
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 09:21:32,454 | server.py:222 | fit_round 4: strategy sampled 5 clients (out of 5)
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 09:22:55,891 | server.py:236 | fit_round 4 received 5 results and 0 failures
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 09:23:18,185 | server.py:125 | fit progress: (4, 0.8438469171524048, {'accuracy': 0.6429687738418579}, 552.1797195270001)
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 09:23:18,185 | server.py:173 | evaluate_round 4: strategy sampled 5 clients (out of 5)
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 09:24:00,609 | server.py:187 | evaluate_round 4 received 5 results and 0 failures
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 09:24:00,610 | server.py:222 | fit_round 5: strategy sampled 5 clients (out of 5)
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 09:25:24,053 | server.py:236 | fit_round 5 received 5 results and 0 failures
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 09:26:05,371 | server.py:125 | fit progress: (5, 0.7151447534561157, {'accuracy': 0.6511437892913818}, 719.3660515860001)
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 09:26:05,372 | server.py:173 | evaluate_round 5: strategy sampled 5 clients (out of 5)
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 09:26:47,591 | server.py:187 | evaluate_round 5 received 5 results and 0 failures
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 09:26:47,591 | server.py:222 | fit_round 6: strategy sampled 5 clients (out of 5)
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 09:28:10,977 | server.py:236 | fit_round 6 received 5 results and 0 failures
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 09:28:52,267 | server.py:125 | fit progress: (6, 0.6069679856300354, {'accuracy': 0.6604938507080078}, 886.261435634)
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 09:28:52,267 | server.py:173 | evaluate_round 6: strategy sampled 5 clients (out of 5)
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 09:29:34,338 | server.py:187 | evaluate_round 6 received 5 results and 0 failures
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 09:29:34,338 | server.py:222 | fit_round 7: strategy sampled 5 clients (out of 5)
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 09:30:57,926 | server.py:236 | fit_round 7 received 5 results and 0 failures
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 09:31:39,239 | server.py:125 | fit progress: (7, 0.5857130289077759, {'accuracy': 0.6692251563072205}, 1053.233882508)
