tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:15:13,909 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 21:15:13,912 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 21:15:13,914 | connection.py:42 | ChannelConnectivity.CONNECTING
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 21:15:13,914 | connection.py:42 | ChannelConnectivity.READY
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:16:36,563 | client.py:82 | Instance i-002121a3ab77bd32c : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 16, 36, 563188), 'cpu_utilization': 50.3}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:17:45,991 | client.py:104 | Instance i-002121a3ab77bd32c : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 17, 45, 991167), 'cpu_utilization': 87.3}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:18:49,871 | client.py:82 | Instance i-002121a3ab77bd32c : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 18, 49, 870914), 'cpu_utilization': 83.6}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:20:56,259 | client.py:104 | Instance i-002121a3ab77bd32c : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 20, 56, 258892), 'cpu_utilization': 52.9}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:22:09,746 | client.py:82 | Instance i-002121a3ab77bd32c : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 22, 9, 746609), 'cpu_utilization': 85.3}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:23:54,800 | client.py:104 | Instance i-002121a3ab77bd32c : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 23, 54, 800621), 'cpu_utilization': 98.5}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:24:19,839 | client.py:82 | Instance i-002121a3ab77bd32c : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 24, 19, 838831), 'cpu_utilization': 85.3}
