tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:15:13,852 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 21:15:13,854 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 21:15:13,854 | connection.py:42 | ChannelConnectivity.CONNECTING
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 21:15:13,870 | connection.py:42 | ChannelConnectivity.TRANSIENT_FAILURE
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 21:15:14,073 | connection.py:139 | gRPC channel closed
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:15:24,084 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:15:24,084 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 21:15:24,109 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 21:15:24,109 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 21:15:24,110 | connection.py:42 | ChannelConnectivity.CONNECTING
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 21:15:24,110 | connection.py:42 | ChannelConnectivity.CONNECTING
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 21:15:24,126 | connection.py:42 | ChannelConnectivity.READY
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 21:15:24,126 | connection.py:42 | ChannelConnectivity.READY
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:16:19,460 | client.py:82 | Instance i-03677de65ff3a5650 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 16, 19, 460251), 'cpu_utilization': 85.2}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:16:19,460 | client.py:82 | Instance i-03677de65ff3a5650 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 16, 19, 460251), 'cpu_utilization': 85.2}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:17:47,309 | client.py:104 | Instance i-03677de65ff3a5650 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 17, 47, 309750), 'cpu_utilization': 98.3}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:17:47,309 | client.py:104 | Instance i-03677de65ff3a5650 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 17, 47, 309750), 'cpu_utilization': 98.3}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:18:50,293 | client.py:82 | Instance i-03677de65ff3a5650 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 18, 50, 293503), 'cpu_utilization': 84.1}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:18:50,293 | client.py:82 | Instance i-03677de65ff3a5650 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 18, 50, 293503), 'cpu_utilization': 84.1}
