tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:15:13,868 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 21:15:13,871 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 21:15:13,871 | connection.py:42 | ChannelConnectivity.CONNECTING
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 21:15:13,886 | connection.py:42 | ChannelConnectivity.READY
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:16:36,460 | client.py:82 | Instance i-03aaab0d16988ed30 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 16, 36, 460079), 'cpu_utilization': 51.0}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:18:27,783 | client.py:104 | Instance i-03aaab0d16988ed30 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 18, 27, 782834), 'cpu_utilization': 53.3}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:19:32,535 | client.py:82 | Instance i-03aaab0d16988ed30 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 19, 32, 535550), 'cpu_utilization': 50.6}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:21:17,377 | client.py:104 | Instance i-03aaab0d16988ed30 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 21, 17, 376803), 'cpu_utilization': 53.1}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:21:44,578 | client.py:82 | Instance i-03aaab0d16988ed30 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 21, 44, 578029), 'cpu_utilization': 85.4}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:23:50,583 | client.py:104 | Instance i-03aaab0d16988ed30 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 23, 50, 578471), 'cpu_utilization': 53.1}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:24:36,800 | client.py:82 | Instance i-03aaab0d16988ed30 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 24, 36, 800708), 'cpu_utilization': 50.8}
