tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:15:13,846 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 21:15:13,848 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 21:15:13,848 | connection.py:42 | ChannelConnectivity.CONNECTING
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 21:15:13,867 | connection.py:42 | ChannelConnectivity.TRANSIENT_FAILURE
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 21:15:14,070 | connection.py:139 | gRPC channel closed
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:15:24,071 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:15:24,071 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 21:15:24,100 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 21:15:24,100 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 21:15:24,101 | connection.py:42 | ChannelConnectivity.CONNECTING
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 21:15:24,101 | connection.py:42 | ChannelConnectivity.CONNECTING
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 21:15:24,102 | connection.py:42 | ChannelConnectivity.READY
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 21:15:24,102 | connection.py:42 | ChannelConnectivity.READY
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:16:36,378 | client.py:82 | Instance i-03b634bf46b6e923b : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 16, 36, 378152), 'cpu_utilization': 48.3}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:16:36,378 | client.py:82 | Instance i-03b634bf46b6e923b : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 16, 36, 378152), 'cpu_utilization': 48.3}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:17:46,354 | client.py:104 | Instance i-03b634bf46b6e923b : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 17, 46, 353791), 'cpu_utilization': 98.3}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:17:46,354 | client.py:104 | Instance i-03b634bf46b6e923b : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 17, 46, 353791), 'cpu_utilization': 98.3}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:19:31,790 | client.py:82 | Instance i-03b634bf46b6e923b : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 19, 31, 790698), 'cpu_utilization': 47.7}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:19:31,790 | client.py:82 | Instance i-03b634bf46b6e923b : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 19, 31, 790698), 'cpu_utilization': 47.7}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:20:35,863 | client.py:104 | Instance i-03b634bf46b6e923b : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 20, 35, 863513), 'cpu_utilization': 98.7}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:20:35,863 | client.py:104 | Instance i-03b634bf46b6e923b : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 20, 35, 863513), 'cpu_utilization': 98.7}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:22:01,203 | client.py:82 | Instance i-03b634bf46b6e923b : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 22, 1, 203706), 'cpu_utilization': 48.6}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:22:01,203 | client.py:82 | Instance i-03b634bf46b6e923b : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 22, 1, 203706), 'cpu_utilization': 48.6}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:23:50,849 | client.py:104 | Instance i-03b634bf46b6e923b : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 23, 50, 848766), 'cpu_utilization': 51.3}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:23:50,849 | client.py:104 | Instance i-03b634bf46b6e923b : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 23, 50, 848766), 'cpu_utilization': 51.3}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:24:19,566 | client.py:82 | Instance i-03b634bf46b6e923b : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 24, 19, 566584), 'cpu_utilization': 85.1}
