tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:15:13,906 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 21:15:13,911 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 21:15:13,915 | connection.py:42 | ChannelConnectivity.CONNECTING
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 21:15:13,918 | connection.py:42 | ChannelConnectivity.READY
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:17:01,741 | client.py:82 | Instance i-06bad6f8935aad0bb : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 17, 1, 740940), 'cpu_utilization': 49.5}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:18:06,512 | client.py:104 | Instance i-06bad6f8935aad0bb : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 18, 6, 512515), 'cpu_utilization': 51.3}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:19:09,967 | client.py:82 | Instance i-06bad6f8935aad0bb : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 19, 9, 966941), 'cpu_utilization': 49.2}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:20:56,189 | client.py:104 | Instance i-06bad6f8935aad0bb : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 20, 56, 189104), 'cpu_utilization': 51.2}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:22:01,069 | client.py:82 | Instance i-06bad6f8935aad0bb : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 22, 1, 68877), 'cpu_utilization': 49.0}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:23:50,765 | client.py:104 | Instance i-06bad6f8935aad0bb : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 23, 50, 765349), 'cpu_utilization': 51.3}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:24:19,409 | client.py:82 | Instance i-06bad6f8935aad0bb : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 24, 19, 409180), 'cpu_utilization': 85.2}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:26:47,366 | client.py:104 | Instance i-06bad6f8935aad0bb : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 26, 47, 366528), 'cpu_utilization': 51.1}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:27:11,854 | client.py:82 | Instance i-06bad6f8935aad0bb : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 27, 11, 854071), 'cpu_utilization': 85.1}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:28:59,537 | client.py:104 | Instance i-06bad6f8935aad0bb : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 28, 59, 537355), 'cpu_utilization': 51.2}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:30:03,902 | client.py:82 | Instance i-06bad6f8935aad0bb : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 30, 3, 902145), 'cpu_utilization': 48.7}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:32:14,807 | client.py:104 | Instance i-06bad6f8935aad0bb : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 32, 14, 807323), 'cpu_utilization': 51.2}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:33:23,938 | client.py:82 | Instance i-06bad6f8935aad0bb : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 33, 23, 938709), 'cpu_utilization': 49.0}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:34:31,508 | client.py:104 | Instance i-06bad6f8935aad0bb : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 34, 31, 508330), 'cpu_utilization': 98.5}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:35:33,371 | client.py:82 | Instance i-06bad6f8935aad0bb : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 35, 33, 371305), 'cpu_utilization': 49.0}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:36:44,053 | client.py:104 | Instance i-06bad6f8935aad0bb : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 36, 44, 53680), 'cpu_utilization': 98.6}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:38:07,516 | client.py:82 | Instance i-06bad6f8935aad0bb : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 38, 7, 516159), 'cpu_utilization': 48.9}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:39:47,984 | client.py:104 | Instance i-06bad6f8935aad0bb : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 39, 47, 984020), 'cpu_utilization': 98.6}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:40:55,532 | client.py:82 | Instance i-06bad6f8935aad0bb : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 40, 55, 531936), 'cpu_utilization': 85.1}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:43:04,819 | client.py:104 | Instance i-06bad6f8935aad0bb : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 43, 4, 819298), 'cpu_utilization': 51.2}
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 21:43:05,412 | connection.py:139 | gRPC channel closed
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:43:05,415 | app.py:215 | Disconnect and shut down
