tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:15:13,857 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 21:15:13,858 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 21:15:13,859 | connection.py:42 | ChannelConnectivity.CONNECTING
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 21:15:13,861 | connection.py:42 | ChannelConnectivity.TRANSIENT_FAILURE
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 21:15:14,063 | connection.py:139 | gRPC channel closed
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:15:24,074 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:15:24,074 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 21:15:24,100 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 21:15:24,100 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 21:15:24,104 | connection.py:42 | ChannelConnectivity.READY
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 21:15:24,104 | connection.py:42 | ChannelConnectivity.READY
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:16:30,649 | client.py:82 | Instance i-0ef4e20d3225463df : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 16, 30, 649788), 'cpu_utilization': 85.3}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:16:30,649 | client.py:82 | Instance i-0ef4e20d3225463df : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 16, 30, 649788), 'cpu_utilization': 85.3}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:18:06,507 | client.py:104 | Instance i-0ef4e20d3225463df : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 18, 6, 506979), 'cpu_utilization': 53.1}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:18:06,507 | client.py:104 | Instance i-0ef4e20d3225463df : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 18, 6, 506979), 'cpu_utilization': 53.1}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:19:03,876 | client.py:82 | Instance i-0ef4e20d3225463df : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 19, 3, 876671), 'cpu_utilization': 85.4}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:19:03,876 | client.py:82 | Instance i-0ef4e20d3225463df : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 19, 3, 876671), 'cpu_utilization': 85.4}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:21:18,768 | client.py:104 | Instance i-0ef4e20d3225463df : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 21, 18, 768306), 'cpu_utilization': 98.7}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:21:18,768 | client.py:104 | Instance i-0ef4e20d3225463df : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 21, 18, 768306), 'cpu_utilization': 98.7}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:22:26,781 | client.py:82 | Instance i-0ef4e20d3225463df : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 22, 26, 781232), 'cpu_utilization': 72.7}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 21:22:26,781 | client.py:82 | Instance i-0ef4e20d3225463df : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 22, 26, 781232), 'cpu_utilization': 72.7}
