torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:37:57,662 | app.py:162 | Starting Flower server, config: ServerConfig(num_rounds=10, round_timeout=None)
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:37:57,668 | app.py:175 | Flower ECE: gRPC server running (10 rounds), SSL is disabled
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:37:57,672 | server.py:89 | Initializing global parameters
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:37:57,675 | server.py:272 | Using initial parameters provided by strategy
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:37:57,678 | server.py:91 | Evaluating initial parameters
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:38:20,542 | server.py:94 | initial parameters (loss, other metrics): 2.27453351020813, {'accuracy': 0.7222825884819031}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:38:20,543 | server.py:104 | FL starting
torch-FedAdaGrad-run | DEBUG flwr 2023-12-01 19:38:20,543 | server.py:222 | fit_round 1: strategy sampled 2 clients (out of 2)
torch-FedAdaGrad-run | DEBUG flwr 2023-12-01 19:39:13,072 | server.py:236 | fit_round 1 received 2 results and 0 failures
torch-FedAdaGrad-run | WARNING flwr 2023-12-01 19:39:13,133 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:39:35,498 | server.py:125 | fit progress: (1, 5014.5625, {'accuracy': 0.6934027671813965}, 74.9548561509996)
torch-FedAdaGrad-run | DEBUG flwr 2023-12-01 19:39:35,498 | server.py:173 | evaluate_round 1: strategy sampled 2 clients (out of 2)
torch-FedAdaGrad-run | DEBUG flwr 2023-12-01 19:39:57,549 | server.py:187 | evaluate_round 1 received 2 results and 0 failures
torch-FedAdaGrad-run | WARNING flwr 2023-12-01 19:39:57,549 | fedavg.py:273 | No evaluate_metrics_aggregation_fn provided
torch-FedAdaGrad-run | DEBUG flwr 2023-12-01 19:39:57,549 | server.py:222 | fit_round 2: strategy sampled 2 clients (out of 2)
torch-FedAdaGrad-run | DEBUG flwr 2023-12-01 19:40:50,586 | server.py:236 | fit_round 2 received 2 results and 0 failures
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:41:31,935 | server.py:125 | fit progress: (2, 12492.0732421875, {'accuracy': 0.6669999957084656}, 191.39226333399984)
torch-FedAdaGrad-run | DEBUG flwr 2023-12-01 19:41:31,935 | server.py:173 | evaluate_round 2: strategy sampled 2 clients (out of 2)
torch-FedAdaGrad-run | DEBUG flwr 2023-12-01 19:41:45,015 | server.py:187 | evaluate_round 2 received 2 results and 0 failures
torch-FedAdaGrad-run | DEBUG flwr 2023-12-01 19:41:45,015 | server.py:222 | fit_round 3: strategy sampled 2 clients (out of 2)
torch-FedAdaGrad-run | DEBUG flwr 2023-12-01 19:42:37,285 | server.py:236 | fit_round 3 received 2 results and 0 failures
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:43:00,208 | server.py:125 | fit progress: (3, 173566.328125, {'accuracy': 0.6495192050933838}, 279.6650209329996)
torch-FedAdaGrad-run | DEBUG flwr 2023-12-01 19:43:00,212 | server.py:173 | evaluate_round 3: strategy sampled 2 clients (out of 2)
torch-FedAdaGrad-run | DEBUG flwr 2023-12-01 19:43:12,903 | server.py:187 | evaluate_round 3 received 2 results and 0 failures
