torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:34:39,076 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAdaGrad-run | DEBUG flwr 2023-11-26 13:34:39,110 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAdaGrad-run | DEBUG flwr 2023-11-26 13:34:39,111 | connection.py:42 | ChannelConnectivity.READY
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:35:12,513 | client.py:82 | Instance i-083cac643d68b8b92 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 35, 12, 513683), 'cpu_utilization': 53.2}
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:35:51,219 | client.py:104 | Instance i-083cac643d68b8b92 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 35, 51, 219103), 'cpu_utilization': 54.4}
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:36:21,868 | client.py:82 | Instance i-083cac643d68b8b92 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 36, 21, 868087), 'cpu_utilization': 53.1}
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:37:00,756 | client.py:104 | Instance i-083cac643d68b8b92 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 37, 0, 756261), 'cpu_utilization': 49.6}
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:37:22,173 | client.py:82 | Instance i-083cac643d68b8b92 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 37, 22, 173152), 'cpu_utilization': 53.3}
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:37:59,593 | client.py:104 | Instance i-083cac643d68b8b92 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 37, 59, 593458), 'cpu_utilization': 55.3}
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:38:31,995 | client.py:82 | Instance i-083cac643d68b8b92 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 38, 31, 995004), 'cpu_utilization': 53.1}
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:39:29,801 | client.py:104 | Instance i-083cac643d68b8b92 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 39, 29, 801019), 'cpu_utilization': 54.1}
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:39:52,273 | client.py:82 | Instance i-083cac643d68b8b92 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 39, 52, 273654), 'cpu_utilization': 53.2}
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:40:31,116 | client.py:104 | Instance i-083cac643d68b8b92 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 40, 31, 116653), 'cpu_utilization': 54.5}
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:41:02,426 | client.py:82 | Instance i-083cac643d68b8b92 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 41, 2, 426119), 'cpu_utilization': 53.3}
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:41:52,278 | client.py:104 | Instance i-083cac643d68b8b92 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 41, 52, 278228), 'cpu_utilization': 29.6}
