torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:34:39,038 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAdaGrad-run | DEBUG flwr 2023-11-26 13:34:39,070 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAdaGrad-run | DEBUG flwr 2023-11-26 13:34:39,071 | connection.py:42 | ChannelConnectivity.READY
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:35:12,128 | client.py:82 | Instance i-08991c2a51655fb63 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 35, 12, 128731), 'cpu_utilization': 53.3}
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:35:50,465 | client.py:104 | Instance i-08991c2a51655fb63 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 35, 50, 465589), 'cpu_utilization': 54.2}
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:36:21,178 | client.py:82 | Instance i-08991c2a51655fb63 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 36, 21, 177868), 'cpu_utilization': 53.3}
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:37:00,732 | client.py:104 | Instance i-08991c2a51655fb63 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 37, 0, 732259), 'cpu_utilization': 46.4}
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:37:20,952 | client.py:82 | Instance i-08991c2a51655fb63 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 37, 20, 952686), 'cpu_utilization': 54.0}
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:37:59,292 | client.py:104 | Instance i-08991c2a51655fb63 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 37, 59, 292481), 'cpu_utilization': 54.5}
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:38:31,174 | client.py:82 | Instance i-08991c2a51655fb63 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 38, 31, 174050), 'cpu_utilization': 53.3}
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:39:27,414 | client.py:104 | Instance i-08991c2a51655fb63 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 39, 27, 414148), 'cpu_utilization': 55.6}
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:39:51,159 | client.py:82 | Instance i-08991c2a51655fb63 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 39, 51, 159622), 'cpu_utilization': 53.8}
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:40:30,928 | client.py:104 | Instance i-08991c2a51655fb63 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 40, 30, 928432), 'cpu_utilization': 43.9}
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:41:00,642 | client.py:82 | Instance i-08991c2a51655fb63 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 41, 0, 642463), 'cpu_utilization': 54.2}
