torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:34:29,072 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAdaGrad-run | DEBUG flwr 2023-11-26 13:34:29,074 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAdaGrad-run | DEBUG flwr 2023-11-26 13:34:29,074 | connection.py:42 | ChannelConnectivity.TRANSIENT_FAILURE
torch-FedAdaGrad-run | DEBUG flwr 2023-11-26 13:34:29,283 | connection.py:139 | gRPC channel closed
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:34:39,286 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:34:39,286 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAdaGrad-run | DEBUG flwr 2023-11-26 13:34:39,316 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAdaGrad-run | DEBUG flwr 2023-11-26 13:34:39,316 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAdaGrad-run | DEBUG flwr 2023-11-26 13:34:39,321 | connection.py:42 | ChannelConnectivity.READY
torch-FedAdaGrad-run | DEBUG flwr 2023-11-26 13:34:39,321 | connection.py:42 | ChannelConnectivity.READY
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:35:12,001 | client.py:82 | Instance i-098748dee605024e4 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 35, 12, 874), 'cpu_utilization': 52.2}
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:35:12,001 | client.py:82 | Instance i-098748dee605024e4 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 35, 12, 874), 'cpu_utilization': 52.2}
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:36:01,081 | client.py:104 | Instance i-098748dee605024e4 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 36, 1, 81118), 'cpu_utilization': 28.3}
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:36:01,081 | client.py:104 | Instance i-098748dee605024e4 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 36, 1, 81118), 'cpu_utilization': 28.3}
