torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:34:29,107 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAdaGrad-run | DEBUG flwr 2023-11-26 13:34:29,111 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAdaGrad-run | DEBUG flwr 2023-11-26 13:34:29,115 | connection.py:42 | ChannelConnectivity.CONNECTING
torch-FedAdaGrad-run | DEBUG flwr 2023-11-26 13:34:29,118 | connection.py:42 | ChannelConnectivity.READY
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:35:11,800 | client.py:82 | Instance i-09a90e0be41d874a0 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 35, 11, 800640), 'cpu_utilization': 52.4}
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:35:50,816 | client.py:104 | Instance i-09a90e0be41d874a0 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 35, 50, 816086), 'cpu_utilization': 53.6}
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:36:21,110 | client.py:82 | Instance i-09a90e0be41d874a0 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 36, 21, 110098), 'cpu_utilization': 52.2}
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:37:00,655 | client.py:104 | Instance i-09a90e0be41d874a0 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 37, 0, 655361), 'cpu_utilization': 53.9}
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:37:22,095 | client.py:82 | Instance i-09a90e0be41d874a0 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 37, 22, 95734), 'cpu_utilization': 52.4}
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:38:01,644 | client.py:104 | Instance i-09a90e0be41d874a0 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 38, 1, 644204), 'cpu_utilization': 53.9}
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:38:31,425 | client.py:82 | Instance i-09a90e0be41d874a0 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 38, 31, 425216), 'cpu_utilization': 52.6}
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:39:29,119 | client.py:104 | Instance i-09a90e0be41d874a0 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 39, 29, 119147), 'cpu_utilization': 54.2}
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:39:51,296 | client.py:82 | Instance i-09a90e0be41d874a0 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 39, 51, 296267), 'cpu_utilization': 52.5}
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:40:30,361 | client.py:104 | Instance i-09a90e0be41d874a0 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 40, 30, 361667), 'cpu_utilization': 54.4}
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:41:01,961 | client.py:82 | Instance i-09a90e0be41d874a0 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 41, 1, 961665), 'cpu_utilization': 52.6}
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:41:52,224 | client.py:104 | Instance i-09a90e0be41d874a0 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 41, 52, 224748), 'cpu_utilization': 28.6}
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:42:12,531 | client.py:82 | Instance i-09a90e0be41d874a0 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 42, 12, 531117), 'cpu_utilization': 52.4}
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:43:10,963 | client.py:104 | Instance i-09a90e0be41d874a0 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 43, 10, 963690), 'cpu_utilization': 53.5}
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:43:40,759 | client.py:82 | Instance i-09a90e0be41d874a0 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 43, 40, 759032), 'cpu_utilization': 52.3}
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:44:20,877 | client.py:104 | Instance i-09a90e0be41d874a0 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 44, 20, 876809), 'cpu_utilization': 53.1}
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:44:43,038 | client.py:82 | Instance i-09a90e0be41d874a0 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 44, 43, 38672), 'cpu_utilization': 52.3}
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:45:22,266 | client.py:104 | Instance i-09a90e0be41d874a0 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 45, 22, 265812), 'cpu_utilization': 53.6}
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:45:53,141 | client.py:82 | Instance i-09a90e0be41d874a0 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 45, 53, 141750), 'cpu_utilization': 52.2}
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:46:51,908 | client.py:104 | Instance i-09a90e0be41d874a0 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 46, 51, 908155), 'cpu_utilization': 53.6}
torch-FedAdaGrad-run | DEBUG flwr 2023-11-26 13:47:02,512 | connection.py:139 | gRPC channel closed
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:47:02,512 | app.py:215 | Disconnect and shut down
