torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:30:36,992 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAdaGrad-run | DEBUG flwr 2023-12-01 19:30:36,994 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAdaGrad-run | DEBUG flwr 2023-12-01 19:30:36,995 | connection.py:42 | ChannelConnectivity.READY
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:31:23,172 | client.py:82 | Instance i-0355f35a1b08cecb1 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 31, 23, 172630), 'cpu_utilization': 55.8}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:32:04,428 | client.py:104 | Instance i-0355f35a1b08cecb1 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 32, 4, 427875), 'cpu_utilization': 47.3}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:32:18,881 | client.py:82 | Instance i-0355f35a1b08cecb1 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 32, 18, 881693), 'cpu_utilization': 55.4}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:33:01,746 | client.py:104 | Instance i-0355f35a1b08cecb1 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 33, 1, 746497), 'cpu_utilization': 49.4}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:33:38,437 | client.py:82 | Instance i-0355f35a1b08cecb1 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 33, 38, 436829), 'cpu_utilization': 55.5}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:34:25,496 | client.py:104 | Instance i-0355f35a1b08cecb1 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 34, 25, 495956), 'cpu_utilization': 54.2}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:34:54,036 | client.py:82 | Instance i-0355f35a1b08cecb1 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 34, 54, 36775), 'cpu_utilization': 55.6}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:35:45,538 | client.py:104 | Instance i-0355f35a1b08cecb1 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 35, 45, 538593), 'cpu_utilization': 55.7}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:36:13,406 | client.py:82 | Instance i-0355f35a1b08cecb1 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 36, 13, 406318), 'cpu_utilization': 56.0}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:37:26,100 | client.py:104 | Instance i-0355f35a1b08cecb1 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 37, 26, 100697), 'cpu_utilization': 55.2}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:37:41,007 | client.py:82 | Instance i-0355f35a1b08cecb1 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 37, 41, 7632), 'cpu_utilization': 55.3}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:38:47,144 | client.py:104 | Instance i-0355f35a1b08cecb1 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 38, 47, 144507), 'cpu_utilization': 54.1}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:39:12,427 | client.py:82 | Instance i-0355f35a1b08cecb1 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 39, 12, 427312), 'cpu_utilization': 54.6}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:40:08,463 | client.py:104 | Instance i-0355f35a1b08cecb1 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 40, 8, 462944), 'cpu_utilization': 47.7}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:40:23,863 | client.py:82 | Instance i-0355f35a1b08cecb1 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 40, 23, 863352), 'cpu_utilization': 54.8}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:41:10,752 | client.py:104 | Instance i-0355f35a1b08cecb1 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 41, 10, 752703), 'cpu_utilization': 53.7}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:41:35,232 | client.py:82 | Instance i-0355f35a1b08cecb1 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 41, 35, 232251), 'cpu_utilization': 55.2}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:42:23,148 | client.py:104 | Instance i-0355f35a1b08cecb1 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 42, 23, 147978), 'cpu_utilization': 53.6}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:43:09,778 | client.py:82 | Instance i-0355f35a1b08cecb1 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 43, 9, 778001), 'cpu_utilization': 54.9}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:43:48,977 | client.py:104 | Instance i-0355f35a1b08cecb1 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 43, 48, 977183), 'cpu_utilization': 53.7}
torch-FedAdaGrad-run | DEBUG flwr 2023-12-01 19:43:59,645 | connection.py:139 | gRPC channel closed
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:43:59,646 | app.py:215 | Disconnect and shut down
