torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:30:36,981 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAdaGrad-run | DEBUG flwr 2023-12-01 19:30:36,983 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAdaGrad-run | DEBUG flwr 2023-12-01 19:30:36,983 | connection.py:42 | ChannelConnectivity.CONNECTING
torch-FedAdaGrad-run | DEBUG flwr 2023-12-01 19:30:37,000 | connection.py:42 | ChannelConnectivity.TRANSIENT_FAILURE
torch-FedAdaGrad-run | DEBUG flwr 2023-12-01 19:30:37,227 | connection.py:139 | gRPC channel closed
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:30:47,239 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:30:47,239 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAdaGrad-run | DEBUG flwr 2023-12-01 19:30:47,274 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAdaGrad-run | DEBUG flwr 2023-12-01 19:30:47,274 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAdaGrad-run | DEBUG flwr 2023-12-01 19:30:47,279 | connection.py:42 | ChannelConnectivity.READY
torch-FedAdaGrad-run | DEBUG flwr 2023-12-01 19:30:47,279 | connection.py:42 | ChannelConnectivity.READY
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:31:24,235 | client.py:82 | Instance i-0456f19d98b017094 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 31, 24, 235569), 'cpu_utilization': 53.7}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:31:24,235 | client.py:82 | Instance i-0456f19d98b017094 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 31, 24, 235569), 'cpu_utilization': 53.7}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:31:56,743 | client.py:104 | Instance i-0456f19d98b017094 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 31, 56, 743557), 'cpu_utilization': 45.0}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:31:56,743 | client.py:104 | Instance i-0456f19d98b017094 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 31, 56, 743557), 'cpu_utilization': 45.0}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:32:18,705 | client.py:82 | Instance i-0456f19d98b017094 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 32, 18, 705452), 'cpu_utilization': 53.3}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:32:18,705 | client.py:82 | Instance i-0456f19d98b017094 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 32, 18, 705452), 'cpu_utilization': 53.3}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:33:03,338 | client.py:104 | Instance i-0456f19d98b017094 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 33, 3, 338602), 'cpu_utilization': 53.8}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:33:03,338 | client.py:104 | Instance i-0456f19d98b017094 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 33, 3, 338602), 'cpu_utilization': 53.8}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:33:25,900 | client.py:82 | Instance i-0456f19d98b017094 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 33, 25, 900073), 'cpu_utilization': 53.7}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:33:25,900 | client.py:82 | Instance i-0456f19d98b017094 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 33, 25, 900073), 'cpu_utilization': 53.7}
