torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:43:17,493 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAdaGrad-run | DEBUG flwr 2023-12-01 16:43:17,518 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAdaGrad-run | DEBUG flwr 2023-12-01 16:43:17,519 | connection.py:42 | ChannelConnectivity.READY
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:44:01,172 | client.py:82 | Instance i-076f1b51ca7bf2e2f : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 44, 1, 172074), 'cpu_utilization': 53.3}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:45:05,451 | client.py:104 | Instance i-076f1b51ca7bf2e2f : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 45, 5, 451258), 'cpu_utilization': 54.3}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:45:18,513 | client.py:82 | Instance i-076f1b51ca7bf2e2f : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 45, 18, 513431), 'cpu_utilization': 52.8}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:46:06,439 | client.py:104 | Instance i-076f1b51ca7bf2e2f : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 46, 6, 439608), 'cpu_utilization': 45.3}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:46:30,172 | client.py:82 | Instance i-076f1b51ca7bf2e2f : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 46, 30, 172611), 'cpu_utilization': 52.6}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:47:18,618 | client.py:104 | Instance i-076f1b51ca7bf2e2f : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 47, 18, 618310), 'cpu_utilization': 54.3}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:47:50,043 | client.py:82 | Instance i-076f1b51ca7bf2e2f : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 47, 50, 43672), 'cpu_utilization': 52.9}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:48:42,317 | client.py:104 | Instance i-076f1b51ca7bf2e2f : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 48, 42, 317615), 'cpu_utilization': 54.4}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:49:06,676 | client.py:82 | Instance i-076f1b51ca7bf2e2f : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 49, 6, 676501), 'cpu_utilization': 53.6}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:50:23,809 | client.py:104 | Instance i-076f1b51ca7bf2e2f : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 50, 23, 809605), 'cpu_utilization': 54.0}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:50:37,664 | client.py:82 | Instance i-076f1b51ca7bf2e2f : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 50, 37, 664393), 'cpu_utilization': 52.6}
