torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:43:07,502 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAdaGrad-run | DEBUG flwr 2023-12-01 16:43:07,504 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAdaGrad-run | DEBUG flwr 2023-12-01 16:43:07,504 | connection.py:42 | ChannelConnectivity.CONNECTING
torch-FedAdaGrad-run | DEBUG flwr 2023-12-01 16:43:07,514 | connection.py:42 | ChannelConnectivity.READY
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:44:01,659 | client.py:82 | Instance i-0819cce4bce0304a2 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 44, 1, 659279), 'cpu_utilization': 55.2}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:45:04,435 | client.py:104 | Instance i-0819cce4bce0304a2 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 45, 4, 435426), 'cpu_utilization': 28.1}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:45:32,145 | client.py:82 | Instance i-0819cce4bce0304a2 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 45, 32, 145468), 'cpu_utilization': 54.7}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:46:16,107 | client.py:104 | Instance i-0819cce4bce0304a2 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 46, 16, 107025), 'cpu_utilization': 54.9}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:46:44,098 | client.py:82 | Instance i-0819cce4bce0304a2 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 46, 44, 97834), 'cpu_utilization': 55.3}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:47:36,316 | client.py:104 | Instance i-0819cce4bce0304a2 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 47, 36, 316605), 'cpu_utilization': 30.6}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:47:50,525 | client.py:82 | Instance i-0819cce4bce0304a2 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 47, 50, 525708), 'cpu_utilization': 55.2}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:48:42,013 | client.py:104 | Instance i-0819cce4bce0304a2 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 48, 42, 12833), 'cpu_utilization': 47.7}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:49:19,254 | client.py:82 | Instance i-0819cce4bce0304a2 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 49, 19, 254636), 'cpu_utilization': 55.3}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:50:12,823 | client.py:104 | Instance i-0819cce4bce0304a2 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 50, 12, 823794), 'cpu_utilization': 53.9}
