torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:30:36,999 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAdaGrad-run | DEBUG flwr 2023-12-01 19:30:37,001 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAdaGrad-run | DEBUG flwr 2023-12-01 19:30:37,001 | connection.py:42 | ChannelConnectivity.READY
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:31:10,354 | client.py:82 | Instance i-08b499240b32675a8 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 31, 10, 354308), 'cpu_utilization': 55.0}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:32:01,801 | client.py:104 | Instance i-08b499240b32675a8 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 32, 1, 801261), 'cpu_utilization': 55.2}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:32:18,190 | client.py:82 | Instance i-08b499240b32675a8 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 32, 18, 190494), 'cpu_utilization': 54.5}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:33:07,651 | client.py:104 | Instance i-08b499240b32675a8 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 33, 7, 651316), 'cpu_utilization': 55.2}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:33:25,247 | client.py:82 | Instance i-08b499240b32675a8 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 33, 25, 247077), 'cpu_utilization': 54.9}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:34:13,678 | client.py:104 | Instance i-08b499240b32675a8 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 34, 13, 678100), 'cpu_utilization': 53.8}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:34:39,909 | client.py:82 | Instance i-08b499240b32675a8 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 34, 39, 909057), 'cpu_utilization': 54.2}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:35:47,482 | client.py:104 | Instance i-08b499240b32675a8 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 35, 47, 482123), 'cpu_utilization': 48.6}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:36:12,302 | client.py:82 | Instance i-08b499240b32675a8 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 36, 12, 302329), 'cpu_utilization': 55.4}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:37:15,871 | client.py:104 | Instance i-08b499240b32675a8 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 37, 15, 871384), 'cpu_utilization': 55.2}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:37:41,423 | client.py:82 | Instance i-08b499240b32675a8 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 37, 41, 423698), 'cpu_utilization': 55.0}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:38:57,702 | client.py:104 | Instance i-08b499240b32675a8 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 38, 57, 701761), 'cpu_utilization': 53.6}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:39:11,517 | client.py:82 | Instance i-08b499240b32675a8 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 39, 11, 517305), 'cpu_utilization': 55.1}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:39:58,678 | client.py:104 | Instance i-08b499240b32675a8 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 39, 58, 678416), 'cpu_utilization': 54.3}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:40:23,659 | client.py:82 | Instance i-08b499240b32675a8 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 40, 23, 659248), 'cpu_utilization': 54.4}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:41:11,901 | client.py:104 | Instance i-08b499240b32675a8 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 41, 11, 900901), 'cpu_utilization': 54.1}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:41:35,668 | client.py:82 | Instance i-08b499240b32675a8 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 41, 35, 668177), 'cpu_utilization': 55.0}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:42:21,517 | client.py:104 | Instance i-08b499240b32675a8 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 42, 21, 516804), 'cpu_utilization': 54.6}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:42:55,692 | client.py:82 | Instance i-08b499240b32675a8 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 42, 55, 692574), 'cpu_utilization': 54.9}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:43:49,298 | client.py:104 | Instance i-08b499240b32675a8 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 43, 49, 298778), 'cpu_utilization': 53.6}
torch-FedAdaGrad-run | DEBUG flwr 2023-12-01 19:43:59,657 | connection.py:139 | gRPC channel closed
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:43:59,657 | app.py:215 | Disconnect and shut down
