torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:43:17,430 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAdaGrad-run | DEBUG flwr 2023-12-01 16:43:17,454 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAdaGrad-run | DEBUG flwr 2023-12-01 16:43:17,455 | connection.py:42 | ChannelConnectivity.CONNECTING
torch-FedAdaGrad-run | DEBUG flwr 2023-12-01 16:43:17,458 | connection.py:42 | ChannelConnectivity.READY
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:44:00,930 | client.py:82 | Instance i-09203708ae4adf4ff : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 44, 0, 930151), 'cpu_utilization': 55.3}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:45:01,745 | client.py:104 | Instance i-09203708ae4adf4ff : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 45, 1, 745100), 'cpu_utilization': 56.5}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:45:31,169 | client.py:82 | Instance i-09203708ae4adf4ff : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 45, 31, 169223), 'cpu_utilization': 54.4}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:46:06,491 | client.py:104 | Instance i-09203708ae4adf4ff : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 46, 6, 490850), 'cpu_utilization': 43.8}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:46:29,647 | client.py:82 | Instance i-09203708ae4adf4ff : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 46, 29, 647512), 'cpu_utilization': 54.6}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:47:16,424 | client.py:104 | Instance i-09203708ae4adf4ff : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 47, 16, 424307), 'cpu_utilization': 56.6}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:47:48,738 | client.py:82 | Instance i-09203708ae4adf4ff : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 47, 48, 738115), 'cpu_utilization': 54.8}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:48:37,302 | client.py:104 | Instance i-09203708ae4adf4ff : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 48, 37, 301839), 'cpu_utilization': 57.4}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:49:06,535 | client.py:82 | Instance i-09203708ae4adf4ff : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 49, 6, 535490), 'cpu_utilization': 54.3}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:50:11,155 | client.py:104 | Instance i-09203708ae4adf4ff : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 50, 11, 155491), 'cpu_utilization': 55.2}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:50:36,992 | client.py:82 | Instance i-09203708ae4adf4ff : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 50, 36, 992333), 'cpu_utilization': 54.9}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:51:47,297 | client.py:104 | Instance i-09203708ae4adf4ff : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 51, 47, 297453), 'cpu_utilization': 56.3}
