torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:43:17,466 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAdaGrad-run | DEBUG flwr 2023-12-01 16:43:17,499 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAdaGrad-run | DEBUG flwr 2023-12-01 16:43:17,502 | connection.py:42 | ChannelConnectivity.READY
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:44:02,063 | client.py:82 | Instance i-09700d5d4e879d369 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 44, 2, 63729), 'cpu_utilization': 54.6}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:44:54,478 | client.py:104 | Instance i-09700d5d4e879d369 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 44, 54, 478648), 'cpu_utilization': 46.2}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:45:18,980 | client.py:82 | Instance i-09700d5d4e879d369 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 45, 18, 980612), 'cpu_utilization': 53.6}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:46:16,640 | client.py:104 | Instance i-09700d5d4e879d369 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 46, 16, 640120), 'cpu_utilization': 31.4}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:46:30,694 | client.py:82 | Instance i-09700d5d4e879d369 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 46, 30, 694575), 'cpu_utilization': 53.6}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:47:17,140 | client.py:104 | Instance i-09700d5d4e879d369 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 47, 17, 140716), 'cpu_utilization': 56.1}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:47:50,151 | client.py:82 | Instance i-09700d5d4e879d369 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 47, 50, 151749), 'cpu_utilization': 53.7}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:48:47,535 | client.py:104 | Instance i-09700d5d4e879d369 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 48, 47, 534995), 'cpu_utilization': 55.4}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:49:06,966 | client.py:82 | Instance i-09700d5d4e879d369 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 49, 6, 966226), 'cpu_utilization': 53.6}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:50:22,667 | client.py:104 | Instance i-09700d5d4e879d369 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 50, 22, 667075), 'cpu_utilization': 55.1}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:50:38,058 | client.py:82 | Instance i-09700d5d4e879d369 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 50, 38, 58436), 'cpu_utilization': 53.5}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:52:00,403 | client.py:104 | Instance i-09700d5d4e879d369 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 52, 0, 403716), 'cpu_utilization': 30.2}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:52:28,692 | client.py:82 | Instance i-09700d5d4e879d369 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 52, 28, 692402), 'cpu_utilization': 53.5}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:53:11,152 | client.py:104 | Instance i-09700d5d4e879d369 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 53, 11, 152138), 'cpu_utilization': 53.4}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:53:26,171 | client.py:82 | Instance i-09700d5d4e879d369 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 53, 26, 170931), 'cpu_utilization': 53.0}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:54:43,509 | client.py:104 | Instance i-09700d5d4e879d369 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 54, 43, 509547), 'cpu_utilization': 31.0}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:54:59,510 | client.py:82 | Instance i-09700d5d4e879d369 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 54, 59, 510583), 'cpu_utilization': 53.1}
