torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:30:37,043 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAdaGrad-run | DEBUG flwr 2023-12-01 19:30:37,049 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAdaGrad-run | DEBUG flwr 2023-12-01 19:30:37,053 | connection.py:42 | ChannelConnectivity.CONNECTING
torch-FedAdaGrad-run | DEBUG flwr 2023-12-01 19:30:37,054 | connection.py:42 | ChannelConnectivity.READY
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:31:09,934 | client.py:82 | Instance i-0a3640066e79fb468 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 31, 9, 934137), 'cpu_utilization': 55.3}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:31:53,155 | client.py:104 | Instance i-0a3640066e79fb468 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 31, 53, 155523), 'cpu_utilization': 57.4}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:32:31,595 | client.py:82 | Instance i-0a3640066e79fb468 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 32, 31, 595368), 'cpu_utilization': 54.6}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:32:58,438 | client.py:104 | Instance i-0a3640066e79fb468 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 32, 58, 438648), 'cpu_utilization': 57.2}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:33:24,415 | client.py:82 | Instance i-0a3640066e79fb468 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 33, 24, 415756), 'cpu_utilization': 55.2}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:34:13,229 | client.py:104 | Instance i-0a3640066e79fb468 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 34, 13, 229021), 'cpu_utilization': 54.5}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:34:39,345 | client.py:82 | Instance i-0a3640066e79fb468 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 34, 39, 345115), 'cpu_utilization': 54.7}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:35:52,857 | client.py:104 | Instance i-0a3640066e79fb468 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 35, 52, 856856), 'cpu_utilization': 57.9}
