torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:43:17,393 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAdaGrad-run | DEBUG flwr 2023-12-01 16:43:17,425 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAdaGrad-run | DEBUG flwr 2023-12-01 16:43:17,426 | connection.py:42 | ChannelConnectivity.CONNECTING
torch-FedAdaGrad-run | DEBUG flwr 2023-12-01 16:43:17,432 | connection.py:42 | ChannelConnectivity.READY
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:44:19,700 | client.py:82 | Instance i-0bdd7b8ae25642919 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 44, 19, 699899), 'cpu_utilization': 53.6}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:45:04,603 | client.py:104 | Instance i-0bdd7b8ae25642919 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 45, 4, 603760), 'cpu_utilization': 29.9}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:45:23,051 | client.py:82 | Instance i-0bdd7b8ae25642919 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 45, 23, 51657), 'cpu_utilization': 53.3}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:46:16,368 | client.py:104 | Instance i-0bdd7b8ae25642919 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 46, 16, 368581), 'cpu_utilization': 54.3}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:46:34,746 | client.py:82 | Instance i-0bdd7b8ae25642919 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 46, 34, 746319), 'cpu_utilization': 53.8}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:47:19,166 | client.py:104 | Instance i-0bdd7b8ae25642919 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 47, 19, 166336), 'cpu_utilization': 53.9}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:48:07,536 | client.py:82 | Instance i-0bdd7b8ae25642919 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 48, 7, 536647), 'cpu_utilization': 53.4}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:48:52,866 | client.py:104 | Instance i-0bdd7b8ae25642919 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 48, 52, 866033), 'cpu_utilization': 54.0}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:49:12,795 | client.py:82 | Instance i-0bdd7b8ae25642919 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 49, 12, 794838), 'cpu_utilization': 53.5}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:50:23,580 | client.py:104 | Instance i-0bdd7b8ae25642919 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 50, 23, 580116), 'cpu_utilization': 29.3}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:50:56,967 | client.py:82 | Instance i-0bdd7b8ae25642919 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 50, 56, 967274), 'cpu_utilization': 53.7}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:51:50,854 | client.py:104 | Instance i-0bdd7b8ae25642919 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 51, 50, 853993), 'cpu_utilization': 54.3}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:52:22,176 | client.py:82 | Instance i-0bdd7b8ae25642919 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 52, 22, 176591), 'cpu_utilization': 53.8}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:53:03,952 | client.py:104 | Instance i-0bdd7b8ae25642919 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 53, 3, 952531), 'cpu_utilization': 53.9}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:53:32,252 | client.py:82 | Instance i-0bdd7b8ae25642919 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 53, 32, 252604), 'cpu_utilization': 53.7}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:54:45,008 | client.py:104 | Instance i-0bdd7b8ae25642919 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 54, 45, 8490), 'cpu_utilization': 54.5}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:55:18,190 | client.py:82 | Instance i-0bdd7b8ae25642919 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 55, 18, 190259), 'cpu_utilization': 53.5}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:56:13,350 | client.py:104 | Instance i-0bdd7b8ae25642919 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 56, 13, 350232), 'cpu_utilization': 53.6}
