torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:30:36,998 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAdaGrad-run | DEBUG flwr 2023-12-01 19:30:36,999 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAdaGrad-run | DEBUG flwr 2023-12-01 19:30:37,000 | connection.py:42 | ChannelConnectivity.READY
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:31:09,979 | client.py:82 | Instance i-0d2f76b7bdf5ce639 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 31, 9, 979122), 'cpu_utilization': 53.2}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:31:52,982 | client.py:104 | Instance i-0d2f76b7bdf5ce639 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 31, 52, 982682), 'cpu_utilization': 57.6}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:32:29,388 | client.py:82 | Instance i-0d2f76b7bdf5ce639 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 32, 29, 388453), 'cpu_utilization': 53.4}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:32:58,856 | client.py:104 | Instance i-0d2f76b7bdf5ce639 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 32, 58, 856593), 'cpu_utilization': 56.9}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:33:24,420 | client.py:82 | Instance i-0d2f76b7bdf5ce639 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 33, 24, 420513), 'cpu_utilization': 53.6}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:34:13,009 | client.py:104 | Instance i-0d2f76b7bdf5ce639 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 34, 13, 9686), 'cpu_utilization': 45.8}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:34:51,677 | client.py:82 | Instance i-0d2f76b7bdf5ce639 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 34, 51, 677450), 'cpu_utilization': 53.9}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:35:45,651 | client.py:104 | Instance i-0d2f76b7bdf5ce639 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 35, 45, 651151), 'cpu_utilization': 55.7}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:36:23,567 | client.py:82 | Instance i-0d2f76b7bdf5ce639 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 36, 23, 567257), 'cpu_utilization': 53.1}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:37:27,405 | client.py:104 | Instance i-0d2f76b7bdf5ce639 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 37, 27, 404849), 'cpu_utilization': 55.6}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:37:40,534 | client.py:82 | Instance i-0d2f76b7bdf5ce639 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 37, 40, 533783), 'cpu_utilization': 52.8}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:38:54,376 | client.py:104 | Instance i-0d2f76b7bdf5ce639 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 38, 54, 375886), 'cpu_utilization': 57.7}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:39:24,385 | client.py:82 | Instance i-0d2f76b7bdf5ce639 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 39, 24, 385681), 'cpu_utilization': 53.4}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 19:39:58,120 | client.py:104 | Instance i-0d2f76b7bdf5ce639 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 39, 58, 120350), 'cpu_utilization': 46.1}
