torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:43:17,388 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAdaGrad-run | DEBUG flwr 2023-12-01 16:43:17,415 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAdaGrad-run | DEBUG flwr 2023-12-01 16:43:17,420 | connection.py:42 | ChannelConnectivity.READY
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:44:00,904 | client.py:82 | Instance i-0d66badcdc5ff7b4b : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 44, 0, 903974), 'cpu_utilization': 52.5}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:45:04,489 | client.py:104 | Instance i-0d66badcdc5ff7b4b : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 45, 4, 488882), 'cpu_utilization': 30.4}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:45:18,436 | client.py:82 | Instance i-0d66badcdc5ff7b4b : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 45, 18, 436527), 'cpu_utilization': 52.3}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:46:04,848 | client.py:104 | Instance i-0d66badcdc5ff7b4b : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 46, 4, 848751), 'cpu_utilization': 55.2}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:46:42,662 | client.py:82 | Instance i-0d66badcdc5ff7b4b : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 46, 42, 662669), 'cpu_utilization': 52.7}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:47:15,441 | client.py:104 | Instance i-0d66badcdc5ff7b4b : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 47, 15, 441309), 'cpu_utilization': 56.6}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:47:49,172 | client.py:82 | Instance i-0d66badcdc5ff7b4b : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 47, 49, 171950), 'cpu_utilization': 52.6}
torch-FedAdaGrad-run | INFO flwr 2023-12-01 16:48:40,824 | client.py:104 | Instance i-0d66badcdc5ff7b4b : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 48, 40, 824451), 'cpu_utilization': 55.0}
