torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:34:39,079 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAdaGrad-run | DEBUG flwr 2023-11-26 13:34:39,113 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAdaGrad-run | DEBUG flwr 2023-11-26 13:34:39,114 | connection.py:42 | ChannelConnectivity.READY
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:35:16,121 | client.py:82 | Instance i-0b25c1d4ccb47aeda : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 35, 16, 120961), 'cpu_utilization': 53.0}
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:35:51,750 | client.py:104 | Instance i-0b25c1d4ccb47aeda : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 35, 51, 749951), 'cpu_utilization': 53.9}
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:36:26,228 | client.py:82 | Instance i-0b25c1d4ccb47aeda : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 36, 26, 228032), 'cpu_utilization': 52.6}
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:37:00,881 | client.py:104 | Instance i-0b25c1d4ccb47aeda : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 37, 0, 881761), 'cpu_utilization': 54.2}
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:37:26,176 | client.py:82 | Instance i-0b25c1d4ccb47aeda : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 37, 26, 176448), 'cpu_utilization': 52.9}
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:38:01,403 | client.py:104 | Instance i-0b25c1d4ccb47aeda : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 38, 1, 402847), 'cpu_utilization': 54.8}
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:38:36,128 | client.py:82 | Instance i-0b25c1d4ccb47aeda : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 38, 36, 128350), 'cpu_utilization': 53.1}
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:39:30,405 | client.py:104 | Instance i-0b25c1d4ccb47aeda : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 39, 30, 405715), 'cpu_utilization': 53.9}
