torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:34:29,074 | app.py:162 | Starting Flower server, config: ServerConfig(num_rounds=10, round_timeout=None)
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:34:29,081 | app.py:175 | Flower ECE: gRPC server running (10 rounds), SSL is disabled
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:34:29,082 | server.py:89 | Initializing global parameters
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:34:29,087 | server.py:272 | Using initial parameters provided by strategy
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:34:29,095 | server.py:91 | Evaluating initial parameters
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:34:52,020 | server.py:94 | initial parameters (loss, other metrics): 2.349940538406372, {'accuracy': 0.6252415180206299}
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:34:52,020 | server.py:104 | FL starting
torch-FedAdaGrad-run | DEBUG flwr 2023-11-26 13:34:52,021 | server.py:222 | fit_round 1: strategy sampled 5 clients (out of 5)
torch-FedAdaGrad-run | DEBUG flwr 2023-11-26 13:35:17,554 | server.py:236 | fit_round 1 received 5 results and 0 failures
torch-FedAdaGrad-run | WARNING flwr 2023-11-26 13:35:17,710 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:35:40,237 | server.py:125 | fit progress: (1, 17989.46484375, {'accuracy': 0.6098958253860474}, 48.21653508899999)
torch-FedAdaGrad-run | DEBUG flwr 2023-11-26 13:35:40,238 | server.py:173 | evaluate_round 1: strategy sampled 5 clients (out of 5)
torch-FedAdaGrad-run | DEBUG flwr 2023-11-26 13:36:01,537 | server.py:187 | evaluate_round 1 received 5 results and 0 failures
torch-FedAdaGrad-run | WARNING flwr 2023-11-26 13:36:01,537 | fedavg.py:273 | No evaluate_metrics_aggregation_fn provided
torch-FedAdaGrad-run | DEBUG flwr 2023-11-26 13:36:01,538 | server.py:222 | fit_round 2: strategy sampled 5 clients (out of 5)
torch-FedAdaGrad-run | DEBUG flwr 2023-11-26 13:36:27,450 | server.py:236 | fit_round 2 received 5 results and 0 failures
torch-FedAdaGrad-run | INFO flwr 2023-11-26 13:36:50,086 | server.py:125 | fit progress: (2, 119920.140625, {'accuracy': 0.5963888764381409}, 118.0652781010001)
torch-FedAdaGrad-run | DEBUG flwr 2023-11-26 13:36:50,092 | server.py:173 | evaluate_round 2: strategy sampled 5 clients (out of 5)
torch-FedAdaGrad-run | DEBUG flwr 2023-11-26 13:37:02,546 | server.py:187 | evaluate_round 2 received 5 results and 0 failures
torch-FedAdaGrad-run | DEBUG flwr 2023-11-26 13:37:02,546 | server.py:222 | fit_round 3: strategy sampled 5 clients (out of 5)
torch-FedAdaGrad-run | DEBUG flwr 2023-11-26 13:37:27,442 | server.py:236 | fit_round 3 received 5 results and 0 failures
