torch-FedAdam-run | INFO flwr 2023-12-01 19:54:46,060 | app.py:162 | Starting Flower server, config: ServerConfig(num_rounds=10, round_timeout=None)
torch-FedAdam-run | INFO flwr 2023-12-01 19:54:46,067 | app.py:175 | Flower ECE: gRPC server running (10 rounds), SSL is disabled
torch-FedAdam-run | INFO flwr 2023-12-01 19:54:46,070 | server.py:89 | Initializing global parameters
torch-FedAdam-run | INFO flwr 2023-12-01 19:54:46,073 | server.py:272 | Using initial parameters provided by strategy
torch-FedAdam-run | INFO flwr 2023-12-01 19:54:46,077 | server.py:91 | Evaluating initial parameters
torch-FedAdam-run | INFO flwr 2023-12-01 19:55:27,319 | server.py:94 | initial parameters (loss, other metrics): 2.27453351020813, {'accuracy': 0.5425653457641602}
torch-FedAdam-run | INFO flwr 2023-12-01 19:55:27,320 | server.py:104 | FL starting
torch-FedAdam-run | DEBUG flwr 2023-12-01 19:55:27,327 | server.py:222 | fit_round 1: strategy sampled 2 clients (out of 2)
torch-FedAdam-run | DEBUG flwr 2023-12-01 19:56:21,107 | server.py:236 | fit_round 1 received 2 results and 0 failures
torch-FedAdam-run | WARNING flwr 2023-12-01 19:56:21,169 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
torch-FedAdam-run | INFO flwr 2023-12-01 19:57:02,483 | server.py:125 | fit progress: (1, 40722.8359375, {'accuracy': 0.5289682745933533}, 95.16261936299998)
torch-FedAdam-run | DEBUG flwr 2023-12-01 19:57:02,483 | server.py:173 | evaluate_round 1: strategy sampled 2 clients (out of 2)
torch-FedAdam-run | DEBUG flwr 2023-12-01 19:57:15,244 | server.py:187 | evaluate_round 1 received 2 results and 0 failures
torch-FedAdam-run | WARNING flwr 2023-12-01 19:57:15,245 | fedavg.py:273 | No evaluate_metrics_aggregation_fn provided
torch-FedAdam-run | DEBUG flwr 2023-12-01 19:57:15,245 | server.py:222 | fit_round 2: strategy sampled 2 clients (out of 2)
torch-FedAdam-run | DEBUG flwr 2023-12-01 19:58:06,912 | server.py:236 | fit_round 2 received 2 results and 0 failures
torch-FedAdam-run | INFO flwr 2023-12-01 19:58:29,448 | server.py:125 | fit progress: (2, 1836037.25, {'accuracy': 0.5161265134811401}, 182.12852002599993)
torch-FedAdam-run | DEBUG flwr 2023-12-01 19:58:29,453 | server.py:173 | evaluate_round 2: strategy sampled 2 clients (out of 2)
torch-FedAdam-run | DEBUG flwr 2023-12-01 19:58:42,305 | server.py:187 | evaluate_round 2 received 2 results and 0 failures
torch-FedAdam-run | DEBUG flwr 2023-12-01 19:58:42,306 | server.py:222 | fit_round 3: strategy sampled 2 clients (out of 2)
torch-FedAdam-run | DEBUG flwr 2023-12-01 19:59:34,659 | server.py:236 | fit_round 3 received 2 results and 0 failures
torch-FedAdam-run | INFO flwr 2023-12-01 20:00:15,976 | server.py:125 | fit progress: (3, 13053357.0, {'accuracy': 0.503978967666626}, 288.65628792300004)
torch-FedAdam-run | DEBUG flwr 2023-12-01 20:00:15,977 | server.py:173 | evaluate_round 3: strategy sampled 2 clients (out of 2)
torch-FedAdam-run | DEBUG flwr 2023-12-01 20:00:28,093 | server.py:187 | evaluate_round 3 received 2 results and 0 failures
torch-FedAdam-run | DEBUG flwr 2023-12-01 20:00:28,093 | server.py:222 | fit_round 4: strategy sampled 2 clients (out of 2)
torch-FedAdam-run | DEBUG flwr 2023-12-01 20:01:20,364 | server.py:236 | fit_round 4 received 2 results and 0 failures
torch-FedAdam-run | INFO flwr 2023-12-01 20:01:42,927 | server.py:125 | fit progress: (4, 47141060.0, {'accuracy': 0.49247077107429504}, 375.607400029)
torch-FedAdam-run | DEBUG flwr 2023-12-01 20:01:42,932 | server.py:173 | evaluate_round 4: strategy sampled 2 clients (out of 2)
torch-FedAdam-run | DEBUG flwr 2023-12-01 20:01:55,457 | server.py:187 | evaluate_round 4 received 2 results and 0 failures
torch-FedAdam-run | DEBUG flwr 2023-12-01 20:01:55,458 | server.py:222 | fit_round 5: strategy sampled 2 clients (out of 2)
torch-FedAdam-run | DEBUG flwr 2023-12-01 20:02:48,059 | server.py:236 | fit_round 5 received 2 results and 0 failures
torch-FedAdam-run | INFO flwr 2023-12-01 20:03:29,372 | server.py:125 | fit progress: (5, 119651976.0, {'accuracy': 0.48155272006988525}, 482.05242659600026)
torch-FedAdam-run | DEBUG flwr 2023-12-01 20:03:29,373 | server.py:173 | evaluate_round 5: strategy sampled 2 clients (out of 2)
torch-FedAdam-run | DEBUG flwr 2023-12-01 20:03:42,244 | server.py:187 | evaluate_round 5 received 2 results and 0 failures
torch-FedAdam-run | DEBUG flwr 2023-12-01 20:03:42,245 | server.py:222 | fit_round 6: strategy sampled 2 clients (out of 2)
torch-FedAdam-run | DEBUG flwr 2023-12-01 20:04:34,948 | server.py:236 | fit_round 6 received 2 results and 0 failures
torch-FedAdam-run | INFO flwr 2023-12-01 20:05:16,260 | server.py:125 | fit progress: (6, 244918224.0, {'accuracy': 0.4711805582046509}, 588.9397568130003)
torch-FedAdam-run | DEBUG flwr 2023-12-01 20:05:16,260 | server.py:173 | evaluate_round 6: strategy sampled 2 clients (out of 2)
torch-FedAdam-run | DEBUG flwr 2023-12-01 20:05:29,017 | server.py:187 | evaluate_round 6 received 2 results and 0 failures
torch-FedAdam-run | DEBUG flwr 2023-12-01 20:05:29,017 | server.py:222 | fit_round 7: strategy sampled 2 clients (out of 2)
torch-FedAdam-run | DEBUG flwr 2023-12-01 20:06:20,511 | server.py:236 | fit_round 7 received 2 results and 0 failures
torch-FedAdam-run | INFO flwr 2023-12-01 20:07:01,818 | server.py:125 | fit progress: (7, 433414688.0, {'accuracy': 0.4613143503665924}, 694.4981491009999)
torch-FedAdam-run | DEBUG flwr 2023-12-01 20:07:01,818 | server.py:173 | evaluate_round 7: strategy sampled 2 clients (out of 2)
torch-FedAdam-run | DEBUG flwr 2023-12-01 20:07:23,732 | server.py:187 | evaluate_round 7 received 2 results and 0 failures
torch-FedAdam-run | DEBUG flwr 2023-12-01 20:07:23,732 | server.py:222 | fit_round 8: strategy sampled 2 clients (out of 2)
torch-FedAdam-run | DEBUG flwr 2023-12-01 20:08:16,177 | server.py:236 | fit_round 8 received 2 results and 0 failures
torch-FedAdam-run | INFO flwr 2023-12-01 20:08:39,068 | server.py:125 | fit progress: (8, 690831744.0, {'accuracy': 0.45191797614097595}, 791.74813322)
torch-FedAdam-run | DEBUG flwr 2023-12-01 20:08:39,073 | server.py:173 | evaluate_round 8: strategy sampled 2 clients (out of 2)
torch-FedAdam-run | DEBUG flwr 2023-12-01 20:09:00,562 | server.py:187 | evaluate_round 8 received 2 results and 0 failures
torch-FedAdam-run | DEBUG flwr 2023-12-01 20:09:00,563 | server.py:222 | fit_round 9: strategy sampled 2 clients (out of 2)
torch-FedAdam-run | DEBUG flwr 2023-12-01 20:09:54,070 | server.py:236 | fit_round 9 received 2 results and 0 failures
torch-FedAdam-run | INFO flwr 2023-12-01 20:10:16,456 | server.py:125 | fit progress: (9, 1018001792.0, {'accuracy': 0.4428940713405609}, 889.1358629199999)
torch-FedAdam-run | DEBUG flwr 2023-12-01 20:10:16,456 | server.py:173 | evaluate_round 9: strategy sampled 2 clients (out of 2)
torch-FedAdam-run | DEBUG flwr 2023-12-01 20:10:37,923 | server.py:187 | evaluate_round 9 received 2 results and 0 failures
torch-FedAdam-run | DEBUG flwr 2023-12-01 20:10:37,923 | server.py:222 | fit_round 10: strategy sampled 2 clients (out of 2)
torch-FedAdam-run | DEBUG flwr 2023-12-01 20:11:30,959 | server.py:236 | fit_round 10 received 2 results and 0 failures
