torch-FedAdam-run | INFO flwr 2023-11-30 21:33:32,255 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAdam-run | DEBUG flwr 2023-11-30 21:33:32,273 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAdam-run | DEBUG flwr 2023-11-30 21:33:32,274 | connection.py:42 | ChannelConnectivity.READY
torch-FedAdam-run | INFO flwr 2023-11-30 21:34:07,982 | client.py:82 | Instance i-04dd6fc51e3959ccd : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 30, 21, 34, 7, 982516), 'cpu_utilization': 53.9}
torch-FedAdam-run | INFO flwr 2023-11-30 21:34:59,999 | client.py:104 | Instance i-04dd6fc51e3959ccd : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 30, 21, 34, 59, 999406), 'cpu_utilization': 30.8}
torch-FedAdam-run | INFO flwr 2023-11-30 21:35:21,263 | client.py:82 | Instance i-04dd6fc51e3959ccd : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 30, 21, 35, 21, 263466), 'cpu_utilization': 52.5}
torch-FedAdam-run | INFO flwr 2023-11-30 21:36:21,534 | client.py:104 | Instance i-04dd6fc51e3959ccd : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 30, 21, 36, 21, 534148), 'cpu_utilization': 54.5}
torch-FedAdam-run | INFO flwr 2023-11-30 21:36:52,111 | client.py:82 | Instance i-04dd6fc51e3959ccd : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 30, 21, 36, 52, 110812), 'cpu_utilization': 53.1}
torch-FedAdam-run | INFO flwr 2023-11-30 21:37:48,532 | client.py:104 | Instance i-04dd6fc51e3959ccd : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 30, 21, 37, 48, 532617), 'cpu_utilization': 57.5}
torch-FedAdam-run | INFO flwr 2023-11-30 21:38:13,758 | client.py:82 | Instance i-04dd6fc51e3959ccd : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 30, 21, 38, 13, 758782), 'cpu_utilization': 52.8}
torch-FedAdam-run | INFO flwr 2023-11-30 21:38:52,419 | client.py:104 | Instance i-04dd6fc51e3959ccd : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 30, 21, 38, 52, 419726), 'cpu_utilization': 57.5}
torch-FedAdam-run | INFO flwr 2023-11-30 21:39:18,985 | client.py:82 | Instance i-04dd6fc51e3959ccd : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 30, 21, 39, 18, 985759), 'cpu_utilization': 52.5}
torch-FedAdam-run | INFO flwr 2023-11-30 21:40:19,688 | client.py:104 | Instance i-04dd6fc51e3959ccd : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 30, 21, 40, 19, 688133), 'cpu_utilization': 53.6}
torch-FedAdam-run | INFO flwr 2023-11-30 21:40:41,153 | client.py:82 | Instance i-04dd6fc51e3959ccd : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 30, 21, 40, 41, 153248), 'cpu_utilization': 52.6}
torch-FedAdam-run | INFO flwr 2023-11-30 21:41:22,657 | client.py:104 | Instance i-04dd6fc51e3959ccd : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 30, 21, 41, 22, 657094), 'cpu_utilization': 54.5}
torch-FedAdam-run | INFO flwr 2023-11-30 21:41:43,891 | client.py:82 | Instance i-04dd6fc51e3959ccd : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 30, 21, 41, 43, 891266), 'cpu_utilization': 52.6}
torch-FedAdam-run | INFO flwr 2023-11-30 21:42:25,884 | client.py:104 | Instance i-04dd6fc51e3959ccd : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 30, 21, 42, 25, 883922), 'cpu_utilization': 53.9}
torch-FedAdam-run | INFO flwr 2023-11-30 21:42:47,908 | client.py:82 | Instance i-04dd6fc51e3959ccd : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 30, 21, 42, 47, 908444), 'cpu_utilization': 52.4}
torch-FedAdam-run | INFO flwr 2023-11-30 21:43:44,193 | client.py:104 | Instance i-04dd6fc51e3959ccd : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 30, 21, 43, 44, 193672), 'cpu_utilization': 56.2}
torch-FedAdam-run | INFO flwr 2023-11-30 21:44:18,735 | client.py:82 | Instance i-04dd6fc51e3959ccd : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 30, 21, 44, 18, 735485), 'cpu_utilization': 52.4}
torch-FedAdam-run | INFO flwr 2023-11-30 21:45:07,926 | client.py:104 | Instance i-04dd6fc51e3959ccd : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 30, 21, 45, 7, 925807), 'cpu_utilization': 29.8}
torch-FedAdam-run | INFO flwr 2023-11-30 21:45:28,305 | client.py:82 | Instance i-04dd6fc51e3959ccd : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 30, 21, 45, 28, 305170), 'cpu_utilization': 52.4}
torch-FedAdam-run | INFO flwr 2023-11-30 21:46:02,540 | client.py:104 | Instance i-04dd6fc51e3959ccd : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 30, 21, 46, 2, 539912), 'cpu_utilization': 58.3}
torch-FedAdam-run | DEBUG flwr 2023-11-30 21:46:18,012 | connection.py:139 | gRPC channel closed
torch-FedAdam-run | INFO flwr 2023-11-30 21:46:18,012 | app.py:215 | Disconnect and shut down
