torch-FedAdam-run | INFO flwr 2023-12-01 19:43:59,828 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAdam-run | DEBUG flwr 2023-12-01 19:43:59,833 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAdam-run | DEBUG flwr 2023-12-01 19:43:59,838 | connection.py:42 | ChannelConnectivity.TRANSIENT_FAILURE
torch-FedAdam-run | DEBUG flwr 2023-12-01 19:44:00,040 | connection.py:139 | gRPC channel closed
torch-FedAdam-run | INFO flwr 2023-12-01 19:44:10,052 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAdam-run | INFO flwr 2023-12-01 19:44:10,052 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAdam-run | DEBUG flwr 2023-12-01 19:44:10,080 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAdam-run | DEBUG flwr 2023-12-01 19:44:10,080 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAdam-run | DEBUG flwr 2023-12-01 19:44:10,081 | connection.py:42 | ChannelConnectivity.CONNECTING
torch-FedAdam-run | DEBUG flwr 2023-12-01 19:44:10,081 | connection.py:42 | ChannelConnectivity.CONNECTING
torch-FedAdam-run | DEBUG flwr 2023-12-01 19:44:10,093 | connection.py:42 | ChannelConnectivity.READY
torch-FedAdam-run | DEBUG flwr 2023-12-01 19:44:10,093 | connection.py:42 | ChannelConnectivity.READY
torch-FedAdam-run | INFO flwr 2023-12-01 19:44:36,571 | client.py:82 | Instance i-0355f35a1b08cecb1 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 44, 36, 571379), 'cpu_utilization': 56.1}
torch-FedAdam-run | INFO flwr 2023-12-01 19:44:36,571 | client.py:82 | Instance i-0355f35a1b08cecb1 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 44, 36, 571379), 'cpu_utilization': 56.1}
torch-FedAdam-run | INFO flwr 2023-12-01 19:45:45,851 | client.py:104 | Instance i-0355f35a1b08cecb1 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 45, 45, 851433), 'cpu_utilization': 55.3}
torch-FedAdam-run | INFO flwr 2023-12-01 19:45:45,851 | client.py:104 | Instance i-0355f35a1b08cecb1 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 45, 45, 851433), 'cpu_utilization': 55.3}
torch-FedAdam-run | INFO flwr 2023-12-01 19:46:11,962 | client.py:82 | Instance i-0355f35a1b08cecb1 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 46, 11, 961804), 'cpu_utilization': 55.7}
torch-FedAdam-run | INFO flwr 2023-12-01 19:46:11,962 | client.py:82 | Instance i-0355f35a1b08cecb1 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 46, 11, 961804), 'cpu_utilization': 55.7}
torch-FedAdam-run | INFO flwr 2023-12-01 19:47:03,275 | client.py:104 | Instance i-0355f35a1b08cecb1 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 47, 3, 274871), 'cpu_utilization': 55.1}
torch-FedAdam-run | INFO flwr 2023-12-01 19:47:03,275 | client.py:104 | Instance i-0355f35a1b08cecb1 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 47, 3, 274871), 'cpu_utilization': 55.1}
torch-FedAdam-run | INFO flwr 2023-12-01 19:47:29,829 | client.py:82 | Instance i-0355f35a1b08cecb1 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 47, 29, 828791), 'cpu_utilization': 55.3}
torch-FedAdam-run | INFO flwr 2023-12-01 19:47:29,829 | client.py:82 | Instance i-0355f35a1b08cecb1 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 47, 29, 828791), 'cpu_utilization': 55.3}
torch-FedAdam-run | INFO flwr 2023-12-01 19:48:34,356 | client.py:104 | Instance i-0355f35a1b08cecb1 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 48, 34, 356135), 'cpu_utilization': 54.3}
torch-FedAdam-run | INFO flwr 2023-12-01 19:48:34,356 | client.py:104 | Instance i-0355f35a1b08cecb1 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 48, 34, 356135), 'cpu_utilization': 54.3}
torch-FedAdam-run | INFO flwr 2023-12-01 19:49:12,919 | client.py:82 | Instance i-0355f35a1b08cecb1 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 49, 12, 918935), 'cpu_utilization': 54.9}
torch-FedAdam-run | INFO flwr 2023-12-01 19:49:12,919 | client.py:82 | Instance i-0355f35a1b08cecb1 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 49, 12, 918935), 'cpu_utilization': 54.9}
torch-FedAdam-run | INFO flwr 2023-12-01 19:50:06,130 | client.py:104 | Instance i-0355f35a1b08cecb1 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 50, 6, 130669), 'cpu_utilization': 39.0}
torch-FedAdam-run | INFO flwr 2023-12-01 19:50:06,130 | client.py:104 | Instance i-0355f35a1b08cecb1 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 50, 6, 130669), 'cpu_utilization': 39.0}
