torch-FedAdam-run | INFO flwr 2023-12-01 19:43:59,829 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAdam-run | DEBUG flwr 2023-12-01 19:43:59,833 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAdam-run | DEBUG flwr 2023-12-01 19:43:59,833 | connection.py:42 | ChannelConnectivity.TRANSIENT_FAILURE
torch-FedAdam-run | DEBUG flwr 2023-12-01 19:44:00,035 | connection.py:139 | gRPC channel closed
torch-FedAdam-run | INFO flwr 2023-12-01 19:44:10,047 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAdam-run | INFO flwr 2023-12-01 19:44:10,047 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAdam-run | DEBUG flwr 2023-12-01 19:44:10,073 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAdam-run | DEBUG flwr 2023-12-01 19:44:10,073 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAdam-run | DEBUG flwr 2023-12-01 19:44:10,074 | connection.py:42 | ChannelConnectivity.CONNECTING
torch-FedAdam-run | DEBUG flwr 2023-12-01 19:44:10,074 | connection.py:42 | ChannelConnectivity.CONNECTING
torch-FedAdam-run | DEBUG flwr 2023-12-01 19:44:10,093 | connection.py:42 | ChannelConnectivity.READY
torch-FedAdam-run | DEBUG flwr 2023-12-01 19:44:10,093 | connection.py:42 | ChannelConnectivity.READY
torch-FedAdam-run | INFO flwr 2023-12-01 19:44:34,245 | client.py:82 | Instance i-041d51ad1101022de : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 44, 34, 245284), 'cpu_utilization': 52.7}
torch-FedAdam-run | INFO flwr 2023-12-01 19:44:34,245 | client.py:82 | Instance i-041d51ad1101022de : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 44, 34, 245284), 'cpu_utilization': 52.7}
torch-FedAdam-run | INFO flwr 2023-12-01 19:45:46,573 | client.py:104 | Instance i-041d51ad1101022de : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 45, 46, 573328), 'cpu_utilization': 49.2}
torch-FedAdam-run | INFO flwr 2023-12-01 19:45:46,573 | client.py:104 | Instance i-041d51ad1101022de : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 45, 46, 573328), 'cpu_utilization': 49.2}
torch-FedAdam-run | INFO flwr 2023-12-01 19:46:10,155 | client.py:82 | Instance i-041d51ad1101022de : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 46, 10, 154975), 'cpu_utilization': 52.8}
torch-FedAdam-run | INFO flwr 2023-12-01 19:46:10,155 | client.py:82 | Instance i-041d51ad1101022de : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 46, 10, 154975), 'cpu_utilization': 52.8}
torch-FedAdam-run | INFO flwr 2023-12-01 19:47:05,380 | client.py:104 | Instance i-041d51ad1101022de : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 47, 5, 380745), 'cpu_utilization': 53.7}
torch-FedAdam-run | INFO flwr 2023-12-01 19:47:05,380 | client.py:104 | Instance i-041d51ad1101022de : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 47, 5, 380745), 'cpu_utilization': 53.7}
torch-FedAdam-run | INFO flwr 2023-12-01 19:47:27,910 | client.py:82 | Instance i-041d51ad1101022de : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 47, 27, 910672), 'cpu_utilization': 52.1}
torch-FedAdam-run | INFO flwr 2023-12-01 19:47:27,910 | client.py:82 | Instance i-041d51ad1101022de : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 47, 27, 910672), 'cpu_utilization': 52.1}
torch-FedAdam-run | INFO flwr 2023-12-01 19:48:33,181 | client.py:104 | Instance i-041d51ad1101022de : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 48, 33, 181208), 'cpu_utilization': 54.1}
