torch-FedAdam-run | INFO flwr 2023-12-01 16:57:56,495 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAdam-run | DEBUG flwr 2023-12-01 16:57:56,497 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAdam-run | DEBUG flwr 2023-12-01 16:57:56,497 | connection.py:42 | ChannelConnectivity.TRANSIENT_FAILURE
torch-FedAdam-run | DEBUG flwr 2023-12-01 16:57:56,700 | connection.py:139 | gRPC channel closed
torch-FedAdam-run | INFO flwr 2023-12-01 16:58:06,711 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAdam-run | INFO flwr 2023-12-01 16:58:06,711 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAdam-run | DEBUG flwr 2023-12-01 16:58:06,741 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAdam-run | DEBUG flwr 2023-12-01 16:58:06,741 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAdam-run | DEBUG flwr 2023-12-01 16:58:06,743 | connection.py:42 | ChannelConnectivity.READY
torch-FedAdam-run | DEBUG flwr 2023-12-01 16:58:06,743 | connection.py:42 | ChannelConnectivity.READY
torch-FedAdam-run | INFO flwr 2023-12-01 16:58:32,146 | client.py:82 | Instance i-076f1b51ca7bf2e2f : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 58, 32, 146466), 'cpu_utilization': 52.6}
torch-FedAdam-run | INFO flwr 2023-12-01 16:58:32,146 | client.py:82 | Instance i-076f1b51ca7bf2e2f : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 58, 32, 146466), 'cpu_utilization': 52.6}
torch-FedAdam-run | INFO flwr 2023-12-01 16:59:26,237 | client.py:104 | Instance i-076f1b51ca7bf2e2f : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 59, 26, 237441), 'cpu_utilization': 48.1}
torch-FedAdam-run | INFO flwr 2023-12-01 16:59:26,237 | client.py:104 | Instance i-076f1b51ca7bf2e2f : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 59, 26, 237441), 'cpu_utilization': 48.1}
