torch-FedAdam-run | INFO flwr 2023-12-01 16:57:56,523 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAdam-run | DEBUG flwr 2023-12-01 16:57:56,525 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAdam-run | DEBUG flwr 2023-12-01 16:57:56,525 | connection.py:42 | ChannelConnectivity.CONNECTING
torch-FedAdam-run | DEBUG flwr 2023-12-01 16:57:56,534 | connection.py:42 | ChannelConnectivity.TRANSIENT_FAILURE
torch-FedAdam-run | DEBUG flwr 2023-12-01 16:57:56,737 | connection.py:139 | gRPC channel closed
torch-FedAdam-run | INFO flwr 2023-12-01 16:58:06,751 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAdam-run | INFO flwr 2023-12-01 16:58:06,751 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAdam-run | DEBUG flwr 2023-12-01 16:58:06,777 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAdam-run | DEBUG flwr 2023-12-01 16:58:06,777 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAdam-run | DEBUG flwr 2023-12-01 16:58:06,778 | connection.py:42 | ChannelConnectivity.CONNECTING
torch-FedAdam-run | DEBUG flwr 2023-12-01 16:58:06,778 | connection.py:42 | ChannelConnectivity.CONNECTING
torch-FedAdam-run | DEBUG flwr 2023-12-01 16:58:06,788 | connection.py:42 | ChannelConnectivity.READY
torch-FedAdam-run | DEBUG flwr 2023-12-01 16:58:06,788 | connection.py:42 | ChannelConnectivity.READY
torch-FedAdam-run | INFO flwr 2023-12-01 16:58:31,660 | client.py:82 | Instance i-0819cce4bce0304a2 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 58, 31, 660110), 'cpu_utilization': 55.3}
torch-FedAdam-run | INFO flwr 2023-12-01 16:58:31,660 | client.py:82 | Instance i-0819cce4bce0304a2 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 58, 31, 660110), 'cpu_utilization': 55.3}
torch-FedAdam-run | INFO flwr 2023-12-01 16:59:26,163 | client.py:104 | Instance i-0819cce4bce0304a2 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 59, 26, 163564), 'cpu_utilization': 48.0}
torch-FedAdam-run | INFO flwr 2023-12-01 16:59:26,163 | client.py:104 | Instance i-0819cce4bce0304a2 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 59, 26, 163564), 'cpu_utilization': 48.0}
torch-FedAdam-run | INFO flwr 2023-12-01 16:59:51,752 | client.py:82 | Instance i-0819cce4bce0304a2 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 59, 51, 752602), 'cpu_utilization': 55.8}
torch-FedAdam-run | INFO flwr 2023-12-01 16:59:51,752 | client.py:82 | Instance i-0819cce4bce0304a2 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 59, 51, 752602), 'cpu_utilization': 55.8}
