torch-FedAdam-run | INFO flwr 2023-12-01 19:43:59,833 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAdam-run | DEBUG flwr 2023-12-01 19:43:59,835 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAdam-run | DEBUG flwr 2023-12-01 19:43:59,835 | connection.py:42 | ChannelConnectivity.CONNECTING
torch-FedAdam-run | DEBUG flwr 2023-12-01 19:43:59,844 | connection.py:42 | ChannelConnectivity.TRANSIENT_FAILURE
torch-FedAdam-run | DEBUG flwr 2023-12-01 19:44:00,049 | connection.py:139 | gRPC channel closed
torch-FedAdam-run | INFO flwr 2023-12-01 19:44:10,064 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAdam-run | INFO flwr 2023-12-01 19:44:10,064 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAdam-run | DEBUG flwr 2023-12-01 19:44:10,089 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAdam-run | DEBUG flwr 2023-12-01 19:44:10,089 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAdam-run | DEBUG flwr 2023-12-01 19:44:10,090 | connection.py:42 | ChannelConnectivity.CONNECTING
torch-FedAdam-run | DEBUG flwr 2023-12-01 19:44:10,090 | connection.py:42 | ChannelConnectivity.CONNECTING
torch-FedAdam-run | DEBUG flwr 2023-12-01 19:44:10,098 | connection.py:42 | ChannelConnectivity.READY
torch-FedAdam-run | DEBUG flwr 2023-12-01 19:44:10,098 | connection.py:42 | ChannelConnectivity.READY
torch-FedAdam-run | INFO flwr 2023-12-01 19:44:35,956 | client.py:82 | Instance i-08b499240b32675a8 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 44, 35, 956686), 'cpu_utilization': 55.0}
torch-FedAdam-run | INFO flwr 2023-12-01 19:44:35,956 | client.py:82 | Instance i-08b499240b32675a8 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 44, 35, 956686), 'cpu_utilization': 55.0}
torch-FedAdam-run | INFO flwr 2023-12-01 19:45:57,422 | client.py:104 | Instance i-08b499240b32675a8 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 45, 57, 422675), 'cpu_utilization': 47.5}
torch-FedAdam-run | INFO flwr 2023-12-01 19:45:57,422 | client.py:104 | Instance i-08b499240b32675a8 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 45, 57, 422675), 'cpu_utilization': 47.5}
torch-FedAdam-run | INFO flwr 2023-12-01 19:46:11,354 | client.py:82 | Instance i-08b499240b32675a8 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 46, 11, 354392), 'cpu_utilization': 54.9}
torch-FedAdam-run | INFO flwr 2023-12-01 19:46:11,354 | client.py:82 | Instance i-08b499240b32675a8 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 46, 11, 354392), 'cpu_utilization': 54.9}
torch-FedAdam-run | INFO flwr 2023-12-01 19:47:15,158 | client.py:104 | Instance i-08b499240b32675a8 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 47, 15, 158227), 'cpu_utilization': 54.5}
torch-FedAdam-run | INFO flwr 2023-12-01 19:47:15,158 | client.py:104 | Instance i-08b499240b32675a8 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 47, 15, 158227), 'cpu_utilization': 54.5}
torch-FedAdam-run | INFO flwr 2023-12-01 19:47:29,160 | client.py:82 | Instance i-08b499240b32675a8 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 47, 29, 160011), 'cpu_utilization': 54.6}
torch-FedAdam-run | INFO flwr 2023-12-01 19:47:29,160 | client.py:82 | Instance i-08b499240b32675a8 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 47, 29, 160011), 'cpu_utilization': 54.6}
torch-FedAdam-run | INFO flwr 2023-12-01 19:48:34,105 | client.py:104 | Instance i-08b499240b32675a8 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 48, 34, 104930), 'cpu_utilization': 44.9}
torch-FedAdam-run | INFO flwr 2023-12-01 19:48:34,105 | client.py:104 | Instance i-08b499240b32675a8 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 48, 34, 104930), 'cpu_utilization': 44.9}
torch-FedAdam-run | INFO flwr 2023-12-01 19:49:00,587 | client.py:82 | Instance i-08b499240b32675a8 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 49, 0, 587658), 'cpu_utilization': 55.2}
torch-FedAdam-run | INFO flwr 2023-12-01 19:49:00,587 | client.py:82 | Instance i-08b499240b32675a8 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 49, 0, 587658), 'cpu_utilization': 55.2}
torch-FedAdam-run | INFO flwr 2023-12-01 19:50:07,242 | client.py:104 | Instance i-08b499240b32675a8 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 50, 7, 242342), 'cpu_utilization': 53.8}
torch-FedAdam-run | INFO flwr 2023-12-01 19:50:07,242 | client.py:104 | Instance i-08b499240b32675a8 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 50, 7, 242342), 'cpu_utilization': 53.8}
torch-FedAdam-run | INFO flwr 2023-12-01 19:50:30,796 | client.py:82 | Instance i-08b499240b32675a8 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 50, 30, 796433), 'cpu_utilization': 55.0}
torch-FedAdam-run | INFO flwr 2023-12-01 19:50:30,796 | client.py:82 | Instance i-08b499240b32675a8 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 50, 30, 796433), 'cpu_utilization': 55.0}
torch-FedAdam-run | INFO flwr 2023-12-01 19:51:37,504 | client.py:104 | Instance i-08b499240b32675a8 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 51, 37, 504740), 'cpu_utilization': 53.7}
torch-FedAdam-run | INFO flwr 2023-12-01 19:51:37,504 | client.py:104 | Instance i-08b499240b32675a8 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 51, 37, 504740), 'cpu_utilization': 53.7}
torch-FedAdam-run | INFO flwr 2023-12-01 19:52:12,662 | client.py:82 | Instance i-08b499240b32675a8 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 52, 12, 661857), 'cpu_utilization': 54.5}
