torch-FedAdam-run | INFO flwr 2023-12-01 19:43:59,824 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAdam-run | DEBUG flwr 2023-12-01 19:43:59,826 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAdam-run | DEBUG flwr 2023-12-01 19:43:59,826 | connection.py:42 | ChannelConnectivity.TRANSIENT_FAILURE
torch-FedAdam-run | DEBUG flwr 2023-12-01 19:44:00,029 | connection.py:139 | gRPC channel closed
torch-FedAdam-run | INFO flwr 2023-12-01 19:44:10,040 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAdam-run | INFO flwr 2023-12-01 19:44:10,040 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAdam-run | DEBUG flwr 2023-12-01 19:44:10,071 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAdam-run | DEBUG flwr 2023-12-01 19:44:10,071 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAdam-run | DEBUG flwr 2023-12-01 19:44:10,072 | connection.py:42 | ChannelConnectivity.READY
torch-FedAdam-run | DEBUG flwr 2023-12-01 19:44:10,072 | connection.py:42 | ChannelConnectivity.READY
torch-FedAdam-run | INFO flwr 2023-12-01 19:44:53,247 | client.py:82 | Instance i-0912cc1bebaad6fad : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 44, 53, 247279), 'cpu_utilization': 54.3}
torch-FedAdam-run | INFO flwr 2023-12-01 19:44:53,247 | client.py:82 | Instance i-0912cc1bebaad6fad : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 44, 53, 247279), 'cpu_utilization': 54.3}
torch-FedAdam-run | INFO flwr 2023-12-01 19:45:46,905 | client.py:104 | Instance i-0912cc1bebaad6fad : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 45, 46, 904884), 'cpu_utilization': 54.7}
torch-FedAdam-run | INFO flwr 2023-12-01 19:45:46,905 | client.py:104 | Instance i-0912cc1bebaad6fad : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 45, 46, 904884), 'cpu_utilization': 54.7}
torch-FedAdam-run | INFO flwr 2023-12-01 19:46:29,646 | client.py:82 | Instance i-0912cc1bebaad6fad : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 46, 29, 646677), 'cpu_utilization': 53.5}
torch-FedAdam-run | INFO flwr 2023-12-01 19:46:29,646 | client.py:82 | Instance i-0912cc1bebaad6fad : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 46, 29, 646677), 'cpu_utilization': 53.5}
torch-FedAdam-run | INFO flwr 2023-12-01 19:47:05,199 | client.py:104 | Instance i-0912cc1bebaad6fad : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 47, 5, 199311), 'cpu_utilization': 54.0}
torch-FedAdam-run | INFO flwr 2023-12-01 19:47:05,199 | client.py:104 | Instance i-0912cc1bebaad6fad : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 47, 5, 199311), 'cpu_utilization': 54.0}
torch-FedAdam-run | INFO flwr 2023-12-01 19:47:35,300 | client.py:82 | Instance i-0912cc1bebaad6fad : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 47, 35, 300643), 'cpu_utilization': 53.5}
torch-FedAdam-run | INFO flwr 2023-12-01 19:47:35,300 | client.py:82 | Instance i-0912cc1bebaad6fad : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 47, 35, 300643), 'cpu_utilization': 53.5}
torch-FedAdam-run | INFO flwr 2023-12-01 19:48:46,881 | client.py:104 | Instance i-0912cc1bebaad6fad : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 48, 46, 881219), 'cpu_utilization': 54.4}
