torch-FedAdam-run | INFO flwr 2023-12-01 16:57:56,520 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAdam-run | DEBUG flwr 2023-12-01 16:57:56,525 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAdam-run | DEBUG flwr 2023-12-01 16:57:56,528 | connection.py:42 | ChannelConnectivity.TRANSIENT_FAILURE
torch-FedAdam-run | DEBUG flwr 2023-12-01 16:57:56,731 | connection.py:139 | gRPC channel closed
torch-FedAdam-run | INFO flwr 2023-12-01 16:58:06,746 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAdam-run | INFO flwr 2023-12-01 16:58:06,746 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAdam-run | DEBUG flwr 2023-12-01 16:58:06,775 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAdam-run | DEBUG flwr 2023-12-01 16:58:06,775 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAdam-run | DEBUG flwr 2023-12-01 16:58:06,776 | connection.py:42 | ChannelConnectivity.CONNECTING
torch-FedAdam-run | DEBUG flwr 2023-12-01 16:58:06,776 | connection.py:42 | ChannelConnectivity.CONNECTING
torch-FedAdam-run | DEBUG flwr 2023-12-01 16:58:06,788 | connection.py:42 | ChannelConnectivity.READY
torch-FedAdam-run | DEBUG flwr 2023-12-01 16:58:06,788 | connection.py:42 | ChannelConnectivity.READY
torch-FedAdam-run | INFO flwr 2023-12-01 16:58:51,551 | client.py:82 | Instance i-0bdd7b8ae25642919 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 58, 51, 551451), 'cpu_utilization': 53.8}
torch-FedAdam-run | INFO flwr 2023-12-01 16:58:51,551 | client.py:82 | Instance i-0bdd7b8ae25642919 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 58, 51, 551451), 'cpu_utilization': 53.8}
torch-FedAdam-run | INFO flwr 2023-12-01 16:59:27,589 | client.py:104 | Instance i-0bdd7b8ae25642919 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 59, 27, 588932), 'cpu_utilization': 53.6}
torch-FedAdam-run | INFO flwr 2023-12-01 16:59:27,589 | client.py:104 | Instance i-0bdd7b8ae25642919 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 59, 27, 588932), 'cpu_utilization': 53.6}
torch-FedAdam-run | INFO flwr 2023-12-01 16:59:56,058 | client.py:82 | Instance i-0bdd7b8ae25642919 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 59, 56, 58714), 'cpu_utilization': 53.8}
torch-FedAdam-run | INFO flwr 2023-12-01 16:59:56,058 | client.py:82 | Instance i-0bdd7b8ae25642919 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 59, 56, 58714), 'cpu_utilization': 53.8}
torch-FedAdam-run | INFO flwr 2023-12-01 17:00:46,908 | client.py:104 | Instance i-0bdd7b8ae25642919 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 17, 0, 46, 908124), 'cpu_utilization': 53.8}
torch-FedAdam-run | INFO flwr 2023-12-01 17:00:46,908 | client.py:104 | Instance i-0bdd7b8ae25642919 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 17, 0, 46, 908124), 'cpu_utilization': 53.8}
torch-FedAdam-run | INFO flwr 2023-12-01 17:01:05,121 | client.py:82 | Instance i-0bdd7b8ae25642919 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 17, 1, 5, 121584), 'cpu_utilization': 54.0}
torch-FedAdam-run | INFO flwr 2023-12-01 17:01:05,121 | client.py:82 | Instance i-0bdd7b8ae25642919 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 17, 1, 5, 121584), 'cpu_utilization': 54.0}
torch-FedAdam-run | INFO flwr 2023-12-01 17:01:47,631 | client.py:104 | Instance i-0bdd7b8ae25642919 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 17, 1, 47, 631752), 'cpu_utilization': 54.0}
torch-FedAdam-run | INFO flwr 2023-12-01 17:01:47,631 | client.py:104 | Instance i-0bdd7b8ae25642919 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 17, 1, 47, 631752), 'cpu_utilization': 54.0}
torch-FedAdam-run | INFO flwr 2023-12-01 17:02:17,966 | client.py:82 | Instance i-0bdd7b8ae25642919 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 17, 2, 17, 966516), 'cpu_utilization': 53.7}
torch-FedAdam-run | INFO flwr 2023-12-01 17:02:17,966 | client.py:82 | Instance i-0bdd7b8ae25642919 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 17, 2, 17, 966516), 'cpu_utilization': 53.7}
torch-FedAdam-run | INFO flwr 2023-12-01 17:03:18,224 | client.py:104 | Instance i-0bdd7b8ae25642919 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 17, 3, 18, 224763), 'cpu_utilization': 54.4}
torch-FedAdam-run | INFO flwr 2023-12-01 17:03:18,224 | client.py:104 | Instance i-0bdd7b8ae25642919 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 17, 3, 18, 224763), 'cpu_utilization': 54.4}
torch-FedAdam-run | INFO flwr 2023-12-01 17:03:48,270 | client.py:82 | Instance i-0bdd7b8ae25642919 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 17, 3, 48, 269957), 'cpu_utilization': 53.4}
torch-FedAdam-run | INFO flwr 2023-12-01 17:03:48,270 | client.py:82 | Instance i-0bdd7b8ae25642919 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 17, 3, 48, 269957), 'cpu_utilization': 53.4}
torch-FedAdam-run | INFO flwr 2023-12-01 17:04:40,891 | client.py:104 | Instance i-0bdd7b8ae25642919 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 17, 4, 40, 891269), 'cpu_utilization': 31.4}
torch-FedAdam-run | INFO flwr 2023-12-01 17:04:40,891 | client.py:104 | Instance i-0bdd7b8ae25642919 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 17, 4, 40, 891269), 'cpu_utilization': 31.4}
torch-FedAdam-run | INFO flwr 2023-12-01 17:05:02,471 | client.py:82 | Instance i-0bdd7b8ae25642919 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 17, 5, 2, 470931), 'cpu_utilization': 53.7}
torch-FedAdam-run | INFO flwr 2023-12-01 17:05:02,471 | client.py:82 | Instance i-0bdd7b8ae25642919 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 17, 5, 2, 470931), 'cpu_utilization': 53.7}
torch-FedAdam-run | INFO flwr 2023-12-01 17:06:04,350 | client.py:104 | Instance i-0bdd7b8ae25642919 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 17, 6, 4, 349946), 'cpu_utilization': 53.5}
torch-FedAdam-run | INFO flwr 2023-12-01 17:06:04,350 | client.py:104 | Instance i-0bdd7b8ae25642919 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 17, 6, 4, 349946), 'cpu_utilization': 53.5}
torch-FedAdam-run | INFO flwr 2023-12-01 17:06:35,265 | client.py:82 | Instance i-0bdd7b8ae25642919 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 17, 6, 35, 265327), 'cpu_utilization': 53.5}
torch-FedAdam-run | INFO flwr 2023-12-01 17:06:35,265 | client.py:82 | Instance i-0bdd7b8ae25642919 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 17, 6, 35, 265327), 'cpu_utilization': 53.5}
torch-FedAdam-run | INFO flwr 2023-12-01 17:07:16,261 | client.py:104 | Instance i-0bdd7b8ae25642919 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 17, 7, 16, 261616), 'cpu_utilization': 55.1}
torch-FedAdam-run | INFO flwr 2023-12-01 17:07:16,261 | client.py:104 | Instance i-0bdd7b8ae25642919 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 17, 7, 16, 261616), 'cpu_utilization': 55.1}
torch-FedAdam-run | INFO flwr 2023-12-01 17:07:54,792 | client.py:82 | Instance i-0bdd7b8ae25642919 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 17, 7, 54, 792001), 'cpu_utilization': 53.6}
