torch-FedAdam-run | INFO flwr 2023-12-01 19:43:59,835 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAdam-run | DEBUG flwr 2023-12-01 19:43:59,836 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAdam-run | DEBUG flwr 2023-12-01 19:43:59,837 | connection.py:42 | ChannelConnectivity.CONNECTING
torch-FedAdam-run | DEBUG flwr 2023-12-01 19:43:59,851 | connection.py:42 | ChannelConnectivity.TRANSIENT_FAILURE
torch-FedAdam-run | DEBUG flwr 2023-12-01 19:44:00,061 | connection.py:139 | gRPC channel closed
torch-FedAdam-run | INFO flwr 2023-12-01 19:44:10,077 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAdam-run | INFO flwr 2023-12-01 19:44:10,077 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAdam-run | DEBUG flwr 2023-12-01 19:44:10,106 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAdam-run | DEBUG flwr 2023-12-01 19:44:10,106 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAdam-run | DEBUG flwr 2023-12-01 19:44:10,106 | connection.py:42 | ChannelConnectivity.CONNECTING
torch-FedAdam-run | DEBUG flwr 2023-12-01 19:44:10,106 | connection.py:42 | ChannelConnectivity.CONNECTING
torch-FedAdam-run | DEBUG flwr 2023-12-01 19:44:10,123 | connection.py:42 | ChannelConnectivity.READY
torch-FedAdam-run | DEBUG flwr 2023-12-01 19:44:10,123 | connection.py:42 | ChannelConnectivity.READY
torch-FedAdam-run | INFO flwr 2023-12-01 19:44:33,735 | client.py:82 | Instance i-0d2f76b7bdf5ce639 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 44, 33, 735131), 'cpu_utilization': 54.6}
torch-FedAdam-run | INFO flwr 2023-12-01 19:44:33,735 | client.py:82 | Instance i-0d2f76b7bdf5ce639 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 44, 33, 735131), 'cpu_utilization': 54.6}
torch-FedAdam-run | INFO flwr 2023-12-01 19:45:44,726 | client.py:104 | Instance i-0d2f76b7bdf5ce639 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 45, 44, 726377), 'cpu_utilization': 55.4}
torch-FedAdam-run | INFO flwr 2023-12-01 19:45:44,726 | client.py:104 | Instance i-0d2f76b7bdf5ce639 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 45, 44, 726377), 'cpu_utilization': 55.4}
