torch-FedAdam-run | INFO flwr 2023-12-01 16:57:56,551 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAdam-run | DEBUG flwr 2023-12-01 16:57:56,552 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAdam-run | DEBUG flwr 2023-12-01 16:57:56,553 | connection.py:42 | ChannelConnectivity.CONNECTING
torch-FedAdam-run | DEBUG flwr 2023-12-01 16:57:56,561 | connection.py:42 | ChannelConnectivity.TRANSIENT_FAILURE
torch-FedAdam-run | DEBUG flwr 2023-12-01 16:57:56,767 | connection.py:139 | gRPC channel closed
torch-FedAdam-run | INFO flwr 2023-12-01 16:58:06,779 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAdam-run | INFO flwr 2023-12-01 16:58:06,779 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAdam-run | DEBUG flwr 2023-12-01 16:58:06,806 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAdam-run | DEBUG flwr 2023-12-01 16:58:06,806 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAdam-run | DEBUG flwr 2023-12-01 16:58:06,810 | connection.py:42 | ChannelConnectivity.READY
torch-FedAdam-run | DEBUG flwr 2023-12-01 16:58:06,810 | connection.py:42 | ChannelConnectivity.READY
torch-FedAdam-run | INFO flwr 2023-12-01 16:58:31,746 | client.py:82 | Instance i-0d66badcdc5ff7b4b : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 58, 31, 746063), 'cpu_utilization': 52.4}
torch-FedAdam-run | INFO flwr 2023-12-01 16:58:31,746 | client.py:82 | Instance i-0d66badcdc5ff7b4b : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 58, 31, 746063), 'cpu_utilization': 52.4}
torch-FedAdam-run | INFO flwr 2023-12-01 16:59:33,274 | client.py:104 | Instance i-0d66badcdc5ff7b4b : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 59, 33, 274624), 'cpu_utilization': 57.5}
torch-FedAdam-run | INFO flwr 2023-12-01 16:59:33,274 | client.py:104 | Instance i-0d66badcdc5ff7b4b : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 59, 33, 274624), 'cpu_utilization': 57.5}
torch-FedAdam-run | INFO flwr 2023-12-01 16:59:49,695 | client.py:82 | Instance i-0d66badcdc5ff7b4b : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 59, 49, 695286), 'cpu_utilization': 52.4}
torch-FedAdam-run | INFO flwr 2023-12-01 16:59:49,695 | client.py:82 | Instance i-0d66badcdc5ff7b4b : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 59, 49, 695286), 'cpu_utilization': 52.4}
torch-FedAdam-run | INFO flwr 2023-12-01 17:00:43,325 | client.py:104 | Instance i-0d66badcdc5ff7b4b : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 17, 0, 43, 324874), 'cpu_utilization': 55.6}
torch-FedAdam-run | INFO flwr 2023-12-01 17:00:43,325 | client.py:104 | Instance i-0d66badcdc5ff7b4b : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 17, 0, 43, 324874), 'cpu_utilization': 55.6}
torch-FedAdam-run | INFO flwr 2023-12-01 17:00:58,601 | client.py:82 | Instance i-0d66badcdc5ff7b4b : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 17, 0, 58, 601456), 'cpu_utilization': 52.5}
torch-FedAdam-run | INFO flwr 2023-12-01 17:00:58,601 | client.py:82 | Instance i-0d66badcdc5ff7b4b : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 17, 0, 58, 601456), 'cpu_utilization': 52.5}
