torch-FedAdam-run | INFO flwr 2023-12-01 16:57:56,500 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAdam-run | DEBUG flwr 2023-12-01 16:57:56,504 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAdam-run | DEBUG flwr 2023-12-01 16:57:56,504 | connection.py:42 | ChannelConnectivity.TRANSIENT_FAILURE
torch-FedAdam-run | DEBUG flwr 2023-12-01 16:57:56,724 | connection.py:139 | gRPC channel closed
torch-FedAdam-run | INFO flwr 2023-12-01 16:58:06,738 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAdam-run | INFO flwr 2023-12-01 16:58:06,738 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAdam-run | DEBUG flwr 2023-12-01 16:58:06,767 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAdam-run | DEBUG flwr 2023-12-01 16:58:06,767 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAdam-run | DEBUG flwr 2023-12-01 16:58:06,770 | connection.py:42 | ChannelConnectivity.READY
torch-FedAdam-run | DEBUG flwr 2023-12-01 16:58:06,770 | connection.py:42 | ChannelConnectivity.READY
torch-FedAdam-run | INFO flwr 2023-12-01 16:58:44,324 | client.py:82 | Instance i-0f581a0ca3e93880d : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 58, 44, 324342), 'cpu_utilization': 53.8}
torch-FedAdam-run | INFO flwr 2023-12-01 16:58:44,324 | client.py:82 | Instance i-0f581a0ca3e93880d : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 58, 44, 324342), 'cpu_utilization': 53.8}
torch-FedAdam-run | INFO flwr 2023-12-01 16:59:26,045 | client.py:104 | Instance i-0f581a0ca3e93880d : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 59, 26, 44939), 'cpu_utilization': 47.1}
torch-FedAdam-run | INFO flwr 2023-12-01 16:59:26,045 | client.py:104 | Instance i-0f581a0ca3e93880d : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 59, 26, 44939), 'cpu_utilization': 47.1}
torch-FedAdam-run | INFO flwr 2023-12-01 16:59:51,111 | client.py:82 | Instance i-0f581a0ca3e93880d : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 59, 51, 111405), 'cpu_utilization': 53.5}
torch-FedAdam-run | INFO flwr 2023-12-01 16:59:51,111 | client.py:82 | Instance i-0f581a0ca3e93880d : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 59, 51, 111405), 'cpu_utilization': 53.5}
torch-FedAdam-run | INFO flwr 2023-12-01 17:00:35,237 | client.py:104 | Instance i-0f581a0ca3e93880d : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 17, 0, 35, 236826), 'cpu_utilization': 55.6}
torch-FedAdam-run | INFO flwr 2023-12-01 17:00:35,237 | client.py:104 | Instance i-0f581a0ca3e93880d : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 17, 0, 35, 236826), 'cpu_utilization': 55.6}
torch-FedAdam-run | INFO flwr 2023-12-01 17:01:12,831 | client.py:82 | Instance i-0f581a0ca3e93880d : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 17, 1, 12, 831456), 'cpu_utilization': 54.1}
torch-FedAdam-run | INFO flwr 2023-12-01 17:01:12,831 | client.py:82 | Instance i-0f581a0ca3e93880d : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 17, 1, 12, 831456), 'cpu_utilization': 54.1}
torch-FedAdam-run | INFO flwr 2023-12-01 17:01:58,680 | client.py:104 | Instance i-0f581a0ca3e93880d : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 17, 1, 58, 680554), 'cpu_utilization': 46.2}
torch-FedAdam-run | INFO flwr 2023-12-01 17:01:58,680 | client.py:104 | Instance i-0f581a0ca3e93880d : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 17, 1, 58, 680554), 'cpu_utilization': 46.2}
