torch-FedAdam-run | INFO flwr 2023-11-26 13:47:02,729 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAdam-run | DEBUG flwr 2023-11-26 13:47:02,733 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAdam-run | DEBUG flwr 2023-11-26 13:47:02,737 | connection.py:42 | ChannelConnectivity.CONNECTING
torch-FedAdam-run | DEBUG flwr 2023-11-26 13:47:02,740 | connection.py:42 | ChannelConnectivity.READY
torch-FedAdam-run | INFO flwr 2023-11-26 13:47:44,727 | client.py:82 | Instance i-083cac643d68b8b92 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 47, 44, 727720), 'cpu_utilization': 53.3}
torch-FedAdam-run | INFO flwr 2023-11-26 13:48:24,575 | client.py:104 | Instance i-083cac643d68b8b92 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 48, 24, 575219), 'cpu_utilization': 49.0}
torch-FedAdam-run | INFO flwr 2023-11-26 13:48:54,713 | client.py:82 | Instance i-083cac643d68b8b92 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 48, 54, 713012), 'cpu_utilization': 53.2}
torch-FedAdam-run | INFO flwr 2023-11-26 13:49:52,948 | client.py:104 | Instance i-083cac643d68b8b92 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 49, 52, 948128), 'cpu_utilization': 52.0}
torch-FedAdam-run | INFO flwr 2023-11-26 13:50:24,048 | client.py:82 | Instance i-083cac643d68b8b92 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 50, 24, 48230), 'cpu_utilization': 53.7}
torch-FedAdam-run | INFO flwr 2023-11-26 13:51:02,138 | client.py:104 | Instance i-083cac643d68b8b92 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 51, 2, 138352), 'cpu_utilization': 55.1}
torch-FedAdam-run | INFO flwr 2023-11-26 13:51:34,724 | client.py:82 | Instance i-083cac643d68b8b92 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 51, 34, 723906), 'cpu_utilization': 53.6}
torch-FedAdam-run | INFO flwr 2023-11-26 13:52:31,886 | client.py:104 | Instance i-083cac643d68b8b92 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 52, 31, 886189), 'cpu_utilization': 50.9}
torch-FedAdam-run | INFO flwr 2023-11-26 13:52:53,862 | client.py:82 | Instance i-083cac643d68b8b92 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 52, 53, 862236), 'cpu_utilization': 53.4}
torch-FedAdam-run | INFO flwr 2023-11-26 13:53:32,901 | client.py:104 | Instance i-083cac643d68b8b92 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 53, 32, 901341), 'cpu_utilization': 54.6}
torch-FedAdam-run | INFO flwr 2023-11-26 13:54:04,153 | client.py:82 | Instance i-083cac643d68b8b92 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 54, 4, 153413), 'cpu_utilization': 53.1}
torch-FedAdam-run | INFO flwr 2023-11-26 13:55:01,705 | client.py:104 | Instance i-083cac643d68b8b92 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 55, 1, 705687), 'cpu_utilization': 49.0}
torch-FedAdam-run | INFO flwr 2023-11-26 13:55:23,964 | client.py:82 | Instance i-083cac643d68b8b92 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 55, 23, 964765), 'cpu_utilization': 53.1}
torch-FedAdam-run | INFO flwr 2023-11-26 13:56:17,882 | client.py:104 | Instance i-083cac643d68b8b92 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 56, 17, 882471), 'cpu_utilization': 57.5}
torch-FedAdam-run | INFO flwr 2023-11-26 13:56:43,719 | client.py:82 | Instance i-083cac643d68b8b92 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 56, 43, 718936), 'cpu_utilization': 53.1}
torch-FedAdam-run | INFO flwr 2023-11-26 13:57:32,337 | client.py:104 | Instance i-083cac643d68b8b92 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 57, 32, 337045), 'cpu_utilization': 28.5}
torch-FedAdam-run | INFO flwr 2023-11-26 13:57:54,193 | client.py:82 | Instance i-083cac643d68b8b92 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 57, 54, 193182), 'cpu_utilization': 53.2}
torch-FedAdam-run | INFO flwr 2023-11-26 13:58:33,055 | client.py:104 | Instance i-083cac643d68b8b92 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 58, 33, 55298), 'cpu_utilization': 53.3}
torch-FedAdam-run | INFO flwr 2023-11-26 13:58:54,090 | client.py:82 | Instance i-083cac643d68b8b92 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 58, 54, 90557), 'cpu_utilization': 53.0}
torch-FedAdam-run | INFO flwr 2023-11-26 13:59:52,408 | client.py:104 | Instance i-083cac643d68b8b92 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 59, 52, 408405), 'cpu_utilization': 54.2}
torch-FedAdam-run | DEBUG flwr 2023-11-26 14:00:03,263 | connection.py:139 | gRPC channel closed
torch-FedAdam-run | INFO flwr 2023-11-26 14:00:03,264 | app.py:215 | Disconnect and shut down
