torch-FedAdam-run | INFO flwr 2023-11-26 13:47:02,728 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAdam-run | DEBUG flwr 2023-11-26 13:47:02,733 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAdam-run | DEBUG flwr 2023-11-26 13:47:02,737 | connection.py:42 | ChannelConnectivity.CONNECTING
torch-FedAdam-run | DEBUG flwr 2023-11-26 13:47:02,738 | connection.py:42 | ChannelConnectivity.READY
torch-FedAdam-run | INFO flwr 2023-11-26 13:47:49,637 | client.py:82 | Instance i-0b25c1d4ccb47aeda : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 47, 49, 637514), 'cpu_utilization': 53.1}
torch-FedAdam-run | INFO flwr 2023-11-26 13:48:24,835 | client.py:104 | Instance i-0b25c1d4ccb47aeda : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 48, 24, 835595), 'cpu_utilization': 54.4}
torch-FedAdam-run | INFO flwr 2023-11-26 13:48:59,518 | client.py:82 | Instance i-0b25c1d4ccb47aeda : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 48, 59, 518612), 'cpu_utilization': 53.0}
torch-FedAdam-run | INFO flwr 2023-11-26 13:50:02,897 | client.py:104 | Instance i-0b25c1d4ccb47aeda : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 50, 2, 897176), 'cpu_utilization': 30.3}
torch-FedAdam-run | INFO flwr 2023-11-26 13:50:28,697 | client.py:82 | Instance i-0b25c1d4ccb47aeda : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 50, 28, 697516), 'cpu_utilization': 53.0}
torch-FedAdam-run | INFO flwr 2023-11-26 13:51:13,352 | client.py:104 | Instance i-0b25c1d4ccb47aeda : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 51, 13, 351749), 'cpu_utilization': 29.9}
torch-FedAdam-run | INFO flwr 2023-11-26 13:51:38,828 | client.py:82 | Instance i-0b25c1d4ccb47aeda : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 51, 38, 827856), 'cpu_utilization': 53.2}
torch-FedAdam-run | INFO flwr 2023-11-26 13:52:32,301 | client.py:104 | Instance i-0b25c1d4ccb47aeda : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 52, 32, 301755), 'cpu_utilization': 54.2}
torch-FedAdam-run | INFO flwr 2023-11-26 13:52:57,841 | client.py:82 | Instance i-0b25c1d4ccb47aeda : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 52, 57, 841098), 'cpu_utilization': 52.8}
torch-FedAdam-run | INFO flwr 2023-11-26 13:53:42,858 | client.py:104 | Instance i-0b25c1d4ccb47aeda : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 53, 42, 858221), 'cpu_utilization': 28.7}
torch-FedAdam-run | INFO flwr 2023-11-26 13:54:08,526 | client.py:82 | Instance i-0b25c1d4ccb47aeda : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 54, 8, 525990), 'cpu_utilization': 53.1}
torch-FedAdam-run | INFO flwr 2023-11-26 13:55:02,069 | client.py:104 | Instance i-0b25c1d4ccb47aeda : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 55, 2, 69499), 'cpu_utilization': 54.5}
torch-FedAdam-run | INFO flwr 2023-11-26 13:55:28,139 | client.py:82 | Instance i-0b25c1d4ccb47aeda : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 55, 28, 139218), 'cpu_utilization': 53.2}
torch-FedAdam-run | INFO flwr 2023-11-26 13:56:21,770 | client.py:104 | Instance i-0b25c1d4ccb47aeda : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 56, 21, 770096), 'cpu_utilization': 54.3}
torch-FedAdam-run | INFO flwr 2023-11-26 13:56:47,323 | client.py:82 | Instance i-0b25c1d4ccb47aeda : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 56, 47, 323277), 'cpu_utilization': 53.3}
torch-FedAdam-run | INFO flwr 2023-11-26 13:57:23,170 | client.py:104 | Instance i-0b25c1d4ccb47aeda : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 57, 23, 170630), 'cpu_utilization': 53.8}
torch-FedAdam-run | INFO flwr 2023-11-26 13:57:57,805 | client.py:82 | Instance i-0b25c1d4ccb47aeda : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 57, 57, 805285), 'cpu_utilization': 52.7}
torch-FedAdam-run | INFO flwr 2023-11-26 13:58:32,660 | client.py:104 | Instance i-0b25c1d4ccb47aeda : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 58, 32, 659942), 'cpu_utilization': 55.0}
torch-FedAdam-run | INFO flwr 2023-11-26 13:58:58,439 | client.py:82 | Instance i-0b25c1d4ccb47aeda : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 58, 58, 438924), 'cpu_utilization': 52.9}
torch-FedAdam-run | INFO flwr 2023-11-26 14:00:02,051 | client.py:104 | Instance i-0b25c1d4ccb47aeda : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 14, 0, 2, 50905), 'cpu_utilization': 30.0}
torch-FedAdam-run | DEBUG flwr 2023-11-26 14:00:03,259 | connection.py:139 | gRPC channel closed
torch-FedAdam-run | INFO flwr 2023-11-26 14:00:03,259 | app.py:215 | Disconnect and shut down
