torch-FedAvg-run | INFO flwr 2023-11-26 13:09:18,100 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAvg-run | DEBUG flwr 2023-11-26 13:09:18,119 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAvg-run | DEBUG flwr 2023-11-26 13:09:18,120 | connection.py:42 | ChannelConnectivity.READY
torch-FedAvg-run | INFO flwr 2023-11-26 13:10:01,652 | client.py:82 | Instance i-098748dee605024e4 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 10, 1, 652188), 'cpu_utilization': 53.1}
torch-FedAvg-run | INFO flwr 2023-11-26 13:11:01,098 | client.py:104 | Instance i-098748dee605024e4 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 11, 1, 98305), 'cpu_utilization': 53.8}
torch-FedAvg-run | INFO flwr 2023-11-26 13:11:21,823 | client.py:82 | Instance i-098748dee605024e4 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 11, 21, 823607), 'cpu_utilization': 51.9}
torch-FedAvg-run | INFO flwr 2023-11-26 13:12:29,851 | client.py:104 | Instance i-098748dee605024e4 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 12, 29, 851180), 'cpu_utilization': 30.1}
torch-FedAvg-run | INFO flwr 2023-11-26 13:12:50,594 | client.py:82 | Instance i-098748dee605024e4 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 12, 50, 594339), 'cpu_utilization': 52.1}
torch-FedAvg-run | INFO flwr 2023-11-26 13:13:48,980 | client.py:104 | Instance i-098748dee605024e4 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 13, 48, 980266), 'cpu_utilization': 54.3}
torch-FedAvg-run | INFO flwr 2023-11-26 13:14:20,025 | client.py:82 | Instance i-098748dee605024e4 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 14, 20, 25571), 'cpu_utilization': 52.0}
torch-FedAvg-run | INFO flwr 2023-11-26 13:15:17,668 | client.py:104 | Instance i-098748dee605024e4 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 15, 17, 668026), 'cpu_utilization': 54.6}
torch-FedAvg-run | INFO flwr 2023-11-26 13:15:39,084 | client.py:82 | Instance i-098748dee605024e4 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 15, 39, 83846), 'cpu_utilization': 52.3}
torch-FedAvg-run | INFO flwr 2023-11-26 13:16:18,248 | client.py:104 | Instance i-098748dee605024e4 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 16, 18, 248122), 'cpu_utilization': 54.4}
torch-FedAvg-run | INFO flwr 2023-11-26 13:16:40,048 | client.py:82 | Instance i-098748dee605024e4 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 16, 40, 48017), 'cpu_utilization': 52.4}
torch-FedAvg-run | INFO flwr 2023-11-26 13:17:38,759 | client.py:104 | Instance i-098748dee605024e4 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 17, 38, 759466), 'cpu_utilization': 55.2}
torch-FedAvg-run | INFO flwr 2023-11-26 13:18:09,726 | client.py:82 | Instance i-098748dee605024e4 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 18, 9, 725821), 'cpu_utilization': 51.9}
torch-FedAvg-run | INFO flwr 2023-11-26 13:18:49,099 | client.py:104 | Instance i-098748dee605024e4 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 18, 49, 99317), 'cpu_utilization': 55.3}
torch-FedAvg-run | INFO flwr 2023-11-26 13:19:19,512 | client.py:82 | Instance i-098748dee605024e4 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 19, 19, 512390), 'cpu_utilization': 51.7}
torch-FedAvg-run | INFO flwr 2023-11-26 13:19:59,369 | client.py:104 | Instance i-098748dee605024e4 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 19, 59, 368865), 'cpu_utilization': 53.7}
torch-FedAvg-run | INFO flwr 2023-11-26 13:20:20,745 | client.py:82 | Instance i-098748dee605024e4 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 20, 20, 745068), 'cpu_utilization': 51.7}
torch-FedAvg-run | INFO flwr 2023-11-26 13:21:01,292 | client.py:104 | Instance i-098748dee605024e4 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 21, 1, 292052), 'cpu_utilization': 53.9}
torch-FedAvg-run | INFO flwr 2023-11-26 13:21:22,547 | client.py:82 | Instance i-098748dee605024e4 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 21, 22, 547032), 'cpu_utilization': 51.8}
torch-FedAvg-run | INFO flwr 2023-11-26 13:22:01,078 | client.py:104 | Instance i-098748dee605024e4 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 22, 1, 78503), 'cpu_utilization': 54.2}
torch-FedAvg-run | DEBUG flwr 2023-11-26 13:22:03,440 | connection.py:139 | gRPC channel closed
torch-FedAvg-run | INFO flwr 2023-11-26 13:22:03,440 | app.py:215 | Disconnect and shut down
