torch-FedAvg-run | INFO flwr 2023-11-26 13:09:40,568 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAvg-run | DEBUG flwr 2023-11-26 13:09:40,586 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAvg-run | DEBUG flwr 2023-11-26 13:09:40,587 | connection.py:42 | ChannelConnectivity.READY
torch-FedAvg-run | INFO flwr 2023-11-26 13:10:06,618 | client.py:82 | Instance i-0b25c1d4ccb47aeda : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 10, 6, 617900), 'cpu_utilization': 55.2}
torch-FedAvg-run | INFO flwr 2023-11-26 13:11:00,752 | client.py:104 | Instance i-0b25c1d4ccb47aeda : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 11, 0, 752210), 'cpu_utilization': 53.8}
torch-FedAvg-run | INFO flwr 2023-11-26 13:11:26,418 | client.py:82 | Instance i-0b25c1d4ccb47aeda : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 11, 26, 418701), 'cpu_utilization': 52.6}
torch-FedAvg-run | INFO flwr 2023-11-26 13:12:19,703 | client.py:104 | Instance i-0b25c1d4ccb47aeda : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 12, 19, 702981), 'cpu_utilization': 54.2}
torch-FedAvg-run | INFO flwr 2023-11-26 13:12:55,420 | client.py:82 | Instance i-0b25c1d4ccb47aeda : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 12, 55, 420735), 'cpu_utilization': 52.8}
torch-FedAvg-run | INFO flwr 2023-11-26 13:13:58,999 | client.py:104 | Instance i-0b25c1d4ccb47aeda : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 13, 58, 999075), 'cpu_utilization': 29.9}
torch-FedAvg-run | INFO flwr 2023-11-26 13:14:24,318 | client.py:82 | Instance i-0b25c1d4ccb47aeda : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 14, 24, 317886), 'cpu_utilization': 52.7}
torch-FedAvg-run | INFO flwr 2023-11-26 13:15:15,539 | client.py:104 | Instance i-0b25c1d4ccb47aeda : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 15, 15, 539480), 'cpu_utilization': 55.3}
torch-FedAvg-run | INFO flwr 2023-11-26 13:15:43,349 | client.py:82 | Instance i-0b25c1d4ccb47aeda : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 15, 43, 348941), 'cpu_utilization': 53.0}
torch-FedAvg-run | INFO flwr 2023-11-26 13:16:18,828 | client.py:104 | Instance i-0b25c1d4ccb47aeda : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 16, 18, 828053), 'cpu_utilization': 53.7}
torch-FedAvg-run | INFO flwr 2023-11-26 13:16:45,087 | client.py:82 | Instance i-0b25c1d4ccb47aeda : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 16, 45, 87782), 'cpu_utilization': 53.2}
torch-FedAvg-run | INFO flwr 2023-11-26 13:17:48,621 | client.py:104 | Instance i-0b25c1d4ccb47aeda : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 17, 48, 621067), 'cpu_utilization': 29.0}
torch-FedAvg-run | INFO flwr 2023-11-26 13:18:14,271 | client.py:82 | Instance i-0b25c1d4ccb47aeda : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 18, 14, 271407), 'cpu_utilization': 53.0}
