torch-FedAvg-run | INFO flwr 2023-12-01 19:02:39,479 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:02:39,497 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:02:39,497 | connection.py:42 | ChannelConnectivity.READY
torch-FedAvg-run | INFO flwr 2023-12-01 19:02:56,059 | client.py:82 | Instance i-0355f35a1b08cecb1 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 2, 56, 59687), 'cpu_utilization': 59.3}
torch-FedAvg-run | INFO flwr 2023-12-01 19:03:43,225 | client.py:104 | Instance i-0355f35a1b08cecb1 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 3, 43, 225693), 'cpu_utilization': 38.0}
torch-FedAvg-run | INFO flwr 2023-12-01 19:04:23,342 | client.py:82 | Instance i-0355f35a1b08cecb1 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 4, 23, 342781), 'cpu_utilization': 55.5}
torch-FedAvg-run | INFO flwr 2023-12-01 19:04:53,175 | client.py:104 | Instance i-0355f35a1b08cecb1 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 4, 53, 174877), 'cpu_utilization': 57.1}
torch-FedAvg-run | INFO flwr 2023-12-01 19:05:22,398 | client.py:82 | Instance i-0355f35a1b08cecb1 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 5, 22, 398057), 'cpu_utilization': 55.4}
torch-FedAvg-run | INFO flwr 2023-12-01 19:06:09,412 | client.py:104 | Instance i-0355f35a1b08cecb1 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 6, 9, 412511), 'cpu_utilization': 54.1}
torch-FedAvg-run | INFO flwr 2023-12-01 19:06:34,593 | client.py:82 | Instance i-0355f35a1b08cecb1 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 6, 34, 592884), 'cpu_utilization': 55.6}
torch-FedAvg-run | INFO flwr 2023-12-01 19:07:50,459 | client.py:104 | Instance i-0355f35a1b08cecb1 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 7, 50, 459274), 'cpu_utilization': 46.8}
torch-FedAvg-run | INFO flwr 2023-12-01 19:08:05,350 | client.py:82 | Instance i-0355f35a1b08cecb1 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 8, 5, 350474), 'cpu_utilization': 55.0}
torch-FedAvg-run | INFO flwr 2023-12-01 19:09:05,162 | client.py:104 | Instance i-0355f35a1b08cecb1 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 9, 5, 161981), 'cpu_utilization': 53.8}
torch-FedAvg-run | INFO flwr 2023-12-01 19:09:33,730 | client.py:82 | Instance i-0355f35a1b08cecb1 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 9, 33, 730139), 'cpu_utilization': 55.5}
torch-FedAvg-run | INFO flwr 2023-12-01 19:10:32,147 | client.py:104 | Instance i-0355f35a1b08cecb1 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 10, 32, 147356), 'cpu_utilization': 53.6}
torch-FedAvg-run | INFO flwr 2023-12-01 19:11:18,856 | client.py:82 | Instance i-0355f35a1b08cecb1 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 11, 18, 856746), 'cpu_utilization': 55.8}
torch-FedAvg-run | INFO flwr 2023-12-01 19:12:17,095 | client.py:104 | Instance i-0355f35a1b08cecb1 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 12, 17, 95469), 'cpu_utilization': 55.1}
torch-FedAvg-run | INFO flwr 2023-12-01 19:12:45,117 | client.py:82 | Instance i-0355f35a1b08cecb1 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 12, 45, 117062), 'cpu_utilization': 56.2}
torch-FedAvg-run | INFO flwr 2023-12-01 19:13:33,157 | client.py:104 | Instance i-0355f35a1b08cecb1 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 13, 33, 157472), 'cpu_utilization': 53.9}
torch-FedAvg-run | INFO flwr 2023-12-01 19:13:57,737 | client.py:82 | Instance i-0355f35a1b08cecb1 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 13, 57, 737746), 'cpu_utilization': 55.3}
torch-FedAvg-run | INFO flwr 2023-12-01 19:14:45,491 | client.py:104 | Instance i-0355f35a1b08cecb1 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 14, 45, 491417), 'cpu_utilization': 54.3}
torch-FedAvg-run | INFO flwr 2023-12-01 19:15:19,978 | client.py:82 | Instance i-0355f35a1b08cecb1 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 15, 19, 978024), 'cpu_utilization': 55.0}
torch-FedAvg-run | INFO flwr 2023-12-01 19:16:11,094 | client.py:104 | Instance i-0355f35a1b08cecb1 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 16, 11, 93823), 'cpu_utilization': 54.2}
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:16:33,463 | connection.py:139 | gRPC channel closed
torch-FedAvg-run | INFO flwr 2023-12-01 19:16:33,464 | app.py:215 | Disconnect and shut down
