torch-FedAvg-run | INFO flwr 2023-12-01 19:02:31,923 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:02:31,942 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:02:31,942 | connection.py:42 | ChannelConnectivity.CONNECTING
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:02:31,951 | connection.py:42 | ChannelConnectivity.READY
torch-FedAvg-run | INFO flwr 2023-12-01 19:02:55,744 | client.py:82 | Instance i-09af65ac22bd1154b : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 2, 55, 744765), 'cpu_utilization': 56.9}
torch-FedAvg-run | INFO flwr 2023-12-01 19:03:56,094 | client.py:104 | Instance i-09af65ac22bd1154b : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 3, 56, 94036), 'cpu_utilization': 53.6}
torch-FedAvg-run | INFO flwr 2023-12-01 19:04:09,972 | client.py:82 | Instance i-09af65ac22bd1154b : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 4, 9, 972671), 'cpu_utilization': 53.5}
torch-FedAvg-run | INFO flwr 2023-12-01 19:05:05,150 | client.py:104 | Instance i-09af65ac22bd1154b : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 5, 5, 150478), 'cpu_utilization': 54.0}
torch-FedAvg-run | INFO flwr 2023-12-01 19:05:34,446 | client.py:82 | Instance i-09af65ac22bd1154b : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 5, 34, 446404), 'cpu_utilization': 54.4}
torch-FedAvg-run | INFO flwr 2023-12-01 19:06:19,535 | client.py:104 | Instance i-09af65ac22bd1154b : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 6, 19, 534906), 'cpu_utilization': 54.6}
torch-FedAvg-run | INFO flwr 2023-12-01 19:06:33,194 | client.py:82 | Instance i-09af65ac22bd1154b : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 6, 33, 194687), 'cpu_utilization': 54.4}
