torch-FedAvg-run | INFO flwr 2023-12-01 19:02:39,706 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:02:39,724 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:02:39,730 | connection.py:42 | ChannelConnectivity.READY
torch-FedAvg-run | INFO flwr 2023-12-01 19:02:56,420 | client.py:82 | Instance i-0a3640066e79fb468 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 2, 56, 420660), 'cpu_utilization': 57.8}
torch-FedAvg-run | INFO flwr 2023-12-01 19:03:44,560 | client.py:104 | Instance i-0a3640066e79fb468 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 3, 44, 560310), 'cpu_utilization': 54.1}
torch-FedAvg-run | INFO flwr 2023-12-01 19:04:10,506 | client.py:82 | Instance i-0a3640066e79fb468 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 4, 10, 506694), 'cpu_utilization': 54.6}
torch-FedAvg-run | INFO flwr 2023-12-01 19:04:56,611 | client.py:104 | Instance i-0a3640066e79fb468 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 4, 56, 611111), 'cpu_utilization': 48.6}
torch-FedAvg-run | INFO flwr 2023-12-01 19:05:35,210 | client.py:82 | Instance i-0a3640066e79fb468 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 5, 35, 210071), 'cpu_utilization': 54.7}
torch-FedAvg-run | INFO flwr 2023-12-01 19:06:19,711 | client.py:104 | Instance i-0a3640066e79fb468 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 6, 19, 711230), 'cpu_utilization': 30.8}
torch-FedAvg-run | INFO flwr 2023-12-01 19:06:47,012 | client.py:82 | Instance i-0a3640066e79fb468 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 6, 47, 12349), 'cpu_utilization': 54.6}
torch-FedAvg-run | INFO flwr 2023-12-01 19:07:50,139 | client.py:104 | Instance i-0a3640066e79fb468 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 7, 50, 139617), 'cpu_utilization': 54.3}
torch-FedAvg-run | INFO flwr 2023-12-01 19:08:17,747 | client.py:82 | Instance i-0a3640066e79fb468 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 8, 17, 747326), 'cpu_utilization': 53.9}
torch-FedAvg-run | INFO flwr 2023-12-01 19:08:53,189 | client.py:104 | Instance i-0a3640066e79fb468 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 8, 53, 189206), 'cpu_utilization': 53.6}
torch-FedAvg-run | INFO flwr 2023-12-01 19:09:19,354 | client.py:82 | Instance i-0a3640066e79fb468 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 9, 19, 354410), 'cpu_utilization': 54.4}
torch-FedAvg-run | INFO flwr 2023-12-01 19:10:51,947 | client.py:104 | Instance i-0a3640066e79fb468 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 10, 51, 947031), 'cpu_utilization': 29.4}
torch-FedAvg-run | INFO flwr 2023-12-01 19:11:05,879 | client.py:82 | Instance i-0a3640066e79fb468 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 11, 5, 879068), 'cpu_utilization': 54.4}
torch-FedAvg-run | INFO flwr 2023-12-01 19:12:19,553 | client.py:104 | Instance i-0a3640066e79fb468 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 12, 19, 552723), 'cpu_utilization': 54.0}
torch-FedAvg-run | INFO flwr 2023-12-01 19:12:56,822 | client.py:82 | Instance i-0a3640066e79fb468 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 12, 56, 822654), 'cpu_utilization': 54.4}
torch-FedAvg-run | INFO flwr 2023-12-01 19:13:29,538 | client.py:104 | Instance i-0a3640066e79fb468 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 13, 29, 538262), 'cpu_utilization': 55.4}
torch-FedAvg-run | INFO flwr 2023-12-01 19:13:57,143 | client.py:82 | Instance i-0a3640066e79fb468 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 13, 57, 143063), 'cpu_utilization': 54.6}
torch-FedAvg-run | INFO flwr 2023-12-01 19:14:43,613 | client.py:104 | Instance i-0a3640066e79fb468 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 14, 43, 613255), 'cpu_utilization': 54.4}
torch-FedAvg-run | INFO flwr 2023-12-01 19:15:19,019 | client.py:82 | Instance i-0a3640066e79fb468 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 15, 19, 19429), 'cpu_utilization': 54.9}
torch-FedAvg-run | INFO flwr 2023-12-01 19:16:12,015 | client.py:104 | Instance i-0a3640066e79fb468 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 16, 12, 15030), 'cpu_utilization': 41.5}
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:16:33,470 | connection.py:139 | gRPC channel closed
torch-FedAvg-run | INFO flwr 2023-12-01 19:16:33,471 | app.py:215 | Disconnect and shut down
