torch-FedAvg-run | INFO flwr 2023-12-01 16:14:43,838 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAvg-run | DEBUG flwr 2023-12-01 16:14:43,841 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAvg-run | DEBUG flwr 2023-12-01 16:14:43,841 | connection.py:42 | ChannelConnectivity.CONNECTING
torch-FedAvg-run | DEBUG flwr 2023-12-01 16:14:43,854 | connection.py:42 | ChannelConnectivity.READY
torch-FedAvg-run | INFO flwr 2023-12-01 16:15:08,137 | client.py:82 | Instance i-0bdd7b8ae25642919 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 15, 8, 136845), 'cpu_utilization': 56.5}
torch-FedAvg-run | INFO flwr 2023-12-01 16:16:09,870 | client.py:104 | Instance i-0bdd7b8ae25642919 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 16, 9, 870138), 'cpu_utilization': 30.4}
torch-FedAvg-run | INFO flwr 2023-12-01 16:16:29,797 | client.py:82 | Instance i-0bdd7b8ae25642919 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 16, 29, 796949), 'cpu_utilization': 53.3}
torch-FedAvg-run | INFO flwr 2023-12-01 16:17:12,468 | client.py:104 | Instance i-0bdd7b8ae25642919 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 17, 12, 468666), 'cpu_utilization': 53.7}
torch-FedAvg-run | INFO flwr 2023-12-01 16:17:49,204 | client.py:82 | Instance i-0bdd7b8ae25642919 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 17, 49, 204376), 'cpu_utilization': 54.1}
torch-FedAvg-run | INFO flwr 2023-12-01 16:18:51,239 | client.py:104 | Instance i-0bdd7b8ae25642919 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 18, 51, 239412), 'cpu_utilization': 54.3}
torch-FedAvg-run | INFO flwr 2023-12-01 16:19:21,743 | client.py:82 | Instance i-0bdd7b8ae25642919 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 19, 21, 743244), 'cpu_utilization': 53.2}
torch-FedAvg-run | INFO flwr 2023-12-01 16:20:31,094 | client.py:104 | Instance i-0bdd7b8ae25642919 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 20, 31, 94628), 'cpu_utilization': 54.5}
torch-FedAvg-run | INFO flwr 2023-12-01 16:20:50,717 | client.py:82 | Instance i-0bdd7b8ae25642919 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 20, 50, 717775), 'cpu_utilization': 53.1}
torch-FedAvg-run | INFO flwr 2023-12-01 16:21:53,014 | client.py:104 | Instance i-0bdd7b8ae25642919 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 21, 53, 14267), 'cpu_utilization': 54.0}
torch-FedAvg-run | INFO flwr 2023-12-01 16:22:21,770 | client.py:82 | Instance i-0bdd7b8ae25642919 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 22, 21, 769887), 'cpu_utilization': 53.0}
torch-FedAvg-run | INFO flwr 2023-12-01 16:23:09,646 | client.py:104 | Instance i-0bdd7b8ae25642919 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 23, 9, 645985), 'cpu_utilization': 54.3}
