torch-FedAvg-run | INFO flwr 2023-12-01 16:14:39,151 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAvg-run | DEBUG flwr 2023-12-01 16:14:39,170 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAvg-run | DEBUG flwr 2023-12-01 16:14:39,173 | connection.py:42 | ChannelConnectivity.READY
torch-FedAvg-run | INFO flwr 2023-12-01 16:15:16,034 | client.py:82 | Instance i-0f581a0ca3e93880d : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 15, 16, 33933), 'cpu_utilization': 56.3}
torch-FedAvg-run | INFO flwr 2023-12-01 16:16:01,459 | client.py:104 | Instance i-0f581a0ca3e93880d : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 16, 1, 459381), 'cpu_utilization': 54.2}
torch-FedAvg-run | INFO flwr 2023-12-01 16:16:23,726 | client.py:82 | Instance i-0f581a0ca3e93880d : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 16, 23, 725944), 'cpu_utilization': 53.7}
torch-FedAvg-run | INFO flwr 2023-12-01 16:17:11,320 | client.py:104 | Instance i-0f581a0ca3e93880d : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 17, 11, 320154), 'cpu_utilization': 53.8}
torch-FedAvg-run | INFO flwr 2023-12-01 16:17:56,487 | client.py:82 | Instance i-0f581a0ca3e93880d : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 17, 56, 487129), 'cpu_utilization': 53.5}
torch-FedAvg-run | INFO flwr 2023-12-01 16:18:46,366 | client.py:104 | Instance i-0f581a0ca3e93880d : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 18, 46, 366629), 'cpu_utilization': 57.0}
torch-FedAvg-run | INFO flwr 2023-12-01 16:19:28,720 | client.py:82 | Instance i-0f581a0ca3e93880d : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 19, 28, 719906), 'cpu_utilization': 54.2}
torch-FedAvg-run | INFO flwr 2023-12-01 16:20:21,506 | client.py:104 | Instance i-0f581a0ca3e93880d : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 20, 21, 506196), 'cpu_utilization': 47.9}
torch-FedAvg-run | INFO flwr 2023-12-01 16:20:45,275 | client.py:82 | Instance i-0f581a0ca3e93880d : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 20, 45, 275069), 'cpu_utilization': 54.1}
torch-FedAvg-run | INFO flwr 2023-12-01 16:22:02,283 | client.py:104 | Instance i-0f581a0ca3e93880d : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 22, 2, 283423), 'cpu_utilization': 30.5}
torch-FedAvg-run | INFO flwr 2023-12-01 16:22:16,331 | client.py:82 | Instance i-0f581a0ca3e93880d : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 22, 16, 330743), 'cpu_utilization': 53.9}
torch-FedAvg-run | INFO flwr 2023-12-01 16:23:02,812 | client.py:104 | Instance i-0f581a0ca3e93880d : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 23, 2, 812050), 'cpu_utilization': 54.3}
torch-FedAvg-run | INFO flwr 2023-12-01 16:23:23,296 | client.py:82 | Instance i-0f581a0ca3e93880d : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 23, 23, 296104), 'cpu_utilization': 54.4}
torch-FedAvg-run | INFO flwr 2023-12-01 16:24:26,654 | client.py:104 | Instance i-0f581a0ca3e93880d : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 24, 26, 653889), 'cpu_utilization': 53.7}
torch-FedAvg-run | INFO flwr 2023-12-01 16:24:53,574 | client.py:82 | Instance i-0f581a0ca3e93880d : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 24, 53, 574503), 'cpu_utilization': 53.6}
torch-FedAvg-run | INFO flwr 2023-12-01 16:25:52,609 | client.py:104 | Instance i-0f581a0ca3e93880d : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 25, 52, 609417), 'cpu_utilization': 49.2}
torch-FedAvg-run | INFO flwr 2023-12-01 16:26:10,412 | client.py:82 | Instance i-0f581a0ca3e93880d : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 26, 10, 411835), 'cpu_utilization': 53.7}
torch-FedAvg-run | INFO flwr 2023-12-01 16:27:17,715 | client.py:104 | Instance i-0f581a0ca3e93880d : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 27, 17, 714853), 'cpu_utilization': 53.8}
torch-FedAvg-run | INFO flwr 2023-12-01 16:27:51,859 | client.py:82 | Instance i-0f581a0ca3e93880d : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 27, 51, 859106), 'cpu_utilization': 53.5}
torch-FedAvg-run | INFO flwr 2023-12-01 16:28:39,065 | client.py:104 | Instance i-0f581a0ca3e93880d : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 28, 39, 65761), 'cpu_utilization': 53.2}
torch-FedAvg-run | DEBUG flwr 2023-12-01 16:28:49,492 | connection.py:139 | gRPC channel closed
torch-FedAvg-run | INFO flwr 2023-12-01 16:28:49,493 | app.py:215 | Disconnect and shut down
