torch-FedAvg-run | INFO flwr 2023-12-01 18:59:58,147 | app.py:162 | Starting Flower server, config: ServerConfig(num_rounds=10, round_timeout=None)
torch-FedAvg-run | INFO flwr 2023-12-01 18:59:58,163 | app.py:175 | Flower ECE: gRPC server running (10 rounds), SSL is disabled
torch-FedAvg-run | INFO flwr 2023-12-01 18:59:58,164 | server.py:89 | Initializing global parameters
torch-FedAvg-run | INFO flwr 2023-12-01 18:59:58,164 | server.py:272 | Using initial parameters provided by strategy
torch-FedAvg-run | INFO flwr 2023-12-01 18:59:58,164 | server.py:91 | Evaluating initial parameters
torch-FedAvg-run | INFO flwr 2023-12-01 19:00:39,447 | server.py:94 | initial parameters (loss, other metrics): 2.3003251552581787, {'accuracy': 0.10555555671453476}
torch-FedAvg-run | INFO flwr 2023-12-01 19:00:39,448 | server.py:104 | FL starting
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:02:41,172 | server.py:222 | fit_round 1: strategy sampled 8 clients (out of 8)
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:03:11,637 | server.py:236 | fit_round 1 received 8 results and 0 failures
torch-FedAvg-run | WARNING flwr 2023-12-01 19:03:11,865 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
torch-FedAvg-run | INFO flwr 2023-12-01 19:03:32,541 | server.py:125 | fit progress: (1, 2.054431915283203, {'accuracy': 0.2993055582046509}, 173.093316489)
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:03:32,541 | server.py:173 | evaluate_round 1: strategy sampled 8 clients (out of 8)
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:03:56,712 | server.py:187 | evaluate_round 1 received 8 results and 0 failures
torch-FedAvg-run | WARNING flwr 2023-12-01 19:03:56,712 | fedavg.py:273 | No evaluate_metrics_aggregation_fn provided
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:03:56,712 | server.py:222 | fit_round 2: strategy sampled 8 clients (out of 8)
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:04:24,935 | server.py:236 | fit_round 2 received 8 results and 0 failures
torch-FedAvg-run | INFO flwr 2023-12-01 19:04:45,829 | server.py:125 | fit progress: (2, 1.5253736972808838, {'accuracy': 0.3930555582046509}, 246.380889113)
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:04:45,829 | server.py:173 | evaluate_round 2: strategy sampled 8 clients (out of 8)
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:05:08,864 | server.py:187 | evaluate_round 2 received 8 results and 0 failures
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:05:08,864 | server.py:222 | fit_round 3: strategy sampled 8 clients (out of 8)
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:05:36,163 | server.py:236 | fit_round 3 received 8 results and 0 failures
torch-FedAvg-run | INFO flwr 2023-12-01 19:05:58,599 | server.py:125 | fit progress: (3, 1.1370549201965332, {'accuracy': 0.47013887763023376}, 319.15070781)
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:05:58,599 | server.py:173 | evaluate_round 3: strategy sampled 8 clients (out of 8)
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:06:20,554 | server.py:187 | evaluate_round 3 received 8 results and 0 failures
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:06:20,554 | server.py:222 | fit_round 4: strategy sampled 8 clients (out of 8)
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:06:48,017 | server.py:236 | fit_round 4 received 8 results and 0 failures
torch-FedAvg-run | INFO flwr 2023-12-01 19:07:29,416 | server.py:125 | fit progress: (4, 0.8833815455436707, {'accuracy': 0.5247222185134888}, 409.9684070359999)
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:07:29,417 | server.py:173 | evaluate_round 4: strategy sampled 8 clients (out of 8)
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:07:51,653 | server.py:187 | evaluate_round 4 received 8 results and 0 failures
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:07:51,653 | server.py:222 | fit_round 5: strategy sampled 8 clients (out of 8)
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:08:18,719 | server.py:236 | fit_round 5 received 8 results and 0 failures
torch-FedAvg-run | INFO flwr 2023-12-01 19:08:41,363 | server.py:125 | fit progress: (5, 0.7412901520729065, {'accuracy': 0.5662037134170532}, 481.9147894639999)
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:08:41,363 | server.py:173 | evaluate_round 5: strategy sampled 8 clients (out of 8)
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:09:06,304 | server.py:187 | evaluate_round 5 received 8 results and 0 failures
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:09:06,305 | server.py:222 | fit_round 6: strategy sampled 8 clients (out of 8)
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:09:39,480 | server.py:236 | fit_round 6 received 8 results and 0 failures
torch-FedAvg-run | INFO flwr 2023-12-01 19:10:20,883 | server.py:125 | fit progress: (6, 0.6813580393791199, {'accuracy': 0.5994047522544861}, 581.435569063)
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:10:20,884 | server.py:173 | evaluate_round 6: strategy sampled 8 clients (out of 8)
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:10:52,840 | server.py:187 | evaluate_round 6 received 8 results and 0 failures
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:10:52,841 | server.py:222 | fit_round 7: strategy sampled 8 clients (out of 8)
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:11:26,310 | server.py:236 | fit_round 7 received 8 results and 0 failures
torch-FedAvg-run | INFO flwr 2023-12-01 19:12:07,750 | server.py:125 | fit progress: (7, 0.6226445436477661, {'accuracy': 0.6279513835906982}, 688.3024703599999)
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:12:07,751 | server.py:173 | evaluate_round 7: strategy sampled 8 clients (out of 8)
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:12:31,660 | server.py:187 | evaluate_round 7 received 8 results and 0 failures
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:12:31,660 | server.py:222 | fit_round 8: strategy sampled 8 clients (out of 8)
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:12:58,681 | server.py:236 | fit_round 8 received 8 results and 0 failures
torch-FedAvg-run | INFO flwr 2023-12-01 19:13:21,300 | server.py:125 | fit progress: (8, 0.5865685343742371, {'accuracy': 0.6496913433074951}, 761.852436834)
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:13:21,301 | server.py:173 | evaluate_round 8: strategy sampled 8 clients (out of 8)
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:13:44,348 | server.py:187 | evaluate_round 8 received 8 results and 0 failures
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:13:44,348 | server.py:222 | fit_round 9: strategy sampled 8 clients (out of 8)
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:14:11,213 | server.py:236 | fit_round 9 received 8 results and 0 failures
torch-FedAvg-run | INFO flwr 2023-12-01 19:14:33,621 | server.py:125 | fit progress: (9, 0.5698094367980957, {'accuracy': 0.6675000190734863}, 834.1734523579998)
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:14:33,622 | server.py:173 | evaluate_round 9: strategy sampled 8 clients (out of 8)
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:15:06,626 | server.py:187 | evaluate_round 9 received 8 results and 0 failures
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:15:06,627 | server.py:222 | fit_round 10: strategy sampled 8 clients (out of 8)
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:15:40,461 | server.py:236 | fit_round 10 received 8 results and 0 failures
torch-FedAvg-run | INFO flwr 2023-12-01 19:16:01,318 | server.py:125 | fit progress: (10, 0.547838032245636, {'accuracy': 0.6835858821868896}, 921.8706520860001)
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:16:01,319 | server.py:173 | evaluate_round 10: strategy sampled 8 clients (out of 8)
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:16:33,440 | server.py:187 | evaluate_round 10 received 8 results and 0 failures
torch-FedAvg-run | INFO flwr 2023-12-01 19:16:33,440 | server.py:153 | FL finished in 953.992628831
torch-FedAvg-run | INFO flwr 2023-12-01 19:16:33,441 | app.py:225 | app_fit: losses_distributed [(1, 2.054431676864624), (2, 1.5253736972808838), (3, 1.1370548009872437), (4, 0.8833815455436707), (5, 0.7412901520729065), (6, 0.6813580393791199), (7, 0.6226445436477661), (8, 0.5865685343742371), (9, 0.5698094367980957), (10, 0.547838032245636)]
torch-FedAvg-run | INFO flwr 2023-12-01 19:16:33,441 | app.py:226 | app_fit: metrics_distributed_fit {}
torch-FedAvg-run | INFO flwr 2023-12-01 19:16:33,442 | app.py:227 | app_fit: metrics_distributed {}
torch-FedAvg-run | INFO flwr 2023-12-01 19:16:33,443 | app.py:228 | app_fit: losses_centralized [(0, 2.3003251552581787), (1, 2.054431915283203), (2, 1.5253736972808838), (3, 1.1370549201965332), (4, 0.8833815455436707), (5, 0.7412901520729065), (6, 0.6813580393791199), (7, 0.6226445436477661), (8, 0.5865685343742371), (9, 0.5698094367980957), (10, 0.547838032245636)]
torch-FedAvg-run | INFO flwr 2023-12-01 19:16:33,443 | app.py:229 | app_fit: metrics_centralized {'accuracy': [(0, 0.10555555671453476), (1, 0.2993055582046509), (2, 0.3930555582046509), (3, 0.47013887763023376), (4, 0.5247222185134888), (5, 0.5662037134170532), (6, 0.5994047522544861), (7, 0.6279513835906982), (8, 0.6496913433074951), (9, 0.6675000190734863), (10, 0.6835858821868896)]}
