torch-FedAvg-run | INFO flwr 2023-11-26 13:09:26,792 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAvg-run | DEBUG flwr 2023-11-26 13:09:26,809 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAvg-run | DEBUG flwr 2023-11-26 13:09:26,813 | connection.py:42 | ChannelConnectivity.READY
torch-FedAvg-run | INFO flwr 2023-11-26 13:10:02,725 | client.py:82 | Instance i-083cac643d68b8b92 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 10, 2, 725184), 'cpu_utilization': 55.1}
torch-FedAvg-run | INFO flwr 2023-11-26 13:10:58,950 | client.py:104 | Instance i-083cac643d68b8b92 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 10, 58, 949861), 'cpu_utilization': 54.7}
torch-FedAvg-run | INFO flwr 2023-11-26 13:11:22,857 | client.py:82 | Instance i-083cac643d68b8b92 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 11, 22, 857354), 'cpu_utilization': 53.1}
torch-FedAvg-run | INFO flwr 2023-11-26 13:12:19,562 | client.py:104 | Instance i-083cac643d68b8b92 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 12, 19, 562343), 'cpu_utilization': 48.6}
torch-FedAvg-run | INFO flwr 2023-11-26 13:12:49,676 | client.py:82 | Instance i-083cac643d68b8b92 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 12, 49, 676620), 'cpu_utilization': 53.4}
torch-FedAvg-run | INFO flwr 2023-11-26 13:13:45,792 | client.py:104 | Instance i-083cac643d68b8b92 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 13, 45, 792331), 'cpu_utilization': 56.4}
torch-FedAvg-run | INFO flwr 2023-11-26 13:14:20,273 | client.py:82 | Instance i-083cac643d68b8b92 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 14, 20, 273207), 'cpu_utilization': 53.3}
torch-FedAvg-run | INFO flwr 2023-11-26 13:15:17,565 | client.py:104 | Instance i-083cac643d68b8b92 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 15, 17, 564887), 'cpu_utilization': 49.0}
torch-FedAvg-run | INFO flwr 2023-11-26 13:15:39,433 | client.py:82 | Instance i-083cac643d68b8b92 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 15, 39, 433421), 'cpu_utilization': 53.2}
torch-FedAvg-run | INFO flwr 2023-11-26 13:16:15,096 | client.py:104 | Instance i-083cac643d68b8b92 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 16, 15, 95982), 'cpu_utilization': 55.4}
torch-FedAvg-run | INFO flwr 2023-11-26 13:16:39,277 | client.py:82 | Instance i-083cac643d68b8b92 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 16, 39, 276907), 'cpu_utilization': 53.3}
torch-FedAvg-run | INFO flwr 2023-11-26 13:17:39,926 | client.py:104 | Instance i-083cac643d68b8b92 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 17, 39, 926071), 'cpu_utilization': 53.7}
torch-FedAvg-run | INFO flwr 2023-11-26 13:18:10,325 | client.py:82 | Instance i-083cac643d68b8b92 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 18, 10, 325066), 'cpu_utilization': 53.2}
torch-FedAvg-run | INFO flwr 2023-11-26 13:18:48,679 | client.py:104 | Instance i-083cac643d68b8b92 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 18, 48, 678868), 'cpu_utilization': 42.9}
torch-FedAvg-run | INFO flwr 2023-11-26 13:19:18,670 | client.py:82 | Instance i-083cac643d68b8b92 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 19, 18, 670476), 'cpu_utilization': 53.3}
torch-FedAvg-run | INFO flwr 2023-11-26 13:20:00,090 | client.py:104 | Instance i-083cac643d68b8b92 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 20, 0, 90156), 'cpu_utilization': 54.5}
torch-FedAvg-run | INFO flwr 2023-11-26 13:20:21,442 | client.py:82 | Instance i-083cac643d68b8b92 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 20, 21, 442222), 'cpu_utilization': 53.0}
torch-FedAvg-run | INFO flwr 2023-11-26 13:21:01,026 | client.py:104 | Instance i-083cac643d68b8b92 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 21, 1, 26012), 'cpu_utilization': 54.9}
torch-FedAvg-run | INFO flwr 2023-11-26 13:21:21,761 | client.py:82 | Instance i-083cac643d68b8b92 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 21, 21, 761048), 'cpu_utilization': 53.1}
torch-FedAvg-run | INFO flwr 2023-11-26 13:22:02,536 | client.py:104 | Instance i-083cac643d68b8b92 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 22, 2, 536097), 'cpu_utilization': 54.2}
torch-FedAvg-run | DEBUG flwr 2023-11-26 13:22:03,443 | connection.py:139 | gRPC channel closed
torch-FedAvg-run | INFO flwr 2023-11-26 13:22:03,443 | app.py:215 | Disconnect and shut down
