torch-FedAvg-run | INFO flwr 2023-11-26 13:09:21,919 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAvg-run | DEBUG flwr 2023-11-26 13:09:21,938 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAvg-run | DEBUG flwr 2023-11-26 13:09:21,939 | connection.py:42 | ChannelConnectivity.READY
torch-FedAvg-run | INFO flwr 2023-11-26 13:10:02,050 | client.py:82 | Instance i-09a90e0be41d874a0 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 10, 2, 50073), 'cpu_utilization': 54.1}
torch-FedAvg-run | INFO flwr 2023-11-26 13:11:01,110 | client.py:104 | Instance i-09a90e0be41d874a0 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 11, 1, 110644), 'cpu_utilization': 54.0}
torch-FedAvg-run | INFO flwr 2023-11-26 13:11:21,616 | client.py:82 | Instance i-09a90e0be41d874a0 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 11, 21, 616587), 'cpu_utilization': 52.6}
torch-FedAvg-run | INFO flwr 2023-11-26 13:12:29,944 | client.py:104 | Instance i-09a90e0be41d874a0 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 12, 29, 944668), 'cpu_utilization': 29.7}
torch-FedAvg-run | INFO flwr 2023-11-26 13:12:50,810 | client.py:82 | Instance i-09a90e0be41d874a0 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 12, 50, 810285), 'cpu_utilization': 53.0}
torch-FedAvg-run | INFO flwr 2023-11-26 13:13:49,902 | client.py:104 | Instance i-09a90e0be41d874a0 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 13, 49, 902303), 'cpu_utilization': 53.6}
torch-FedAvg-run | INFO flwr 2023-11-26 13:14:20,236 | client.py:82 | Instance i-09a90e0be41d874a0 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 14, 20, 236044), 'cpu_utilization': 52.6}
torch-FedAvg-run | INFO flwr 2023-11-26 13:15:17,794 | client.py:104 | Instance i-09a90e0be41d874a0 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 15, 17, 794315), 'cpu_utilization': 54.4}
torch-FedAvg-run | INFO flwr 2023-11-26 13:15:38,159 | client.py:82 | Instance i-09a90e0be41d874a0 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 15, 38, 159742), 'cpu_utilization': 52.6}
torch-FedAvg-run | INFO flwr 2023-11-26 13:16:19,038 | client.py:104 | Instance i-09a90e0be41d874a0 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 16, 19, 38257), 'cpu_utilization': 53.4}
torch-FedAvg-run | INFO flwr 2023-11-26 13:16:39,900 | client.py:82 | Instance i-09a90e0be41d874a0 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 16, 39, 900000), 'cpu_utilization': 52.2}
torch-FedAvg-run | INFO flwr 2023-11-26 13:17:34,720 | client.py:104 | Instance i-09a90e0be41d874a0 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 17, 34, 720256), 'cpu_utilization': 57.3}
torch-FedAvg-run | INFO flwr 2023-11-26 13:18:08,140 | client.py:82 | Instance i-09a90e0be41d874a0 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 18, 8, 140510), 'cpu_utilization': 52.6}
torch-FedAvg-run | INFO flwr 2023-11-26 13:18:59,036 | client.py:104 | Instance i-09a90e0be41d874a0 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 18, 59, 35884), 'cpu_utilization': 28.3}
torch-FedAvg-run | INFO flwr 2023-11-26 13:19:19,464 | client.py:82 | Instance i-09a90e0be41d874a0 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 19, 19, 464029), 'cpu_utilization': 52.5}
torch-FedAvg-run | INFO flwr 2023-11-26 13:19:59,705 | client.py:104 | Instance i-09a90e0be41d874a0 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 19, 59, 705591), 'cpu_utilization': 53.3}
torch-FedAvg-run | INFO flwr 2023-11-26 13:20:20,650 | client.py:82 | Instance i-09a90e0be41d874a0 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 20, 20, 650362), 'cpu_utilization': 52.4}
torch-FedAvg-run | INFO flwr 2023-11-26 13:21:01,460 | client.py:104 | Instance i-09a90e0be41d874a0 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 21, 1, 460042), 'cpu_utilization': 54.2}
torch-FedAvg-run | INFO flwr 2023-11-26 13:21:22,094 | client.py:82 | Instance i-09a90e0be41d874a0 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 21, 22, 94351), 'cpu_utilization': 52.2}
torch-FedAvg-run | INFO flwr 2023-11-26 13:22:02,172 | client.py:104 | Instance i-09a90e0be41d874a0 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 22, 2, 171932), 'cpu_utilization': 54.2}
torch-FedAvg-run | DEBUG flwr 2023-11-26 13:22:03,437 | connection.py:139 | gRPC channel closed
torch-FedAvg-run | INFO flwr 2023-11-26 13:22:03,437 | app.py:215 | Disconnect and shut down
