torch-FedAvg-run | INFO flwr 2023-11-26 13:06:40,806 | app.py:162 | Starting Flower server, config: ServerConfig(num_rounds=10, round_timeout=None)
torch-FedAvg-run | INFO flwr 2023-11-26 13:06:40,823 | app.py:175 | Flower ECE: gRPC server running (10 rounds), SSL is disabled
torch-FedAvg-run | INFO flwr 2023-11-26 13:06:40,824 | server.py:89 | Initializing global parameters
torch-FedAvg-run | INFO flwr 2023-11-26 13:06:40,824 | server.py:272 | Using initial parameters provided by strategy
torch-FedAvg-run | INFO flwr 2023-11-26 13:06:40,824 | server.py:91 | Evaluating initial parameters
torch-FedAvg-run | INFO flwr 2023-11-26 13:07:03,409 | server.py:94 | initial parameters (loss, other metrics): 2.349940538406372, {'accuracy': 0.05138888955116272}
torch-FedAvg-run | INFO flwr 2023-11-26 13:07:03,410 | server.py:104 | FL starting
torch-FedAvg-run | DEBUG flwr 2023-11-26 13:09:40,588 | server.py:222 | fit_round 1: strategy sampled 5 clients (out of 5)
torch-FedAvg-run | DEBUG flwr 2023-11-26 13:10:08,011 | server.py:236 | fit_round 1 received 5 results and 0 failures
torch-FedAvg-run | WARNING flwr 2023-11-26 13:10:08,172 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
torch-FedAvg-run | INFO flwr 2023-11-26 13:10:49,349 | server.py:125 | fit progress: (1, 1.9751027822494507, {'accuracy': 0.17847222089767456}, 225.93916828199997)
torch-FedAvg-run | DEBUG flwr 2023-11-26 13:10:49,349 | server.py:173 | evaluate_round 1: strategy sampled 5 clients (out of 5)
torch-FedAvg-run | DEBUG flwr 2023-11-26 13:11:01,966 | server.py:187 | evaluate_round 1 received 5 results and 0 failures
torch-FedAvg-run | WARNING flwr 2023-11-26 13:11:01,966 | fedavg.py:273 | No evaluate_metrics_aggregation_fn provided
torch-FedAvg-run | DEBUG flwr 2023-11-26 13:11:01,967 | server.py:222 | fit_round 2: strategy sampled 5 clients (out of 5)
torch-FedAvg-run | DEBUG flwr 2023-11-26 13:11:27,753 | server.py:236 | fit_round 2 received 5 results and 0 failures
torch-FedAvg-run | INFO flwr 2023-11-26 13:12:09,075 | server.py:125 | fit progress: (2, 1.385366678237915, {'accuracy': 0.31111112236976624}, 305.66525753999997)
