torch-FedAvgM-run | INFO flwr 2023-12-01 19:20:37,044 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 19:20:37,046 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAvgM-run | DEBUG flwr 2023-12-01 19:20:37,046 | connection.py:42 | ChannelConnectivity.CONNECTING
torch-FedAvgM-run | DEBUG flwr 2023-12-01 19:20:37,055 | connection.py:42 | ChannelConnectivity.READY
torch-FedAvgM-run | INFO flwr 2023-12-01 19:22:10,486 | client.py:82 | Instance i-0f573cd4fa17317c5 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 22, 10, 486275), 'cpu_utilization': 52.1}
torch-FedAvgM-run | INFO flwr 2023-12-01 19:23:04,297 | client.py:104 | Instance i-0f573cd4fa17317c5 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 23, 4, 297660), 'cpu_utilization': 54.4}
torch-FedAvgM-run | INFO flwr 2023-12-01 19:23:57,321 | client.py:82 | Instance i-0f573cd4fa17317c5 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 23, 57, 320965), 'cpu_utilization': 51.9}
torch-FedAvgM-run | INFO flwr 2023-12-01 19:24:42,377 | client.py:104 | Instance i-0f573cd4fa17317c5 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 24, 42, 377622), 'cpu_utilization': 29.8}
torch-FedAvgM-run | INFO flwr 2023-12-01 19:25:32,061 | client.py:82 | Instance i-0f573cd4fa17317c5 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 25, 32, 60845), 'cpu_utilization': 52.1}
torch-FedAvgM-run | INFO flwr 2023-12-01 19:26:27,602 | client.py:104 | Instance i-0f573cd4fa17317c5 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 26, 27, 602110), 'cpu_utilization': 53.8}
torch-FedAvgM-run | INFO flwr 2023-12-01 19:27:16,656 | client.py:82 | Instance i-0f573cd4fa17317c5 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 27, 16, 656735), 'cpu_utilization': 52.1}
torch-FedAvgM-run | INFO flwr 2023-12-01 19:28:14,272 | client.py:104 | Instance i-0f573cd4fa17317c5 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 28, 14, 271854), 'cpu_utilization': 53.8}
torch-FedAvgM-run | INFO flwr 2023-12-01 19:29:05,235 | client.py:82 | Instance i-0f573cd4fa17317c5 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 29, 5, 235168), 'cpu_utilization': 52.0}
torch-FedAvgM-run | INFO flwr 2023-12-01 19:30:01,518 | client.py:104 | Instance i-0f573cd4fa17317c5 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 30, 1, 517956), 'cpu_utilization': 53.5}
torch-FedAvgM-run | INFO flwr 2023-12-01 19:30:52,754 | client.py:82 | Instance i-0f573cd4fa17317c5 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 30, 52, 754052), 'cpu_utilization': 52.1}
torch-FedAvgM-run | INFO flwr 2023-12-01 19:31:29,333 | client.py:104 | Instance i-0f573cd4fa17317c5 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 31, 29, 333034), 'cpu_utilization': 54.0}
torch-FedAvgM-run | INFO flwr 2023-12-01 19:32:20,873 | client.py:82 | Instance i-0f573cd4fa17317c5 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 32, 20, 873246), 'cpu_utilization': 51.8}
torch-FedAvgM-run | INFO flwr 2023-12-01 19:32:57,128 | client.py:104 | Instance i-0f573cd4fa17317c5 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 32, 57, 128338), 'cpu_utilization': 54.0}
torch-FedAvgM-run | INFO flwr 2023-12-01 19:33:48,085 | client.py:82 | Instance i-0f573cd4fa17317c5 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 33, 48, 85593), 'cpu_utilization': 52.0}
torch-FedAvgM-run | INFO flwr 2023-12-01 19:34:43,113 | client.py:104 | Instance i-0f573cd4fa17317c5 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 34, 43, 113129), 'cpu_utilization': 53.4}
torch-FedAvgM-run | INFO flwr 2023-12-01 19:35:42,625 | client.py:82 | Instance i-0f573cd4fa17317c5 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 35, 42, 625427), 'cpu_utilization': 52.0}
torch-FedAvgM-run | INFO flwr 2023-12-01 19:36:27,228 | client.py:104 | Instance i-0f573cd4fa17317c5 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 36, 27, 227821), 'cpu_utilization': 30.1}
torch-FedAvgM-run | INFO flwr 2023-12-01 19:37:20,259 | client.py:82 | Instance i-0f573cd4fa17317c5 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 37, 20, 259496), 'cpu_utilization': 51.9}
torch-FedAvgM-run | INFO flwr 2023-12-01 19:37:55,981 | client.py:104 | Instance i-0f573cd4fa17317c5 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 37, 55, 981528), 'cpu_utilization': 53.4}
torch-FedAvgM-run | DEBUG flwr 2023-12-01 19:37:57,333 | connection.py:139 | gRPC channel closed
torch-FedAvgM-run | INFO flwr 2023-12-01 19:37:57,334 | app.py:215 | Disconnect and shut down
