torch-FedAvgM-run | INFO flwr 2023-11-26 13:22:03,609 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAvgM-run | DEBUG flwr 2023-11-26 13:22:03,611 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAvgM-run | DEBUG flwr 2023-11-26 13:22:03,611 | connection.py:42 | ChannelConnectivity.CONNECTING
torch-FedAvgM-run | DEBUG flwr 2023-11-26 13:22:03,616 | connection.py:42 | ChannelConnectivity.TRANSIENT_FAILURE
torch-FedAvgM-run | DEBUG flwr 2023-11-26 13:22:03,823 | connection.py:139 | gRPC channel closed
torch-FedAvgM-run | INFO flwr 2023-11-26 13:22:13,834 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAvgM-run | INFO flwr 2023-11-26 13:22:13,834 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAvgM-run | DEBUG flwr 2023-11-26 13:22:13,861 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAvgM-run | DEBUG flwr 2023-11-26 13:22:13,861 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAvgM-run | DEBUG flwr 2023-11-26 13:22:13,865 | connection.py:42 | ChannelConnectivity.CONNECTING
torch-FedAvgM-run | DEBUG flwr 2023-11-26 13:22:13,865 | connection.py:42 | ChannelConnectivity.CONNECTING
torch-FedAvgM-run | DEBUG flwr 2023-11-26 13:22:13,870 | connection.py:42 | ChannelConnectivity.READY
torch-FedAvgM-run | DEBUG flwr 2023-11-26 13:22:13,870 | connection.py:42 | ChannelConnectivity.READY
torch-FedAvgM-run | INFO flwr 2023-11-26 13:22:50,609 | client.py:82 | Instance i-0b25c1d4ccb47aeda : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 22, 50, 609435), 'cpu_utilization': 53.0}
torch-FedAvgM-run | INFO flwr 2023-11-26 13:22:50,609 | client.py:82 | Instance i-0b25c1d4ccb47aeda : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 22, 50, 609435), 'cpu_utilization': 53.0}
