torch-FedAvgM-run | INFO flwr 2023-12-01 19:16:33,639 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 19:16:33,641 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAvgM-run | DEBUG flwr 2023-12-01 19:16:33,641 | connection.py:42 | ChannelConnectivity.READY
torch-FedAvgM-run | INFO flwr 2023-12-01 19:17:07,837 | client.py:82 | Instance i-0355f35a1b08cecb1 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 17, 7, 836875), 'cpu_utilization': 56.4}
torch-FedAvgM-run | INFO flwr 2023-12-01 19:17:52,056 | client.py:104 | Instance i-0355f35a1b08cecb1 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 17, 52, 56474), 'cpu_utilization': 53.8}
torch-FedAvgM-run | INFO flwr 2023-12-01 19:18:17,335 | client.py:82 | Instance i-0355f35a1b08cecb1 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 18, 17, 335405), 'cpu_utilization': 55.7}
torch-FedAvgM-run | INFO flwr 2023-12-01 19:19:02,686 | client.py:104 | Instance i-0355f35a1b08cecb1 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 19, 2, 686249), 'cpu_utilization': 54.0}
torch-FedAvgM-run | INFO flwr 2023-12-01 19:19:41,088 | client.py:82 | Instance i-0355f35a1b08cecb1 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 19, 41, 88085), 'cpu_utilization': 55.0}
torch-FedAvgM-run | INFO flwr 2023-12-01 19:20:44,482 | client.py:104 | Instance i-0355f35a1b08cecb1 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 20, 44, 482283), 'cpu_utilization': 31.9}
torch-FedAvgM-run | INFO flwr 2023-12-01 19:20:59,728 | client.py:82 | Instance i-0355f35a1b08cecb1 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 20, 59, 728465), 'cpu_utilization': 54.9}
torch-FedAvgM-run | INFO flwr 2023-12-01 19:21:44,897 | client.py:104 | Instance i-0355f35a1b08cecb1 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 21, 44, 896837), 'cpu_utilization': 55.6}
