torch-FedAvgM-run | INFO flwr 2023-12-01 16:28:49,747 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 16:28:49,748 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAvgM-run | DEBUG flwr 2023-12-01 16:28:49,749 | connection.py:42 | ChannelConnectivity.CONNECTING
torch-FedAvgM-run | DEBUG flwr 2023-12-01 16:28:49,750 | connection.py:42 | ChannelConnectivity.READY
torch-FedAvgM-run | INFO flwr 2023-12-01 16:29:25,668 | client.py:82 | Instance i-0819cce4bce0304a2 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 29, 25, 668266), 'cpu_utilization': 55.2}
torch-FedAvgM-run | INFO flwr 2023-12-01 16:30:18,810 | client.py:104 | Instance i-0819cce4bce0304a2 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 30, 18, 810450), 'cpu_utilization': 53.7}
torch-FedAvgM-run | INFO flwr 2023-12-01 16:30:43,221 | client.py:82 | Instance i-0819cce4bce0304a2 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 30, 43, 221273), 'cpu_utilization': 54.8}
torch-FedAvgM-run | INFO flwr 2023-12-01 16:31:49,493 | client.py:104 | Instance i-0819cce4bce0304a2 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 31, 49, 492872), 'cpu_utilization': 53.7}
torch-FedAvgM-run | INFO flwr 2023-12-01 16:32:15,091 | client.py:82 | Instance i-0819cce4bce0304a2 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 32, 15, 91013), 'cpu_utilization': 54.9}
torch-FedAvgM-run | INFO flwr 2023-12-01 16:33:11,109 | client.py:104 | Instance i-0819cce4bce0304a2 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 33, 11, 109711), 'cpu_utilization': 55.1}
torch-FedAvgM-run | INFO flwr 2023-12-01 16:33:26,125 | client.py:82 | Instance i-0819cce4bce0304a2 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 33, 26, 125736), 'cpu_utilization': 55.7}
torch-FedAvgM-run | INFO flwr 2023-12-01 16:34:37,628 | client.py:104 | Instance i-0819cce4bce0304a2 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 34, 37, 628419), 'cpu_utilization': 54.6}
torch-FedAvgM-run | INFO flwr 2023-12-01 16:35:02,459 | client.py:82 | Instance i-0819cce4bce0304a2 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 35, 2, 459487), 'cpu_utilization': 54.9}
torch-FedAvgM-run | INFO flwr 2023-12-01 16:36:06,868 | client.py:104 | Instance i-0819cce4bce0304a2 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 36, 6, 868447), 'cpu_utilization': 46.7}
