torch-FedAvgM-run | INFO flwr 2023-12-01 19:16:33,763 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 19:16:33,764 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAvgM-run | DEBUG flwr 2023-12-01 19:16:33,764 | connection.py:42 | ChannelConnectivity.CONNECTING
torch-FedAvgM-run | DEBUG flwr 2023-12-01 19:16:33,773 | connection.py:42 | ChannelConnectivity.READY
torch-FedAvgM-run | INFO flwr 2023-12-01 19:17:19,888 | client.py:82 | Instance i-08b499240b32675a8 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 17, 19, 888577), 'cpu_utilization': 54.7}
torch-FedAvgM-run | INFO flwr 2023-12-01 19:18:02,403 | client.py:104 | Instance i-08b499240b32675a8 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 18, 2, 403115), 'cpu_utilization': 47.3}
torch-FedAvgM-run | INFO flwr 2023-12-01 19:18:29,022 | client.py:82 | Instance i-08b499240b32675a8 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 18, 29, 22323), 'cpu_utilization': 54.6}
torch-FedAvgM-run | INFO flwr 2023-12-01 19:19:10,113 | client.py:104 | Instance i-08b499240b32675a8 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 19, 10, 113084), 'cpu_utilization': 54.8}
torch-FedAvgM-run | INFO flwr 2023-12-01 19:19:27,233 | client.py:82 | Instance i-08b499240b32675a8 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 19, 27, 233037), 'cpu_utilization': 54.3}
torch-FedAvgM-run | INFO flwr 2023-12-01 19:20:35,769 | client.py:104 | Instance i-08b499240b32675a8 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 20, 35, 769399), 'cpu_utilization': 54.1}
torch-FedAvgM-run | INFO flwr 2023-12-01 19:20:58,348 | client.py:82 | Instance i-08b499240b32675a8 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 20, 58, 348065), 'cpu_utilization': 54.9}
torch-FedAvgM-run | INFO flwr 2023-12-01 19:21:53,153 | client.py:104 | Instance i-08b499240b32675a8 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 21, 53, 153104), 'cpu_utilization': 55.1}
torch-FedAvgM-run | INFO flwr 2023-12-01 19:22:09,615 | client.py:82 | Instance i-08b499240b32675a8 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 22, 9, 615578), 'cpu_utilization': 54.7}
torch-FedAvgM-run | INFO flwr 2023-12-01 19:22:57,957 | client.py:104 | Instance i-08b499240b32675a8 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 22, 57, 957049), 'cpu_utilization': 53.7}
torch-FedAvgM-run | INFO flwr 2023-12-01 19:23:30,631 | client.py:82 | Instance i-08b499240b32675a8 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 23, 30, 631432), 'cpu_utilization': 54.9}
torch-FedAvgM-run | INFO flwr 2023-12-01 19:24:17,901 | client.py:104 | Instance i-08b499240b32675a8 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 24, 17, 901761), 'cpu_utilization': 53.8}
torch-FedAvgM-run | INFO flwr 2023-12-01 19:24:47,937 | client.py:82 | Instance i-08b499240b32675a8 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 24, 47, 936985), 'cpu_utilization': 54.2}
torch-FedAvgM-run | INFO flwr 2023-12-01 19:25:52,001 | client.py:104 | Instance i-08b499240b32675a8 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 25, 52, 902), 'cpu_utilization': 55.6}
torch-FedAvgM-run | INFO flwr 2023-12-01 19:26:18,345 | client.py:82 | Instance i-08b499240b32675a8 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 26, 18, 345572), 'cpu_utilization': 54.8}
torch-FedAvgM-run | INFO flwr 2023-12-01 19:27:25,222 | client.py:104 | Instance i-08b499240b32675a8 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 27, 25, 222295), 'cpu_utilization': 54.1}
torch-FedAvgM-run | INFO flwr 2023-12-01 19:27:49,870 | client.py:82 | Instance i-08b499240b32675a8 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 27, 49, 870135), 'cpu_utilization': 55.3}
torch-FedAvgM-run | INFO flwr 2023-12-01 19:28:44,237 | client.py:104 | Instance i-08b499240b32675a8 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 28, 44, 237306), 'cpu_utilization': 48.3}
torch-FedAvgM-run | INFO flwr 2023-12-01 19:29:20,232 | client.py:82 | Instance i-08b499240b32675a8 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 29, 20, 232102), 'cpu_utilization': 54.3}
torch-FedAvgM-run | INFO flwr 2023-12-01 19:30:25,208 | client.py:104 | Instance i-08b499240b32675a8 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 30, 25, 208359), 'cpu_utilization': 53.8}
torch-FedAvgM-run | DEBUG flwr 2023-12-01 19:30:36,808 | connection.py:139 | gRPC channel closed
torch-FedAvgM-run | INFO flwr 2023-12-01 19:30:36,808 | app.py:215 | Disconnect and shut down
