torch-FedAvgM-run | INFO flwr 2023-12-01 19:16:33,675 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 19:16:33,678 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAvgM-run | DEBUG flwr 2023-12-01 19:16:33,679 | connection.py:42 | ChannelConnectivity.CONNECTING
torch-FedAvgM-run | DEBUG flwr 2023-12-01 19:16:33,683 | connection.py:42 | ChannelConnectivity.READY
torch-FedAvgM-run | INFO flwr 2023-12-01 19:17:06,131 | client.py:82 | Instance i-0a3640066e79fb468 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 17, 6, 131682), 'cpu_utilization': 56.1}
torch-FedAvgM-run | INFO flwr 2023-12-01 19:17:50,261 | client.py:104 | Instance i-0a3640066e79fb468 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 17, 50, 261089), 'cpu_utilization': 51.8}
torch-FedAvgM-run | INFO flwr 2023-12-01 19:18:15,477 | client.py:82 | Instance i-0a3640066e79fb468 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 18, 15, 477300), 'cpu_utilization': 54.5}
torch-FedAvgM-run | INFO flwr 2023-12-01 19:19:00,283 | client.py:104 | Instance i-0a3640066e79fb468 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 19, 0, 283582), 'cpu_utilization': 55.4}
torch-FedAvgM-run | INFO flwr 2023-12-01 19:19:26,360 | client.py:82 | Instance i-0a3640066e79fb468 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 19, 26, 360002), 'cpu_utilization': 55.0}
torch-FedAvgM-run | INFO flwr 2023-12-01 19:20:44,651 | client.py:104 | Instance i-0a3640066e79fb468 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 20, 44, 651168), 'cpu_utilization': 54.4}
torch-FedAvgM-run | INFO flwr 2023-12-01 19:20:58,636 | client.py:82 | Instance i-0a3640066e79fb468 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 20, 58, 636157), 'cpu_utilization': 54.3}
torch-FedAvgM-run | INFO flwr 2023-12-01 19:21:43,308 | client.py:104 | Instance i-0a3640066e79fb468 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 21, 43, 308294), 'cpu_utilization': 55.5}
torch-FedAvgM-run | INFO flwr 2023-12-01 19:22:09,586 | client.py:82 | Instance i-0a3640066e79fb468 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 22, 9, 586222), 'cpu_utilization': 54.4}
torch-FedAvgM-run | INFO flwr 2023-12-01 19:22:54,127 | client.py:104 | Instance i-0a3640066e79fb468 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 22, 54, 127515), 'cpu_utilization': 55.8}
torch-FedAvgM-run | INFO flwr 2023-12-01 19:23:29,416 | client.py:82 | Instance i-0a3640066e79fb468 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 23, 29, 416271), 'cpu_utilization': 54.3}
torch-FedAvgM-run | INFO flwr 2023-12-01 19:24:16,001 | client.py:104 | Instance i-0a3640066e79fb468 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 19, 24, 16, 1251), 'cpu_utilization': 54.5}
