torch-FedAvgM-run | INFO flwr 2023-12-01 16:28:49,700 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 16:28:49,702 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAvgM-run | DEBUG flwr 2023-12-01 16:28:49,704 | connection.py:42 | ChannelConnectivity.CONNECTING
torch-FedAvgM-run | DEBUG flwr 2023-12-01 16:28:49,907 | connection.py:139 | gRPC channel closed
torch-FedAvgM-run | INFO flwr 2023-12-01 16:28:59,920 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAvgM-run | INFO flwr 2023-12-01 16:28:59,920 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 16:28:59,943 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAvgM-run | DEBUG flwr 2023-12-01 16:28:59,943 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAvgM-run | DEBUG flwr 2023-12-01 16:28:59,946 | connection.py:42 | ChannelConnectivity.CONNECTING
torch-FedAvgM-run | DEBUG flwr 2023-12-01 16:28:59,946 | connection.py:42 | ChannelConnectivity.CONNECTING
torch-FedAvgM-run | DEBUG flwr 2023-12-01 16:28:59,948 | connection.py:42 | ChannelConnectivity.READY
torch-FedAvgM-run | DEBUG flwr 2023-12-01 16:28:59,948 | connection.py:42 | ChannelConnectivity.READY
torch-FedAvgM-run | INFO flwr 2023-12-01 16:29:25,598 | client.py:82 | Instance i-0f226a973a08bff6a : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 29, 25, 598126), 'cpu_utilization': 53.7}
torch-FedAvgM-run | INFO flwr 2023-12-01 16:29:25,598 | client.py:82 | Instance i-0f226a973a08bff6a : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 29, 25, 598126), 'cpu_utilization': 53.7}
torch-FedAvgM-run | INFO flwr 2023-12-01 16:30:27,870 | client.py:104 | Instance i-0f226a973a08bff6a : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 30, 27, 870563), 'cpu_utilization': 30.8}
torch-FedAvgM-run | INFO flwr 2023-12-01 16:30:27,870 | client.py:104 | Instance i-0f226a973a08bff6a : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 30, 27, 870563), 'cpu_utilization': 30.8}
torch-FedAvgM-run | INFO flwr 2023-12-01 16:30:43,189 | client.py:82 | Instance i-0f226a973a08bff6a : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 30, 43, 189195), 'cpu_utilization': 54.0}
torch-FedAvgM-run | INFO flwr 2023-12-01 16:30:43,189 | client.py:82 | Instance i-0f226a973a08bff6a : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 30, 43, 189195), 'cpu_utilization': 54.0}
torch-FedAvgM-run | INFO flwr 2023-12-01 16:31:49,370 | client.py:104 | Instance i-0f226a973a08bff6a : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 31, 49, 370019), 'cpu_utilization': 54.5}
torch-FedAvgM-run | INFO flwr 2023-12-01 16:31:49,370 | client.py:104 | Instance i-0f226a973a08bff6a : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 31, 49, 370019), 'cpu_utilization': 54.5}
torch-FedAvgM-run | INFO flwr 2023-12-01 16:32:15,025 | client.py:82 | Instance i-0f226a973a08bff6a : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 32, 15, 24924), 'cpu_utilization': 53.9}
