torch-FedAvgM-run | INFO flwr 2023-12-01 16:28:49,729 | app.py:162 | Starting Flower server, config: ServerConfig(num_rounds=10, round_timeout=None)
torch-FedAvgM-run | INFO flwr 2023-12-01 16:28:49,733 | app.py:175 | Flower ECE: gRPC server running (10 rounds), SSL is disabled
torch-FedAvgM-run | INFO flwr 2023-12-01 16:28:49,733 | server.py:89 | Initializing global parameters
torch-FedAvgM-run | INFO flwr 2023-12-01 16:28:49,733 | server.py:272 | Using initial parameters provided by strategy
torch-FedAvgM-run | INFO flwr 2023-12-01 16:28:49,733 | server.py:91 | Evaluating initial parameters
torch-FedAvgM-run | INFO flwr 2023-12-01 16:29:12,209 | server.py:94 | initial parameters (loss, other metrics): 2.2764029502868652, {'accuracy': 0.6018518805503845}
torch-FedAvgM-run | INFO flwr 2023-12-01 16:29:12,213 | server.py:104 | FL starting
torch-FedAvgM-run | DEBUG flwr 2023-12-01 16:29:12,214 | server.py:222 | fit_round 1: strategy sampled 8 clients (out of 8)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 16:29:44,658 | server.py:236 | fit_round 1 received 8 results and 0 failures
torch-FedAvgM-run | WARNING flwr 2023-12-01 16:29:44,888 | fedavgm.py:198 | No fit_metrics_aggregation_fn provided
torch-FedAvgM-run | INFO flwr 2023-12-01 16:30:07,212 | server.py:125 | fit progress: (1, 2.2228639125823975, {'accuracy': 0.5685897469520569}, 54.99866010100004)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 16:30:07,213 | server.py:173 | evaluate_round 1: strategy sampled 8 clients (out of 8)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 16:30:29,952 | server.py:187 | evaluate_round 1 received 8 results and 0 failures
torch-FedAvgM-run | WARNING flwr 2023-12-01 16:30:29,952 | fedavg.py:273 | No evaluate_metrics_aggregation_fn provided
torch-FedAvgM-run | DEBUG flwr 2023-12-01 16:30:29,953 | server.py:222 | fit_round 2: strategy sampled 8 clients (out of 8)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 16:30:57,157 | server.py:236 | fit_round 2 received 8 results and 0 failures
torch-FedAvgM-run | INFO flwr 2023-12-01 16:31:38,562 | server.py:125 | fit progress: (2, 2.0048577785491943, {'accuracy': 0.5566468238830566}, 146.34805075600002)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 16:31:38,562 | server.py:173 | evaluate_round 2: strategy sampled 8 clients (out of 8)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 16:32:02,038 | server.py:187 | evaluate_round 2 received 8 results and 0 failures
torch-FedAvgM-run | DEBUG flwr 2023-12-01 16:32:02,038 | server.py:222 | fit_round 3: strategy sampled 8 clients (out of 8)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 16:32:28,119 | server.py:236 | fit_round 3 received 8 results and 0 failures
torch-FedAvgM-run | INFO flwr 2023-12-01 16:32:50,691 | server.py:125 | fit progress: (3, 1.6740761995315552, {'accuracy': 0.5532407164573669}, 218.47784015800016)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 16:32:50,692 | server.py:173 | evaluate_round 3: strategy sampled 8 clients (out of 8)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 16:33:12,344 | server.py:187 | evaluate_round 3 received 8 results and 0 failures
torch-FedAvgM-run | DEBUG flwr 2023-12-01 16:33:12,344 | server.py:222 | fit_round 4: strategy sampled 8 clients (out of 8)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 16:33:45,336 | server.py:236 | fit_round 4 received 8 results and 0 failures
torch-FedAvgM-run | INFO flwr 2023-12-01 16:34:26,731 | server.py:125 | fit progress: (4, 1.3324410915374756, {'accuracy': 0.5595486164093018}, 314.51693212600003)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 16:34:26,731 | server.py:173 | evaluate_round 4: strategy sampled 8 clients (out of 8)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 16:34:49,606 | server.py:187 | evaluate_round 4 received 8 results and 0 failures
torch-FedAvgM-run | DEBUG flwr 2023-12-01 16:34:49,606 | server.py:222 | fit_round 5: strategy sampled 8 clients (out of 8)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 16:35:22,282 | server.py:236 | fit_round 5 received 8 results and 0 failures
torch-FedAvgM-run | INFO flwr 2023-12-01 16:35:45,167 | server.py:125 | fit progress: (5, 1.1042852401733398, {'accuracy': 0.5665849447250366}, 392.9535779920002)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 16:35:45,172 | server.py:173 | evaluate_round 5: strategy sampled 8 clients (out of 8)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 16:36:08,403 | server.py:187 | evaluate_round 5 received 8 results and 0 failures
torch-FedAvgM-run | DEBUG flwr 2023-12-01 16:36:08,403 | server.py:222 | fit_round 6: strategy sampled 8 clients (out of 8)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 16:36:35,254 | server.py:236 | fit_round 6 received 8 results and 0 failures
torch-FedAvgM-run | INFO flwr 2023-12-01 16:36:57,817 | server.py:125 | fit progress: (6, 0.9406407475471497, {'accuracy': 0.5753858089447021}, 465.60373151800013)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 16:36:57,818 | server.py:173 | evaluate_round 6: strategy sampled 8 clients (out of 8)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 16:37:18,393 | server.py:187 | evaluate_round 6 received 8 results and 0 failures
torch-FedAvgM-run | DEBUG flwr 2023-12-01 16:37:18,393 | server.py:222 | fit_round 7: strategy sampled 8 clients (out of 8)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 16:37:44,961 | server.py:236 | fit_round 7 received 8 results and 0 failures
torch-FedAvgM-run | INFO flwr 2023-12-01 16:38:07,430 | server.py:125 | fit progress: (7, 0.7824249863624573, {'accuracy': 0.5852339267730713}, 535.2164229940001)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 16:38:07,430 | server.py:173 | evaluate_round 7: strategy sampled 8 clients (out of 8)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 16:38:41,082 | server.py:187 | evaluate_round 7 received 8 results and 0 failures
torch-FedAvgM-run | DEBUG flwr 2023-12-01 16:38:41,082 | server.py:222 | fit_round 8: strategy sampled 8 clients (out of 8)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 16:39:08,701 | server.py:236 | fit_round 8 received 8 results and 0 failures
torch-FedAvgM-run | INFO flwr 2023-12-01 16:39:50,074 | server.py:125 | fit progress: (8, 0.703534722328186, {'accuracy': 0.5950694680213928}, 637.8602738290001)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 16:39:50,074 | server.py:173 | evaluate_round 8: strategy sampled 8 clients (out of 8)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 16:40:11,383 | server.py:187 | evaluate_round 8 received 8 results and 0 failures
torch-FedAvgM-run | DEBUG flwr 2023-12-01 16:40:11,384 | server.py:222 | fit_round 9: strategy sampled 8 clients (out of 8)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 16:40:41,922 | server.py:236 | fit_round 9 received 8 results and 0 failures
torch-FedAvgM-run | INFO flwr 2023-12-01 16:41:04,396 | server.py:125 | fit progress: (9, 0.6525434255599976, {'accuracy': 0.6047618985176086}, 712.1823635990002)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 16:41:04,401 | server.py:173 | evaluate_round 9: strategy sampled 8 clients (out of 8)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 16:41:35,461 | server.py:187 | evaluate_round 9 received 8 results and 0 failures
torch-FedAvgM-run | DEBUG flwr 2023-12-01 16:41:35,461 | server.py:222 | fit_round 10: strategy sampled 8 clients (out of 8)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 16:42:02,374 | server.py:236 | fit_round 10 received 8 results and 0 failures
torch-FedAvgM-run | INFO flwr 2023-12-01 16:42:43,760 | server.py:125 | fit progress: (10, 0.6489057540893555, {'accuracy': 0.6142045259475708}, 811.546008948)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 16:42:43,760 | server.py:173 | evaluate_round 10: strategy sampled 8 clients (out of 8)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 16:43:07,227 | server.py:187 | evaluate_round 10 received 8 results and 0 failures
torch-FedAvgM-run | INFO flwr 2023-12-01 16:43:07,227 | server.py:153 | FL finished in 835.0133980300002
torch-FedAvgM-run | INFO flwr 2023-12-01 16:43:07,227 | app.py:225 | app_fit: losses_distributed [(1, 2.2228639125823975), (2, 2.0048577785491943), (3, 1.6740761995315552), (4, 1.3324412107467651), (5, 1.1042852401733398), (6, 0.9406407475471497), (7, 0.7824251651763916), (8, 0.703534722328186), (9, 0.6525433659553528), (10, 0.6489057540893555)]
torch-FedAvgM-run | INFO flwr 2023-12-01 16:43:07,229 | app.py:226 | app_fit: metrics_distributed_fit {}
torch-FedAvgM-run | INFO flwr 2023-12-01 16:43:07,229 | app.py:227 | app_fit: metrics_distributed {}
torch-FedAvgM-run | INFO flwr 2023-12-01 16:43:07,229 | app.py:228 | app_fit: losses_centralized [(0, 2.2764029502868652), (1, 2.2228639125823975), (2, 2.0048577785491943), (3, 1.6740761995315552), (4, 1.3324410915374756), (5, 1.1042852401733398), (6, 0.9406407475471497), (7, 0.7824249863624573), (8, 0.703534722328186), (9, 0.6525434255599976), (10, 0.6489057540893555)]
