torch-FedAvgM-run | INFO flwr 2023-11-26 13:22:03,598 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAvgM-run | DEBUG flwr 2023-11-26 13:22:03,600 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAvgM-run | DEBUG flwr 2023-11-26 13:22:03,600 | connection.py:42 | ChannelConnectivity.CONNECTING
torch-FedAvgM-run | DEBUG flwr 2023-11-26 13:22:03,617 | connection.py:42 | ChannelConnectivity.TRANSIENT_FAILURE
torch-FedAvgM-run | DEBUG flwr 2023-11-26 13:22:03,820 | connection.py:139 | gRPC channel closed
torch-FedAvgM-run | INFO flwr 2023-11-26 13:22:13,831 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAvgM-run | INFO flwr 2023-11-26 13:22:13,831 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAvgM-run | DEBUG flwr 2023-11-26 13:22:13,857 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAvgM-run | DEBUG flwr 2023-11-26 13:22:13,857 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAvgM-run | DEBUG flwr 2023-11-26 13:22:13,862 | connection.py:42 | ChannelConnectivity.READY
torch-FedAvgM-run | DEBUG flwr 2023-11-26 13:22:13,862 | connection.py:42 | ChannelConnectivity.READY
torch-FedAvgM-run | INFO flwr 2023-11-26 13:22:44,232 | client.py:82 | Instance i-08991c2a51655fb63 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 22, 44, 232067), 'cpu_utilization': 54.0}
torch-FedAvgM-run | INFO flwr 2023-11-26 13:22:44,232 | client.py:82 | Instance i-08991c2a51655fb63 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 22, 44, 232067), 'cpu_utilization': 54.0}
torch-FedAvgM-run | INFO flwr 2023-11-26 13:23:23,806 | client.py:104 | Instance i-08991c2a51655fb63 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 23, 23, 806470), 'cpu_utilization': 54.2}
torch-FedAvgM-run | INFO flwr 2023-11-26 13:23:23,806 | client.py:104 | Instance i-08991c2a51655fb63 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 23, 23, 806470), 'cpu_utilization': 54.2}
torch-FedAvgM-run | INFO flwr 2023-11-26 13:23:54,903 | client.py:82 | Instance i-08991c2a51655fb63 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 23, 54, 902919), 'cpu_utilization': 53.7}
torch-FedAvgM-run | INFO flwr 2023-11-26 13:23:54,903 | client.py:82 | Instance i-08991c2a51655fb63 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 23, 54, 902919), 'cpu_utilization': 53.7}
torch-FedAvgM-run | INFO flwr 2023-11-26 13:24:34,783 | client.py:104 | Instance i-08991c2a51655fb63 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 24, 34, 783024), 'cpu_utilization': 43.9}
torch-FedAvgM-run | INFO flwr 2023-11-26 13:24:34,783 | client.py:104 | Instance i-08991c2a51655fb63 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 24, 34, 783024), 'cpu_utilization': 43.9}
torch-FedAvgM-run | INFO flwr 2023-11-26 13:25:05,203 | client.py:82 | Instance i-08991c2a51655fb63 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 25, 5, 203280), 'cpu_utilization': 53.4}
torch-FedAvgM-run | INFO flwr 2023-11-26 13:25:05,203 | client.py:82 | Instance i-08991c2a51655fb63 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 25, 5, 203280), 'cpu_utilization': 53.4}
torch-FedAvgM-run | INFO flwr 2023-11-26 13:26:01,890 | client.py:104 | Instance i-08991c2a51655fb63 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 26, 1, 890062), 'cpu_utilization': 55.5}
torch-FedAvgM-run | INFO flwr 2023-11-26 13:26:01,890 | client.py:104 | Instance i-08991c2a51655fb63 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 26, 1, 890062), 'cpu_utilization': 55.5}
torch-FedAvgM-run | INFO flwr 2023-11-26 13:26:33,524 | client.py:82 | Instance i-08991c2a51655fb63 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 26, 33, 524509), 'cpu_utilization': 54.2}
torch-FedAvgM-run | INFO flwr 2023-11-26 13:26:33,524 | client.py:82 | Instance i-08991c2a51655fb63 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 26, 33, 524509), 'cpu_utilization': 54.2}
torch-FedAvgM-run | INFO flwr 2023-11-26 13:27:13,627 | client.py:104 | Instance i-08991c2a51655fb63 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 27, 13, 627187), 'cpu_utilization': 51.0}
torch-FedAvgM-run | INFO flwr 2023-11-26 13:27:13,627 | client.py:104 | Instance i-08991c2a51655fb63 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 27, 13, 627187), 'cpu_utilization': 51.0}
torch-FedAvgM-run | INFO flwr 2023-11-26 13:27:35,900 | client.py:82 | Instance i-08991c2a51655fb63 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 27, 35, 900586), 'cpu_utilization': 53.6}
torch-FedAvgM-run | INFO flwr 2023-11-26 13:27:35,900 | client.py:82 | Instance i-08991c2a51655fb63 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 27, 35, 900586), 'cpu_utilization': 53.6}
torch-FedAvgM-run | INFO flwr 2023-11-26 13:28:31,863 | client.py:104 | Instance i-08991c2a51655fb63 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 28, 31, 862988), 'cpu_utilization': 54.5}
torch-FedAvgM-run | INFO flwr 2023-11-26 13:28:31,863 | client.py:104 | Instance i-08991c2a51655fb63 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 28, 31, 862988), 'cpu_utilization': 54.5}
torch-FedAvgM-run | INFO flwr 2023-11-26 13:28:55,028 | client.py:82 | Instance i-08991c2a51655fb63 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 28, 55, 28763), 'cpu_utilization': 53.3}
torch-FedAvgM-run | INFO flwr 2023-11-26 13:28:55,028 | client.py:82 | Instance i-08991c2a51655fb63 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 28, 55, 28763), 'cpu_utilization': 53.3}
torch-FedAvgM-run | INFO flwr 2023-11-26 13:29:52,599 | client.py:104 | Instance i-08991c2a51655fb63 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 29, 52, 599370), 'cpu_utilization': 54.4}
torch-FedAvgM-run | INFO flwr 2023-11-26 13:29:52,599 | client.py:104 | Instance i-08991c2a51655fb63 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 29, 52, 599370), 'cpu_utilization': 54.4}
torch-FedAvgM-run | INFO flwr 2023-11-26 13:30:24,497 | client.py:82 | Instance i-08991c2a51655fb63 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 30, 24, 497385), 'cpu_utilization': 53.4}
torch-FedAvgM-run | INFO flwr 2023-11-26 13:30:24,497 | client.py:82 | Instance i-08991c2a51655fb63 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 30, 24, 497385), 'cpu_utilization': 53.4}
torch-FedAvgM-run | INFO flwr 2023-11-26 13:31:22,750 | client.py:104 | Instance i-08991c2a51655fb63 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 31, 22, 750354), 'cpu_utilization': 46.3}
torch-FedAvgM-run | INFO flwr 2023-11-26 13:31:22,750 | client.py:104 | Instance i-08991c2a51655fb63 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 31, 22, 750354), 'cpu_utilization': 46.3}
torch-FedAvgM-run | INFO flwr 2023-11-26 13:31:43,472 | client.py:82 | Instance i-08991c2a51655fb63 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 31, 43, 472378), 'cpu_utilization': 54.3}
